date,open,high,low,close,volume,comment
2021-10-20,2.16,2.16,2.16,2.16,0.00,FTFeed
2021-10-21,2.16,2.16,2.16,2.16,0.00,FTFeed
2021-10-22,2.17,2.17,2.17,2.17,0.00,FTFeed
2021-10-25,2.17,2.17,2.17,2.17,0.00,FTFeed
2021-10-26,2.18,2.18,2.18,2.18,0.00,FTFeed
2021-10-27,2.18,2.18,2.18,2.18,0.00,FTFeed
2021-10-28,2.17,2.17,2.17,2.17,0.00,FTFeed
2021-10-29,2.17,2.17,2.17,2.17,0.00,FTFeed
2021-11-01,2.19,2.19,2.19,2.19,0.00,FTFeed
2021-11-02,2.19,2.19,2.19,2.19,0.00,FTFeed
2021-11-03,2.19,2.19,2.19,2.19,0.00,FTFeed
2021-11-04,2.21,2.21,2.21,2.21,0.00,FTFeed
2021-11-05,2.22,2.22,2.22,2.22,0.00,FTFeed
2021-11-08,2.22,2.22,2.22,2.22,0.00,FTFeed
2021-11-09,2.22,2.22,2.22,2.22,0.00,FTFeed
2021-11-10,2.22,2.22,2.22,2.22,0.00,FTFeed
2021-11-11,2.21,2.21,2.21,2.21,0.00,FTFeed
2021-11-12,2.22,2.22,2.22,2.22,0.00,FTFeed
2021-11-15,2.23,2.23,2.23,2.23,0.00,FTFeed
2021-11-16,2.23,2.23,2.23,2.23,0.00,FTFeed
2021-11-17,2.23,2.23,2.23,2.23,0.00,FTFeed
2021-11-18,2.23,2.23,2.23,2.23,0.00,FTFeed
2021-11-19,2.23,2.23,2.23,2.23,0.00,FTFeed
2021-11-22,2.22,2.22,2.22,2.22,0.00,FTFeed
2021-11-23,2.21,2.21,2.21,2.21,0.00,FTFeed
2021-11-24,2.21,2.21,2.21,2.21,0.00,FTFeed
2021-11-25,2.22,2.22,2.22,2.22,0.00,FTFeed
2021-11-26,2.20,2.20,2.20,2.20,0.00,FTFeed
2021-11-29,2.16,2.16,2.16,2.16,0.00,FTFeed
2021-11-30,2.17,2.17,2.17,2.17,0.00,FTFeed
2021-12-01,2.15,2.15,2.15,2.15,0.00,FTFeed
2021-12-02,2.13,2.13,2.13,2.13,0.00,FTFeed
2021-12-03,2.16,2.16,2.16,2.16,0.00,FTFeed
2021-12-06,2.14,2.14,2.14,2.14,0.00,FTFeed
2021-12-07,2.17,2.17,2.17,2.17,0.00,FTFeed
2021-12-08,2.21,2.21,2.21,2.21,0.00,FTFeed
2021-12-09,2.21,2.21,2.21,2.21,0.00,FTFeed
2021-12-10,2.19,2.19,2.19,2.19,0.00,FTFeed
