date,open,high,low,close,volume,comment
2025-03-17,5.44,5.44,5.44,5.44,0.00,FTFeed
2025-03-18,5.43,5.43,5.43,5.43,0.00,FTFeed
2025-03-19,5.44,5.44,5.44,5.44,0.00,FTFeed
2025-03-20,5.43,5.43,5.43,5.43,0.00,FTFeed
2025-03-21,5.44,5.44,5.44,5.44,0.00,FTFeed
2025-03-24,5.45,5.45,5.45,5.45,0.00,FTFeed
2025-03-25,5.43,5.43,5.43,5.43,0.00,FTFeed
2025-03-26,5.47,5.47,5.47,5.47,0.00,FTFeed
2025-03-27,5.46,5.46,5.46,5.46,0.00,FTFeed
2025-03-28,5.45,5.45,5.45,5.45,0.00,FTFeed
2025-03-31,5.48,5.48,5.48,5.48,0.00,FTFeed
2025-04-01,5.48,5.48,5.48,5.48,0.00,FTFeed
2025-04-02,5.46,5.46,5.46,5.46,0.00,FTFeed
2025-04-03,5.37,5.37,5.37,5.37,0.00,FTFeed
2025-04-04,5.19,5.19,5.19,5.19,0.00,FTFeed
2025-04-07,5.12,5.12,5.12,5.12,0.00,FTFeed
2025-04-08,5.12,5.12,5.12,5.12,0.00,FTFeed
2025-04-09,5.27,5.27,5.27,5.27,0.00,FTFeed
2025-04-10,5.22,5.22,5.22,5.22,0.00,FTFeed
2025-04-11,5.25,5.25,5.25,5.25,0.00,FTFeed
2025-04-14,5.27,5.27,5.27,5.27,0.00,FTFeed
2025-04-15,5.26,5.26,5.26,5.26,0.00,FTFeed
