date,open,high,low,close,volume,comment
2021-10-21,25.74,25.74,25.74,25.74,0.00,FTFeed
2021-10-22,26.22,26.22,26.22,26.22,0.00,FTFeed
2021-10-25,26.37,26.37,26.37,26.37,0.00,FTFeed
2021-10-26,25.85,25.85,25.85,25.85,0.00,FTFeed
2021-10-27,26.29,26.29,26.29,26.29,0.00,FTFeed
2021-10-28,26.69,26.69,26.69,26.69,0.00,FTFeed
2021-10-29,26.44,26.44,26.44,26.44,0.00,FTFeed
2021-11-01,25.99,25.99,25.99,25.99,0.00,FTFeed
2021-11-02,25.94,25.94,25.94,25.94,0.00,FTFeed
2021-11-03,26.33,26.33,26.33,26.33,0.00,FTFeed
2021-11-04,26.18,26.18,26.18,26.18,0.00,FTFeed
2021-11-05,26.99,26.99,26.99,26.99,0.00,FTFeed
2021-11-08,26.89,26.89,26.89,26.89,0.00,FTFeed
2021-11-09,27.48,27.48,27.48,27.48,0.00,FTFeed
2021-11-10,27.02,27.02,27.02,27.02,0.00,FTFeed
2021-11-11,26.77,26.77,26.77,26.77,0.00,FTFeed
2021-11-12,26.72,26.72,26.72,26.72,0.00,FTFeed
2021-11-15,26.78,26.78,26.78,26.78,0.00,FTFeed
2021-11-16,27.07,27.07,27.07,27.07,0.00,FTFeed
2021-11-17,26.76,26.76,26.76,26.76,0.00,FTFeed
2021-11-18,26.88,26.88,26.88,26.88,0.00,FTFeed
2021-11-19,27.33,27.33,27.33,27.33,0.00,FTFeed
2021-11-22,26.92,26.92,26.92,26.92,0.00,FTFeed
2021-11-23,27.07,27.07,27.07,27.07,0.00,FTFeed
2021-11-24,27.00,27.00,27.00,27.00,0.00,FTFeed
2021-11-25,26.71,26.71,26.71,26.71,0.00,FTFeed
2021-11-26,27.30,27.30,27.30,27.30,0.00,FTFeed
2021-11-29,27.58,27.58,27.58,27.58,0.00,FTFeed
2021-11-30,27.62,27.62,27.62,27.62,0.00,FTFeed
2021-12-01,27.53,27.53,27.53,27.53,0.00,FTFeed
2021-12-02,27.73,27.73,27.73,27.73,0.00,FTFeed
2021-12-03,27.84,27.84,27.84,27.84,0.00,FTFeed
2021-12-06,27.78,27.78,27.78,27.78,0.00,FTFeed
2021-12-07,27.99,27.99,27.99,27.99,0.00,FTFeed
2021-12-08,27.88,27.88,27.88,27.88,0.00,FTFeed
2021-12-09,27.78,27.78,27.78,27.78,0.00,FTFeed
2021-12-10,27.71,27.71,27.71,27.71,0.00,FTFeed
