date,open,high,low,close,volume,comment
2025-03-17,2.69,2.69,2.69,2.69,0.00,FTFeed
2025-03-18,2.73,2.73,2.73,2.73,0.00,FTFeed
2025-03-19,2.70,2.70,2.70,2.70,0.00,FTFeed
2025-03-20,2.76,2.76,2.76,2.76,0.00,FTFeed
2025-03-21,2.73,2.73,2.73,2.73,0.00,FTFeed
2025-03-24,2.75,2.75,2.75,2.75,0.00,FTFeed
2025-03-25,2.81,2.81,2.81,2.81,0.00,FTFeed
2025-03-26,2.82,2.82,2.82,2.82,0.00,FTFeed
2025-03-27,2.78,2.78,2.78,2.78,0.00,FTFeed
2025-03-28,2.76,2.76,2.76,2.76,0.00,FTFeed
2025-03-31,2.69,2.69,2.69,2.69,0.00,FTFeed
2025-04-01,2.68,2.68,2.68,2.68,0.00,FTFeed
2025-04-02,2.69,2.69,2.69,2.69,0.00,FTFeed
2025-04-03,2.62,2.62,2.62,2.62,0.00,FTFeed
2025-04-04,2.58,2.58,2.58,2.58,0.00,FTFeed
2025-04-07,2.39,2.39,2.39,2.39,0.00,FTFeed
2025-04-08,2.49,2.49,2.49,2.49,0.00,FTFeed
2025-04-09,2.42,2.42,2.42,2.42,0.00,FTFeed
2025-04-10,2.58,2.58,2.58,2.58,0.00,FTFeed
2025-04-11,2.51,2.51,2.51,2.51,0.00,FTFeed
2025-04-14,2.58,2.58,2.58,2.58,0.00,FTFeed
2025-04-15,2.57,2.57,2.57,2.57,0.00,FTFeed
2025-04-16,2.56,2.56,2.56,2.56,0.00,FTFeed
2025-04-17,2.54,2.54,2.54,2.54,0.00,FTFeed
