date,open,high,low,close,volume,comment
2025-03-28,1.90,1.90,1.90,1.90,0.00,FTFeed
2025-03-31,1.89,1.89,1.89,1.89,0.00,FTFeed
2025-04-01,1.89,1.89,1.89,1.89,0.00,FTFeed
2025-04-02,1.89,1.89,1.89,1.89,0.00,FTFeed
2025-04-03,1.89,1.89,1.89,1.89,0.00,FTFeed
2025-04-04,1.88,1.88,1.88,1.88,0.00,FTFeed
2025-04-09,1.85,1.85,1.85,1.85,0.00,FTFeed
2025-04-10,1.87,1.87,1.87,1.87,0.00,FTFeed
2025-04-11,1.87,1.87,1.87,1.87,0.00,FTFeed
2025-04-14,1.88,1.88,1.88,1.88,0.00,FTFeed
2025-04-15,1.88,1.88,1.88,1.88,0.00,FTFeed
2025-04-16,1.88,1.88,1.88,1.88,0.00,FTFeed
