date,open,high,low,close,volume,comment
2021-10-20,146.80,146.80,146.80,146.80,0.00,FTFeed
2021-10-21,146.50,146.50,146.50,146.50,0.00,FTFeed
2021-10-22,146.90,146.90,146.90,146.90,0.00,FTFeed
2021-10-25,145.80,145.80,145.80,145.80,0.00,FTFeed
2021-10-26,146.50,146.50,146.50,146.50,0.00,FTFeed
2021-10-27,147.90,147.90,147.90,147.90,0.00,FTFeed
2021-10-28,145.50,145.50,145.50,145.50,0.00,FTFeed
2021-10-29,145.70,145.70,145.70,145.70,0.00,FTFeed
2021-11-01,145.30,145.30,145.30,145.30,0.00,FTFeed
2021-11-02,145.60,145.60,145.60,145.60,0.00,FTFeed
2021-11-03,145.90,145.90,145.90,145.90,0.00,FTFeed
2021-11-04,146.50,146.50,146.50,146.50,0.00,FTFeed
2021-11-05,148.10,148.10,148.10,148.10,0.00,FTFeed
2021-11-08,147.10,147.10,147.10,147.10,0.00,FTFeed
2021-11-09,148.50,148.50,148.50,148.50,0.00,FTFeed
2021-11-10,146.70,146.70,146.70,146.70,0.00,FTFeed
2021-11-11,147.00,147.00,147.00,147.00,0.00,FTFeed
2021-11-12,148.60,148.60,148.60,148.60,0.00,FTFeed
2021-11-15,147.90,147.90,147.90,147.90,0.00,FTFeed
2021-11-16,147.70,147.70,147.70,147.70,0.00,FTFeed
2021-11-17,147.50,147.50,147.50,147.50,0.00,FTFeed
2021-11-18,146.50,146.50,146.50,146.50,0.00,FTFeed
2021-11-19,147.20,147.20,147.20,147.20,0.00,FTFeed
2021-11-22,146.80,146.80,146.80,146.80,0.00,FTFeed
2021-11-23,143.10,143.10,143.10,143.10,0.00,FTFeed
2021-11-24,142.40,142.40,142.40,142.40,0.00,FTFeed
2021-11-25,142.90,142.90,142.90,142.90,0.00,FTFeed
2021-11-26,140.30,140.30,140.30,140.30,0.00,FTFeed
2021-11-29,141.10,141.10,141.10,141.10,0.00,FTFeed
2021-11-30,140.20,140.20,140.20,140.20,0.00,FTFeed
2021-12-01,141.00,141.00,141.00,141.00,0.00,FTFeed
2021-12-02,140.20,140.20,140.20,140.20,0.00,FTFeed
2021-12-03,140.00,140.00,140.00,140.00,0.00,FTFeed
2021-12-06,139.00,139.00,139.00,139.00,0.00,FTFeed
2021-12-07,142.40,142.40,142.40,142.40,0.00,FTFeed
2021-12-08,145.40,145.40,145.40,145.40,0.00,FTFeed
2021-12-09,143.20,143.20,143.20,143.20,0.00,FTFeed
2021-12-10,141.90,141.90,141.90,141.90,0.00,FTFeed
