date,open,high,low,close,volume,comment
2017-06-14,18.78,18.93,18.78,18.81,2408.00,Alphavantage
2017-06-15,18.28,18.30,17.95,17.95,35025.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-16,18.13,18.13,17.93,17.93,77.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-19,17.94,18.05,17.83,18.05,4054.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-20,18.11,18.11,18.00,18.00,4429.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-21,18.12,18.12,18.09,18.10,829.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-22,18.45,18.45,18.29,18.45,1445.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-23,18.61,18.61,18.52,18.54,1751.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-26,18.39,18.46,18.32,18.46,293.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-27,18.29,18.29,18.27,18.27,2200.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-28,16.84,18.91,16.84,18.91,100.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-29,17.64,18.90,17.64,18.90,276.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-06-30,17.41,17.69,17.41,17.62,872.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-03,17.42,17.42,17.27,17.27,58.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-04,17.52,17.52,17.29,17.43,3278.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-05,17.58,17.58,17.36,17.36,2885.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-06,17.47,17.47,17.28,17.30,3509.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-07,17.16,17.16,17.00,17.00,637.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-10,16.93,17.35,16.93,17.32,6002.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-11,17.18,17.39,17.18,17.39,1042.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-12,17.71,17.74,17.59,17.59,2744.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-13,17.36,17.36,17.36,17.36,2744.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-14,17.34,19.88,17.34,17.44,3374.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-17,19.97,19.97,17.50,17.63,4356.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-18,17.76,17.76,17.76,17.76,4356.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-19,17.74,17.76,17.74,17.76,55.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-20,17.88,17.92,17.88,17.92,5702.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-21,17.89,17.90,17.89,17.90,3382.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-24,17.74,17.84,17.74,17.74,225.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-25,17.81,17.81,17.69,17.69,100.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-26,17.74,17.77,17.69,17.77,218.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-27,18.21,18.27,18.02,18.02,9372.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-28,17.95,18.11,17.95,18.11,299.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-07-31,18.08,18.15,18.08,18.12,963.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-01,17.99,18.05,17.86,18.04,1980.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-02,17.99,18.00,17.99,18.00,464.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-03,17.68,17.80,17.68,17.80,400.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-04,17.92,17.92,17.73,17.73,82.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-07,17.67,17.81,17.67,17.81,1050.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-08,17.86,17.86,17.72,17.76,7892.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-09,17.85,18.18,17.85,18.09,2614.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-10,18.10,18.46,18.10,18.45,2358.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-11,18.50,18.50,18.42,18.42,10221.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-14,18.40,18.40,18.14,18.34,4755.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-15,18.24,18.29,16.30,18.23,1753.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-16,20.55,20.55,18.06,18.38,21358.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-17,18.72,18.75,18.38,18.38,5192.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-18,18.88,18.88,18.77,18.77,3809.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-21,18.72,18.72,18.61,18.71,3262.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-22,18.67,18.76,18.67,18.76,2940.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-23,18.88,18.96,18.82,18.82,1878.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-24,18.65,18.89,18.65,18.89,724.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-25,19.10,19.10,19.00,19.00,2438.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-29,19.90,20.05,19.56,19.56,2727.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-30,19.67,19.82,19.46,19.50,3652.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-08-31,19.58,19.80,19.58,19.80,658.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-01,19.78,19.97,19.69,19.81,1356.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-04,20.37,20.37,20.14,20.23,2749.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-05,20.08,20.24,19.90,20.09,6339.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-06,20.03,20.19,20.01,20.08,2805.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-07,20.15,20.25,20.15,20.25,5332.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-08,20.16,20.22,19.74,19.83,3435.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-11,19.74,19.74,19.44,19.52,4816.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-12,19.27,19.27,19.23,19.23,6923.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-13,19.26,19.40,19.12,19.15,2347.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-14,19.02,19.18,18.77,18.77,3692.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-15,18.80,18.96,18.48,18.48,1449.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-18,18.52,18.52,18.22,18.22,1237.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-19,18.36,18.36,18.33,18.33,980.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-20,18.33,18.53,18.33,18.48,2802.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-21,17.78,17.90,17.78,17.90,3681.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-22,17.98,18.03,17.98,18.03,278.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-25,18.10,18.27,18.10,18.27,11891.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-26,18.37,18.37,18.22,18.22,760.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-27,17.82,17.93,17.79,17.87,32967.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-28,17.89,17.91,17.84,17.84,1116.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-09-29,18.11,18.11,17.90,17.90,3175.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-02,18.05,18.05,18.02,18.02,6115.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-03,18.11,18.28,18.11,18.25,10167.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-04,18.41,18.48,18.28,18.28,2319.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-05,18.62,18.62,18.48,18.50,2708.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-06,18.61,18.66,18.61,18.66,1106.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-09,18.65,18.81,18.65,18.76,209.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-10,18.75,18.75,18.72,18.72,152.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-11,18.70,18.74,18.45,18.45,2074.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-12,18.67,18.85,18.67,18.71,2082.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-13,18.54,18.66,18.54,18.62,206.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-16,18.80,18.80,18.55,18.55,1833.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-17,18.34,18.39,18.34,18.39,103.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-18,18.27,18.47,18.27,18.37,408.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-19,18.55,18.55,18.52,18.55,120.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-20,18.31,18.38,18.30,18.30,583.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-23,18.27,18.27,18.14,18.14,4518.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-24,18.25,18.25,18.24,18.24,108.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-25,17.93,18.09,17.89,17.89,1515.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-26,18.00,18.00,17.83,17.83,3897.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-27,17.86,17.86,17.66,17.80,3206.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-30,17.82,17.97,17.69,17.97,1386.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-10-31,18.05,18.05,17.57,17.60,1718.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-11-01,17.80,17.82,17.80,17.82,2621.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-11-02,17.66,17.98,17.66,17.95,390.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-11-03,17.69,17.75,17.69,17.75,10741.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-11-06,18.00,18.06,18.00,18.06,133.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-11-07,18.01,18.01,17.93,17.93,249.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-11-08,18.18,18.24,18.18,18.24,278.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-11-09,18.28,18.28,18.12,18.12,2.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-11-10,17.82,17.96,17.79,17.79,9976.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-11-13,17.97,18.09,17.91,17.91,4.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-11-14,17.55,17.88,17.55,17.88,1265.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-11-15,17.80,18.00,17.79,17.81,2084.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
