date,open,high,low,close,volume,comment
2021-04-22,12854.00,12858.00,12854.00,12858.00,14.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-04-23,12828.00,12828.00,12828.00,12828.00,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-04-26,12813.00,12814.00,12802.50,12802.50,510.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-04-27,12833.00,12833.00,12768.00,12768.00,10.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-04-28,12744.50,12744.50,12744.50,12744.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-04-29,12631.00,12664.50,12631.00,12664.50,3.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-04-30,12790.00,12790.00,12790.00,12790.00,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-04,12878.00,12880.00,12854.50,12854.50,2.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-05,12736.00,12801.00,12736.00,12801.00,1.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-06,13087.00,13087.00,13087.00,13087.00,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-07,13094.50,13094.50,13094.50,13094.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-10,13008.00,13008.00,13008.00,13008.00,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-11,12929.50,12929.50,12929.50,12929.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-12,12974.00,12974.00,12924.00,12924.00,1470.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-13,12982.50,12982.50,12982.50,12982.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-14,13042.00,13042.00,13042.00,13042.00,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-17,13132.00,13207.00,13120.00,13207.00,2.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-18,13179.00,13179.00,13158.50,13158.50,15.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-19,13297.00,13297.50,13297.00,13297.50,2.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-20,13251.50,13251.50,13251.50,13251.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-21,13225.50,13225.50,13225.50,13225.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-24,13302.00,13302.00,13302.00,13302.00,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-25,13261.00,13381.50,13261.00,13381.50,20.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-26,13464.00,13464.00,13464.00,13464.00,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-27,13461.00,13461.00,13334.00,13334.00,8.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-28,13349.00,13349.00,13349.00,13349.00,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-01,13467.00,13467.00,13395.00,13395.00,2.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-02,13410.00,13418.50,13410.00,13418.50,1.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-03,13310.00,13310.00,13239.50,13239.50,25.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-04,13326.00,13359.00,13326.00,13359.00,5.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-07,13326.00,13348.00,13326.00,13348.00,5.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-08,13369.50,13369.50,13369.50,13369.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
