date,open,high,low,close,volume,comment
2019-07-03,811.65,811.65,811.65,811.65,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-04,814.70,814.70,814.70,814.70,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-05,811.55,811.55,811.55,811.55,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-08,812.45,812.45,812.45,812.45,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-09,809.55,809.55,809.55,809.55,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-10,810.55,810.55,810.55,810.55,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-11,802.20,802.20,802.20,802.20,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-12,803.20,803.20,803.20,803.20,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-15,809.95,809.95,809.95,809.95,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-16,810.40,816.10,810.40,816.10,3648.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-17,815.50,815.50,813.75,813.75,605.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-18,803.40,803.40,803.40,803.40,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-19,805.50,807.40,805.30,807.40,1838.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-22,804.30,806.30,803.00,803.00,63.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-23,811.05,811.05,811.05,811.05,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-24,809.30,809.30,809.30,809.30,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-25,812.85,812.85,812.85,812.85,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-26,815.25,815.25,815.25,815.25,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-29,823.40,823.40,823.40,823.40,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-30,825.00,829.65,805.30,829.65,121.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-07-31,829.75,829.75,829.75,829.75,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-01,826.60,831.95,826.60,831.95,1193.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-02,817.20,817.20,810.70,810.85,4039.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-05,795.30,795.30,795.30,795.30,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-06,792.70,796.25,792.20,796.25,2492.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-07,807.10,807.10,801.60,801.60,612.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-08,819.15,819.15,819.15,819.15,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-09,819.25,819.25,819.25,819.25,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-12,817.75,817.75,817.75,817.75,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-13,812.50,822.95,812.20,822.95,1263.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-14,813.00,813.00,809.95,809.95,1262.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-15,805.70,805.70,796.50,801.65,3869.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-16,809.60,809.60,809.60,809.60,634.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-19,821.50,821.50,819.50,819.50,867.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-20,821.10,821.10,815.15,815.15,625.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-21,817.90,817.90,817.90,817.90,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-22,813.80,813.80,808.30,808.30,618.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-23,804.50,804.50,797.15,797.15,625.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-27,796.00,797.50,791.00,791.00,1263.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-28,799.05,799.05,799.05,799.05,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-08-29,805.80,810.30,796.00,810.30,17.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
