date,open,high,low,close,volume,comment
2015-11-24,1046.00,1046.00,1043.50,1046.00,958.00,Alphavantage
2015-12-01,1065.00,1065.00,1065.00,1065.00,958.00,Alphavantage
2015-12-24,998.29,998.29,998.29,998.29,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-29,1004.79,1004.79,1004.79,1004.79,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-30,1001.91,1001.91,1001.91,1001.91,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-31,993.29,993.29,993.29,993.29,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-04,958.59,958.59,958.59,958.59,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-05,963.83,963.83,963.83,963.83,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-06,951.10,951.10,951.10,951.10,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-07,933.62,933.62,933.62,933.62,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-08,920.12,920.12,920.12,920.12,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-11,919.62,919.62,919.62,919.62,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-12,1063.57,1063.57,929.62,929.62,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-13,927.75,927.75,927.75,927.75,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-14,915.01,915.01,915.01,915.01,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-15,888.32,888.32,888.32,888.32,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-18,890.31,890.31,890.31,890.31,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-19,903.91,903.91,903.91,903.91,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-20,873.33,873.33,873.33,873.33,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-21,1063.57,1063.57,895.43,895.43,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-22,924.50,924.50,924.50,924.50,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
