date,open,high,low,close,volume,comment
2010-07-13,33.12,33.12,33.12,33.12,1.00,Alphavantage
2010-07-14,33.24,33.24,33.17,33.17,150.00,Alphavantage
2010-07-15,32.82,32.82,32.69,32.69,6520.00,Alphavantage
2010-07-16,33.19,33.19,33.05,33.11,2650.00,Alphavantage
2010-07-19,32.37,32.38,32.37,32.37,10050.00,Alphavantage
2010-07-22,34.38,34.38,34.38,34.38,417.00,Alphavantage
2010-07-26,33.81,33.81,33.81,33.81,25.00,Alphavantage
2010-07-28,34.48,34.48,34.48,34.48,426.00,Alphavantage
2010-08-02,35.39,35.39,35.39,35.39,218.00,Alphavantage
2010-08-03,36.03,36.03,36.03,36.03,574.00,Alphavantage
2010-08-04,35.72,35.80,35.72,35.72,10000.00,Alphavantage
2010-08-13,34.35,34.37,34.35,34.36,50.00,Alphavantage
2010-08-25,33.71,33.71,33.71,33.71,500.00,Alphavantage
2010-08-27,33.23,33.23,33.23,33.23,153.00,Alphavantage
2010-08-31,33.93,33.95,33.93,33.94,100.00,Alphavantage
2010-09-02,35.08,35.08,35.06,35.07,65.00,Alphavantage
2010-09-03,35.58,35.58,35.56,35.57,60.00,Alphavantage
2010-09-07,35.35,35.37,35.35,35.36,200.00,Alphavantage
2010-09-08,35.30,35.30,35.30,35.30,3279.00,Alphavantage
2010-09-09,35.19,35.19,35.17,35.18,300.00,Alphavantage
2010-09-10,35.28,35.28,35.26,35.27,200.00,Alphavantage
2010-09-13,36.05,36.07,36.05,36.06,268.00,Alphavantage
2010-09-14,36.30,36.30,36.30,36.30,935.00,Alphavantage
2010-09-15,35.60,35.60,35.58,35.59,85.00,Alphavantage
2010-09-16,35.94,35.94,35.92,35.93,200.00,Alphavantage
2010-09-17,35.57,35.57,35.55,35.56,40.00,Alphavantage
2010-09-24,36.40,36.40,36.40,36.40,1230.00,Alphavantage
2010-09-27,36.28,36.28,36.28,36.28,1210.00,Alphavantage
2010-09-28,37.13,37.13,36.68,36.68,5200.00,Alphavantage
2010-09-30,37.26,37.28,37.26,37.27,250.00,Alphavantage
2010-10-01,37.82,38.02,37.82,37.82,5041.00,Alphavantage
2010-10-04,38.25,38.36,38.12,38.17,19460.00,Alphavantage
2010-10-05,38.40,38.40,38.34,38.40,3506.00,Alphavantage
2010-10-06,38.70,38.70,38.46,38.46,80.00,Alphavantage
2010-10-11,39.04,39.04,39.02,39.03,1700.00,Alphavantage
2010-10-12,38.92,38.93,38.92,38.92,1400.00,Alphavantage
2010-10-13,39.19,39.65,38.89,39.65,180.00,Alphavantage
2010-10-14,39.72,39.72,39.63,39.63,57181.00,Alphavantage
2010-10-15,39.51,39.51,39.49,39.50,150.00,Alphavantage
