date,open,high,low,close,volume,comment
2017-03-23,399.85,399.85,399.85,399.85,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-03-24,398.40,398.40,398.40,398.40,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-03-27,394.80,394.80,394.80,394.80,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-03-28,396.90,396.90,396.90,396.90,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-03-29,401.10,401.10,401.10,401.10,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-03-30,399.65,399.65,399.65,399.65,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-03-31,397.20,397.20,397.20,397.20,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-04-03,397.80,397.80,397.80,397.80,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-04-04,398.10,398.10,398.10,398.10,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-04-05,399.70,399.70,399.70,399.70,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-04-06,397.40,397.40,397.40,397.40,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-04-07,401.40,401.40,401.40,401.40,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-04-10,401.30,401.30,401.30,401.30,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-04-11,401.30,401.30,401.30,401.30,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-04-12,400.25,400.25,400.25,400.25,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-04-13,399.15,399.15,399.15,399.15,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-04-18,395.60,395.60,395.60,395.60,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-04-19,392.75,392.75,392.75,392.75,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-04-20,390.10,390.10,390.10,390.10,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-04-21,391.65,391.65,391.65,391.65,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-04-24,392.20,393.90,392.10,393.90,91964.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-04-25,393.40,393.65,393.40,393.65,30000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-04-26,393.10,393.10,393.10,393.10,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-04-27,388.25,388.25,388.25,388.25,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-04-28,393.40,393.40,386.65,386.65,30000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-05-02,393.40,393.40,384.20,384.20,30000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2017-05-03,384.70,384.70,384.70,384.70,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
