date,open,high,low,close,volume,comment
2025-03-14,10.92,10.92,10.92,10.92,0.00,FTFeed
2025-03-18,10.88,10.88,10.88,10.88,0.00,FTFeed
2025-03-19,10.82,10.82,10.82,10.82,0.00,FTFeed
2025-03-20,10.75,10.75,10.75,10.75,0.00,FTFeed
2025-03-21,10.75,10.75,10.75,10.75,0.00,FTFeed
2025-03-24,10.72,10.72,10.72,10.72,0.00,FTFeed
2025-03-25,10.71,10.71,10.71,10.71,0.00,FTFeed
2025-03-26,10.73,10.73,10.73,10.73,0.00,FTFeed
2025-03-27,10.63,10.63,10.63,10.63,0.00,FTFeed
2025-03-28,10.59,10.59,10.59,10.59,0.00,FTFeed
2025-03-31,10.67,10.67,10.67,10.67,0.00,FTFeed
2025-04-01,10.71,10.71,10.71,10.71,0.00,FTFeed
2025-04-02,10.65,10.65,10.65,10.65,0.00,FTFeed
2025-04-03,10.62,10.62,10.62,10.62,0.00,FTFeed
2025-04-04,10.64,10.64,10.64,10.64,0.00,FTFeed
2025-04-07,10.66,10.66,10.66,10.66,0.00,FTFeed
2025-04-08,10.59,10.59,10.59,10.59,0.00,FTFeed
2025-04-09,10.46,10.46,10.46,10.46,0.00,FTFeed
2025-04-10,10.48,10.48,10.48,10.48,0.00,FTFeed
2025-04-11,10.45,10.45,10.45,10.45,0.00,FTFeed
2025-04-14,10.44,10.44,10.44,10.44,0.00,FTFeed
2025-04-15,10.36,10.36,10.36,10.36,0.00,FTFeed
