date,open,high,low,close,volume,comment
2021-10-20,17.37,17.37,17.37,17.37,0.00,FTFeed
2021-10-21,17.30,17.30,17.30,17.30,0.00,FTFeed
2021-10-22,17.49,17.49,17.49,17.49,0.00,FTFeed
2021-10-26,17.59,17.59,17.59,17.59,0.00,FTFeed
2021-10-27,17.58,17.58,17.58,17.58,0.00,FTFeed
2021-10-28,17.32,17.32,17.32,17.32,0.00,FTFeed
2021-10-29,17.23,17.23,17.23,17.23,0.00,FTFeed
2021-11-01,17.51,17.51,17.51,17.51,0.00,FTFeed
2021-11-02,17.78,17.78,17.78,17.78,0.00,FTFeed
2021-11-03,17.40,17.40,17.40,17.40,0.00,FTFeed
2021-11-04,17.54,17.54,17.54,17.54,0.00,FTFeed
2021-11-05,17.99,17.99,17.99,17.99,0.00,FTFeed
2021-11-08,17.72,17.72,17.72,17.72,0.00,FTFeed
2021-11-09,17.63,17.63,17.63,17.63,0.00,FTFeed
2021-11-10,17.49,17.49,17.49,17.49,0.00,FTFeed
2021-11-11,17.22,17.22,17.22,17.22,0.00,FTFeed
2021-11-12,17.23,17.23,17.23,17.23,0.00,FTFeed
2021-11-15,17.31,17.31,17.31,17.31,0.00,FTFeed
2021-11-16,17.05,17.05,17.05,17.05,0.00,FTFeed
2021-11-17,17.23,17.23,17.23,17.23,0.00,FTFeed
2021-11-18,16.96,16.96,16.96,16.96,0.00,FTFeed
2021-11-19,16.79,16.79,16.79,16.79,0.00,FTFeed
2021-11-22,16.68,16.68,16.68,16.68,0.00,FTFeed
2021-11-23,16.24,16.24,16.24,16.24,0.00,FTFeed
2021-11-24,15.92,15.92,15.92,15.92,0.00,FTFeed
2021-11-25,16.13,16.13,16.13,16.13,0.00,FTFeed
2021-11-26,15.89,15.89,15.89,15.89,0.00,FTFeed
2021-11-29,15.98,15.98,15.98,15.98,0.00,FTFeed
2021-11-30,15.82,15.82,15.82,15.82,0.00,FTFeed
2021-12-01,15.95,15.95,15.95,15.95,0.00,FTFeed
2021-12-02,15.19,15.19,15.19,15.19,0.00,FTFeed
2021-12-03,15.35,15.35,15.35,15.35,0.00,FTFeed
2021-12-06,14.82,14.82,14.82,14.82,0.00,FTFeed
2021-12-07,15.20,15.20,15.20,15.20,0.00,FTFeed
2021-12-08,15.73,15.73,15.73,15.73,0.00,FTFeed
2021-12-09,15.98,15.98,15.98,15.98,0.00,FTFeed
2021-12-10,15.39,15.39,15.39,15.39,0.00,FTFeed
