date,open,high,low,close,volume,comment
2015-04-13,1812.00,1812.00,1808.50,1809.50,3100.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-14,1803.00,1803.00,1784.00,1784.00,669.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-15,1800.00,1812.00,1800.00,1812.00,754.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-16,1791.00,1796.00,1791.00,1796.00,50.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-17,1788.50,1788.50,1762.50,1764.50,978.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,1776.50,1790.00,1776.50,1790.00,1566.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,1773.50,1777.50,1773.50,1777.50,1690.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,1777.50,1779.00,1777.50,1779.00,520.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,1783.00,1783.00,1777.50,1777.50,660.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,1776.50,1784.00,1774.50,1778.00,1456.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,1770.00,1770.00,1757.50,1757.50,200.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,1742.00,1742.00,1739.50,1739.50,2000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,1727.00,1740.50,1727.00,1739.00,1422.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,1742.00,1764.00,1742.00,1764.00,686.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,1778.00,1778.00,1752.00,1752.00,3114.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,1745.50,1754.00,1745.50,1749.50,800.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,1736.50,1746.00,1734.00,1746.00,25284.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,1735.50,1753.50,1735.50,1753.50,893.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,1717.50,1720.00,1717.50,1720.00,272.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,1729.50,1729.50,1717.50,1717.50,1016.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-14,1718.00,1729.00,1718.00,1729.00,2600.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-18,1735.00,1740.50,1734.00,1734.00,2882.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-19,1745.00,1772.50,1745.00,1754.00,23136.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-20,1757.00,1758.00,1756.50,1758.00,1248.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-26,1765.00,1765.00,1750.50,1750.50,480.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-27,1754.00,1772.00,1754.00,1772.00,2206.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-28,1767.50,1768.00,1767.50,1768.00,1018.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-01,1773.00,1773.00,1772.50,1772.50,936.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-04,1764.00,1764.00,1762.50,1762.50,1360.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-05,1766.00,1766.00,1760.50,1760.50,904.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-08,1740.00,1752.00,1740.00,1750.50,1368.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-09,1724.00,1726.00,1718.50,1726.00,16790.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-11,1753.50,1754.50,1750.00,1750.00,1476.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-12,1743.50,1746.00,1719.50,1719.50,2974.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-15,1704.00,1704.00,1704.00,1704.00,124.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-17,1697.00,1701.00,1697.00,1701.00,2378.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-18,1680.00,1682.00,1680.00,1682.00,2808.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-22,1714.00,1727.00,1714.00,1727.00,280.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-23,1731.00,1736.50,1731.00,1736.50,16.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-25,1732.50,1732.50,1724.50,1728.00,1154.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-26,1718.00,1719.50,1718.00,1719.50,140.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-30,1674.00,1674.00,1666.50,1666.50,2460.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-03,1690.00,1690.00,1686.50,1686.50,826.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-06,1667.00,1673.50,1667.00,1673.50,2840.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-08,1660.50,1662.50,1660.50,1661.50,17193.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-09,1669.00,1669.00,1669.00,1669.00,10008.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-10,1678.50,1681.00,1678.50,1681.00,16730.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-14,1703.00,1703.00,1696.00,1702.00,2396.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-16,1705.50,1714.00,1705.50,1709.00,1674.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-17,1700.50,1708.50,1700.50,1701.00,2518.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-20,1706.50,1710.50,1702.50,1702.50,2898.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-21,1708.00,1708.00,1705.00,1705.00,1170.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-22,1692.50,1692.50,1688.50,1688.50,4660.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-23,1698.50,1707.00,1698.50,1707.00,130.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-24,1701.00,1703.50,1689.00,1689.00,3025.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-27,1678.00,1678.00,1672.00,1672.00,7150.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-28,1669.00,1669.00,1668.00,1668.00,3000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-29,1675.50,1677.50,1675.50,1677.50,1548.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-30,1689.00,1689.00,1682.50,1682.50,1263.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-03,1687.50,1693.50,1687.50,1691.00,1786.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-04,1690.00,1690.00,1690.00,1690.00,50.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-05,1698.50,1700.00,1697.00,1697.00,8646.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-07,1703.00,1704.00,1703.00,1704.00,884.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-10,1701.00,1711.00,1699.50,1711.00,3822.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-11,1692.00,1694.50,1686.00,1686.00,4178.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-13,1677.50,1677.50,1677.00,1677.00,1428.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-14,1667.00,1667.50,1667.00,1667.50,2952.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-17,1668.50,1674.00,1668.50,1674.00,476.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-18,1660.00,1665.00,1659.50,1665.00,2286.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-20,1618.00,1626.00,1609.50,1609.50,7776.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-21,1591.00,1591.00,1578.50,1578.50,860.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-24,1560.00,1560.00,1515.00,1515.00,2169.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-25,1519.50,1544.00,1519.50,1544.00,256.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-26,1528.50,1542.50,1523.00,1523.00,720.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-27,1578.50,1578.50,1577.00,1577.00,6332.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-28,1601.00,1601.00,1600.00,1601.00,5018.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-01,1581.50,1581.50,1545.50,1550.00,14828.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-04,1553.50,1555.00,1553.50,1555.00,2000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-07,1561.00,1562.50,1555.00,1562.50,2150.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-08,1566.00,1573.00,1566.00,1567.00,1018.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-09,1606.50,1606.50,1595.50,1595.50,1272.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-10,1584.00,1584.00,1564.00,1570.00,5568.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-11,1562.50,1562.50,1561.50,1561.50,1112.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-14,1564.00,1567.50,1553.00,1561.50,3980.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-17,1588.00,1588.00,1580.50,1581.00,3336.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-18,1565.50,1565.50,1532.00,1543.50,1202.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-21,1541.50,1552.00,1541.00,1552.00,1386.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-22,1523.00,1523.50,1523.00,1523.50,2868.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-23,1526.50,1534.50,1526.00,1534.50,710.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-24,1513.00,1513.00,1508.50,1508.50,1502.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-25,1551.00,1551.00,1547.00,1547.00,5004.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-30,1522.00,1523.50,1522.00,1523.50,209.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-01,1534.00,1538.50,1527.00,1527.00,1761.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-02,1525.50,1525.50,1525.50,1525.50,39.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-05,1577.00,1595.00,1577.00,1595.00,777.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-08,1609.50,1611.00,1609.00,1611.00,8579.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-09,1625.00,1637.00,1625.00,1637.00,10016.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-13,1628.50,1628.50,1628.00,1628.00,394.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-14,1602.00,1611.00,1602.00,1611.00,1309.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-15,1613.00,1613.00,1613.00,1613.00,1525.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-16,1627.50,1627.50,1623.50,1624.50,2754.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-19,1621.00,1621.00,1614.50,1616.00,9926.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-20,1617.00,1617.00,1613.00,1613.00,3685.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-21,1622.50,1627.00,1620.00,1620.00,670.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-22,1632.00,1632.00,1632.00,1632.00,1000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-23,1635.50,1648.50,1635.50,1648.50,1507.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-26,1657.00,1657.00,1647.00,1647.50,11721.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-27,1655.50,1655.50,1641.00,1641.00,490.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-30,1640.50,1640.50,1634.50,1634.50,332.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-02,1611.50,1635.00,1611.50,1635.00,21110.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-03,1631.50,1636.00,1631.50,1635.50,1962.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-04,1630.00,1644.00,1630.00,1644.00,874.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-06,1652.00,1652.00,1652.00,1652.00,543.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-09,1659.50,1659.50,1646.00,1646.00,1643.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-10,1648.00,1648.00,1641.00,1641.00,120.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-12,1631.50,1631.50,1631.50,1631.50,2144.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-13,1606.50,1606.50,1593.00,1593.00,6620.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-16,1599.50,1599.50,1591.75,1591.75,812.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-17,1618.50,1618.50,1612.00,1616.00,5056.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-18,1612.00,1612.00,1612.00,1612.00,155.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-19,1630.00,1630.00,1630.00,1630.00,155.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-20,1623.00,1623.00,1623.00,1623.00,294.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-23,1628.50,1630.50,1616.00,1630.50,2468.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-24,1622.00,1636.50,1622.00,1636.50,743.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-25,1637.00,1637.00,1637.00,1637.00,9793.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-26,1650.50,1650.50,1650.50,1650.50,231.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-27,1649.50,1649.50,1647.00,1647.00,3618.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-01,1644.50,1644.50,1644.50,1644.50,124.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-02,1655.50,1665.50,1655.50,1665.00,5684.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-04,1624.50,1624.50,1620.00,1620.00,1104.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-07,1640.50,1640.50,1627.50,1627.50,3430.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-08,1620.00,1620.00,1620.00,1620.00,1110.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-10,1590.50,1595.00,1590.50,1594.00,3132.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-11,1596.00,1596.00,1589.00,1589.00,594.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-14,1577.00,1577.00,1568.00,1568.00,1616.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-16,1609.50,1612.00,1609.50,1610.00,2216.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-18,1600.50,1603.00,1600.50,1603.00,1372.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-21,1618.50,1618.50,1618.50,1618.50,832.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-22,1611.00,1611.00,1611.00,1611.00,154.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-23,1635.00,1635.50,1635.00,1635.50,181.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-24,1635.25,1635.25,1635.25,1635.25,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-29,1664.50,1664.50,1651.00,1658.50,277.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-30,1657.00,1657.00,1647.25,1647.25,79.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-31,1647.50,1647.50,1639.75,1639.75,128.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-04,1607.00,1607.00,1605.75,1605.75,300.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-05,1614.00,1622.75,1614.00,1622.75,938.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-06,1605.50,1605.50,1605.50,1605.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-07,1585.50,1585.50,1585.50,1585.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-08,1572.00,1572.00,1559.25,1559.25,108.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-11,1563.50,1563.50,1552.50,1552.50,1135.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-12,1572.50,1572.50,1569.50,1569.50,367.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-13,1573.50,1573.50,1568.75,1568.75,777.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-14,1552.50,1554.25,1536.50,1554.25,1912.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-15,1527.00,1527.00,1527.00,1527.00,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-18,1524.00,1525.25,1524.00,1525.25,181.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-19,1552.00,1562.50,1547.50,1548.50,3507.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-20,1523.00,1523.00,1477.50,1488.00,4758.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-21,1510.00,1511.75,1510.00,1511.75,2200.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-22,1527.00,1532.00,1527.00,1532.00,2000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-25,1531.50,1531.50,1517.50,1527.00,293.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-26,1522.00,1527.75,1522.00,1527.75,217.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-27,1546.00,1546.00,1546.00,1546.00,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-28,1532.50,1532.50,1519.50,1519.50,65.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-29,1555.50,1558.75,1555.50,1558.75,423.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-01,1566.50,1566.50,1548.75,1548.75,321.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-02,1522.00,1533.50,1517.00,1517.00,1411.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-03,1488.00,1494.50,1467.00,1472.25,2061.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-04,1500.25,1500.25,1500.25,1500.25,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-05,1512.50,1512.50,1503.25,1503.25,152.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-08,1491.00,1491.00,1474.00,1474.00,1200.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-09,1444.00,1455.00,1441.50,1455.00,9739.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-10,1468.00,1468.00,1456.25,1456.25,2174.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-11,1424.00,1424.00,1422.25,1422.25,151.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-12,1443.00,1443.00,1443.00,1443.00,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-15,1475.00,1487.00,1475.00,1484.25,8160.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-16,1498.25,1498.25,1498.25,1498.25,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-17,1521.00,1534.50,1521.00,1534.50,51.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-18,1530.75,1530.75,1530.75,1530.75,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-19,1533.50,1533.50,1518.50,1518.50,1134.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-22,1565.00,1565.00,1563.25,1563.25,800.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-23,1564.00,1564.00,1546.75,1546.75,8.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-24,1534.75,1534.75,1534.75,1534.75,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-25,1576.50,1576.50,1556.50,1566.00,763.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-26,1591.50,1598.25,1591.50,1598.25,808.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-29,1569.50,1581.75,1569.50,1581.75,468.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-01,1574.00,1596.50,1572.50,1596.50,1654.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-02,1607.00,1607.00,1607.00,1607.00,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-03,1621.50,1622.50,1609.50,1609.50,738.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-04,1634.00,1634.00,1630.00,1631.25,980.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-07,1620.50,1626.00,1620.50,1626.00,385.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-08,1614.50,1614.50,1607.50,1607.50,1210.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-09,1613.00,1613.00,1613.00,1613.00,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-10,1628.00,1628.00,1595.00,1595.00,1223.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-11,1625.50,1625.50,1625.50,1625.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-14,1635.50,1635.50,1635.50,1635.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-15,1631.00,1631.00,1631.00,1631.00,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-16,1646.50,1646.50,1640.50,1640.50,820.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-17,1617.00,1617.00,1617.00,1617.00,61.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-18,1622.50,1625.25,1622.50,1625.25,12992.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-21,1631.00,1631.00,1630.00,1630.75,3520.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-22,1658.00,1658.50,1640.00,1655.75,13390.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-23,1658.00,1664.00,1653.50,1653.50,48088.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-24,1642.00,1642.00,1620.50,1620.50,30710.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-29,1618.00,1625.00,1616.75,1616.75,764.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-30,1633.00,1639.00,1630.25,1630.25,14347.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-03-31,1625.00,1631.00,1619.50,1622.00,6027.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-04-01,1611.50,1626.50,1607.00,1623.50,5223.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-04-04,1630.50,1630.50,1614.00,1614.00,513.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-04-05,1599.00,1605.50,1595.00,1602.25,5120.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-04-06,1613.00,1621.00,1612.50,1614.00,884.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-04-07,1621.50,1621.50,1608.00,1608.00,72231.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-04-08,1628.00,1637.50,1627.25,1627.25,1371.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-04-11,1619.75,1619.75,1619.75,1619.75,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
