date,open,high,low,close,volume,comment
2022-12-01,80.00,84.50,80.00,84.50,130803.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-02,82.80,84.90,82.80,84.90,132464.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-05,83.80,84.00,82.00,83.00,216259.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-06,81.40,84.00,81.40,82.00,299112.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-07,79.80,80.50,79.80,80.50,56883.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-08,79.77,81.50,79.77,81.50,77995.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-09,79.77,83.50,79.77,83.50,87838.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-12,82.00,83.50,82.00,83.50,97522.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-13,83.00,85.00,82.00,85.00,49198.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-14,82.00,84.90,82.00,84.90,24537.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-15,83.00,84.50,83.00,84.50,69491.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-16,84.00,85.00,83.00,85.00,4155.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-19,83.90,85.00,83.00,85.00,13025.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-20,85.00,85.00,85.00,85.00,37235.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-21,83.90,85.00,83.90,85.00,67655.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-22,86.03,86.03,84.00,84.00,7526.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-23,85.12,85.12,84.50,84.50,53421.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-28,88.00,90.00,84.00,87.00,173141.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-29,89.00,89.00,85.00,87.50,89802.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-30,90.00,90.00,85.20,88.00,80058.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-03,84.20,84.20,84.20,84.20,55097.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-04,90.00,92.00,90.00,91.00,271836.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-05,92.00,93.00,91.50,91.50,110663.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-06,94.00,95.00,92.00,94.00,342534.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-09,92.00,94.60,88.00,91.30,272033.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-10,91.00,94.60,88.00,91.00,9704.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-11,94.00,94.20,94.00,94.20,147561.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-12,91.00,93.30,91.00,93.30,181591.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-13,96.40,97.00,93.00,95.20,472510.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-16,97.00,98.00,97.00,98.00,194661.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-17,97.00,97.00,96.50,96.50,106971.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-18,95.00,96.50,95.00,96.50,223286.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-19,95.00,96.50,94.00,96.50,94444.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-20,95.00,97.00,95.00,97.00,139631.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-23,93.20,96.50,92.00,96.50,224742.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-24,95.75,96.50,95.75,96.50,75141.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-25,97.80,97.80,96.50,96.50,125765.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-26,95.00,96.50,95.00,96.50,302633.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-27,94.00,99.00,94.00,96.50,157737.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-30,99.00,99.00,96.50,96.50,25552.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-31,94.60,96.40,94.60,96.40,7539.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-01,96.76,96.76,94.60,95.90,149566.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-02,97.33,97.33,94.60,96.50,36746.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-03,96.80,100.00,96.80,97.10,40082.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-06,97.40,100.20,97.40,100.20,126731.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-07,98.58,99.85,97.40,99.85,37439.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-08,98.84,99.85,97.40,99.85,13357.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-09,100.22,100.22,97.40,99.75,2155.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-10,97.00,100.00,97.00,100.00,131350.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-13,96.60,99.50,96.60,99.50,178896.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-14,99.60,103.00,99.60,103.00,45834.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-15,102.00,102.00,100.00,101.20,62747.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-16,103.00,106.00,103.00,105.00,108107.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-17,102.50,105.50,102.50,103.50,247305.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-20,106.50,106.50,105.00,105.00,366312.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-21,100.50,104.00,100.50,104.00,10696.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-22,100.50,104.00,100.50,104.00,41689.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-23,103.00,104.00,103.00,104.00,101537.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-24,104.00,104.50,103.00,104.50,77289.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-27,107.00,107.50,104.50,106.25,58367.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-28,109.00,109.00,106.50,109.00,70286.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-01,107.00,110.00,107.00,109.00,29610.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-02,110.50,112.00,110.50,112.00,65348.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-03,113.00,116.00,110.00,114.00,59541.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
