date,open,high,low,close,volume,comment
2015-04-17,970.70,979.80,959.32,961.57,3677727.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,966.16,972.99,962.34,972.99,2102283.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,975.24,978.27,968.43,972.21,1971844.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,977.53,980.57,955.52,969.20,2183047.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,972.99,972.99,960.09,967.67,2295614.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,966.90,969.94,952.51,963.13,2858521.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,963.90,972.21,947.91,964.63,2565732.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,968.43,980.57,948.69,957.80,3207045.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,962.34,971.45,949.45,949.45,3805159.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,949.45,953.24,935.03,947.91,4306915.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,944.88,944.88,928.98,932.75,1940311.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,938.06,948.69,926.69,926.69,3941573.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,925.92,926.29,914.51,919.84,4158996.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,916.81,923.66,903.91,919.84,5497022.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,970.70,974.49,944.14,958.56,6656623.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-11,958.56,970.70,944.14,956.27,2377702.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,954.76,957.80,934.26,954.76,4234112.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,955.52,974.49,953.45,972.21,3089899.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-14,971.45,986.63,960.09,983.59,2319708.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-15,986.63,999.55,986.63,993.48,4086925.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-18,991.19,1002.57,986.63,994.99,3500817.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-19,1005.61,1034.44,1005.61,1034.44,4512383.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-20,1033.68,1033.68,1010.93,1015.48,3889620.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-21,1016.27,1016.27,1002.57,1004.85,3107020.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-22,1004.11,1009.41,999.55,1001.80,4097822.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-26,1001.80,1008.65,988.91,992.70,4289401.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-27,993.48,1013.21,993.48,1007.13,3288748.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-28,1002.57,1012.00,1000.31,1010.18,2409517.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-29,1007.89,1014.69,994.23,996.52,4812677.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-01,995.75,1011.69,992.70,1004.11,3487125.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-02,1010.18,1010.18,982.08,982.08,3658652.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-03,982.08,985.13,964.63,965.38,4174889.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-04,964.63,976.77,952.51,966.16,3455485.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-05,963.13,964.63,947.91,947.91,3041257.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
