date,open,high,low,close,volume,comment
2015-04-16,1699.51,1699.51,1688.06,1688.06,598.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,1657.62,1657.62,1655.13,1655.13,238.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-16,1637.18,1642.66,1637.18,1642.66,20.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-20,1642.66,1650.40,1637.18,1650.40,20.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-23,1644.66,1644.66,1644.66,1644.66,410.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-29,1621.70,1621.70,1621.70,1621.70,1251.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-04,1629.69,1629.69,1624.70,1624.70,2346.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-24,1525.98,1525.98,1507.52,1507.52,7479.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-22,1544.93,1544.93,1544.93,1544.93,10027.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-24,1522.98,1522.98,1522.98,1522.98,10027.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-02,1558.88,1562.87,1558.88,1562.87,10294.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-09,1619.20,1625.69,1619.20,1625.69,20052.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-22,1600.77,1600.77,1600.77,1600.77,10027.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-29,1584.33,1584.33,1584.33,1584.33,10027.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-16,1587.17,1587.17,1521.73,1521.73,203634.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-19,1539.44,1539.44,1537.45,1537.45,414.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-22,1517.11,1517.11,1517.11,1517.11,10026.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-29,1517.11,1567.71,1517.11,1567.71,200513.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-30,1517.11,1555.01,1517.11,1555.01,401026.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-04,1517.11,1517.11,1500.89,1500.89,401026.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-05,1504.63,1507.88,1504.63,1507.88,10026.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-06,1481.18,1481.18,1481.18,1481.18,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-07,1480.68,1480.68,1480.68,1480.68,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-08,1471.21,1471.21,1471.21,1471.21,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-11,1475.21,1475.21,1461.76,1461.76,12031.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-12,1475.21,1480.68,1461.76,1480.68,13533.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-13,1475.21,1490.70,1475.21,1487.43,101963.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
