date,open,high,low,close,volume,comment
2021-07-02,395.80,397.90,395.70,397.90,810.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-05,400.00,400.00,400.00,400.00,810.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-06,402.30,402.30,402.30,402.30,810.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-07,403.70,403.70,403.70,403.70,810.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-08,400.80,400.80,400.80,400.80,810.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-09,399.50,399.50,399.50,399.50,810.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-12,398.20,398.20,398.20,398.20,810.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-13,407.00,407.00,407.00,407.00,810.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-14,406.80,406.80,406.60,406.60,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-15,404.45,404.45,404.45,404.45,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-16,405.55,405.55,405.55,405.55,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-19,402.90,402.90,402.90,402.90,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-20,407.90,407.90,407.90,407.90,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-21,408.55,408.55,408.55,408.55,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-22,413.95,413.95,413.95,413.95,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-23,419.30,419.30,419.30,419.30,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-26,414.90,414.90,414.90,414.90,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-27,409.00,409.00,409.00,409.00,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-28,406.80,413.50,406.80,413.50,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-29,408.90,408.90,408.90,408.90,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-30,409.05,409.05,409.05,409.05,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-02,410.40,410.40,410.40,410.40,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-03,408.50,408.50,408.50,408.50,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-04,408.90,408.90,408.90,408.90,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-05,412.70,412.70,412.70,412.70,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-06,414.40,414.40,414.40,414.40,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-09,415.05,415.05,415.05,415.05,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-10,411.35,411.35,411.35,411.35,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-11,411.50,411.50,411.50,411.50,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-12,416.55,416.55,416.55,416.55,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-13,419.35,419.35,419.35,419.35,123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-16,421.30,422.70,418.90,418.90,181.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-17,423.95,423.95,423.95,423.95,181.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-18,425.75,425.75,425.75,425.75,181.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-19,421.30,428.65,421.30,428.65,181.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-20,444.90,444.90,444.90,444.90,181.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-23,442.55,442.55,442.55,442.55,181.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-24,439.70,439.70,439.70,439.70,181.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-25,441.30,441.30,439.65,439.65,101.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-26,436.70,436.70,436.70,436.70,101.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-27,433.75,433.75,433.75,433.75,101.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-31,441.30,441.30,440.75,440.75,101.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-01,442.30,442.30,439.55,439.55,216.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-02,435.05,435.05,435.05,435.05,216.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-03,435.15,435.15,435.15,435.15,216.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-06,437.40,437.55,437.40,437.55,407.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-07,431.00,434.05,431.00,434.05,453.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-08,433.65,433.65,433.65,433.65,453.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-09,431.05,431.05,431.05,431.05,453.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-10,428.05,428.05,428.05,428.05,453.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-13,424.65,424.65,424.65,424.65,453.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-14,432.50,432.50,432.50,432.50,453.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-15,435.95,435.95,435.95,435.95,453.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-16,437.00,437.00,437.00,437.00,453.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-17,436.05,436.05,436.05,436.05,453.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-20,430.60,430.60,430.60,430.60,453.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-21,432.55,432.55,432.55,432.55,453.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-22,436.00,436.00,436.00,436.00,453.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-23,435.65,435.65,435.65,435.65,453.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-24,433.60,433.60,433.60,433.60,453.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-27,439.70,439.70,428.95,428.95,104.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-28,420.60,420.60,419.60,419.60,757.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-29,421.60,421.60,421.60,421.60,757.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-30,423.20,423.20,423.20,423.20,757.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-01,421.05,421.05,421.05,421.05,757.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-04,415.00,415.00,415.00,415.00,757.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-05,421.55,421.55,421.55,421.55,757.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-06,420.60,425.00,420.60,425.00,242.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-07,432.60,432.60,432.60,432.60,242.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-08,432.35,432.35,432.35,432.35,242.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-11,434.85,434.85,434.85,434.85,242.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-12,430.75,430.75,430.75,430.75,242.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-13,430.30,430.30,430.30,430.30,242.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-14,432.60,438.50,432.60,438.50,217.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-15,438.10,438.10,438.10,438.10,217.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-18,441.90,442.70,439.60,442.70,243.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-19,445.65,445.65,445.65,445.65,243.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-20,447.30,447.30,443.55,443.55,55.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-21,445.55,445.55,445.55,445.55,55.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-22,447.65,447.65,447.65,447.65,55.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-25,446.50,446.50,446.50,446.50,55.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-26,449.30,451.75,448.20,451.75,372.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-27,469.30,469.30,469.30,469.30,372.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-28,467.85,467.85,467.85,467.85,372.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-29,471.30,478.70,469.00,478.70,161.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-11-01,471.30,479.80,469.00,479.80,161.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-11-02,487.40,487.40,487.40,487.40,161.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-11-03,484.35,484.35,484.35,484.35,161.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
