date,open,high,low,close,volume,comment
2015-07-06,10100.11,10100.11,10100.11,10100.11,5000.00,Alphavantage
2015-07-23,10072.00,10072.00,10039.42,10072.00,38000.00,Alphavantage
2015-07-28,10177.00,10177.00,10177.00,10177.00,9000.00,Alphavantage
2015-07-31,10180.00,10180.00,10180.00,10180.00,18000.00,Alphavantage
2015-08-03,10163.00,10163.00,10163.00,10163.00,18000.00,Alphavantage
2015-08-04,10184.00,10184.00,10184.00,10184.00,18000.00,Alphavantage
2015-08-05,10051.00,10097.35,10051.00,10051.00,34438.00,Alphavantage
2015-08-06,10099.00,10099.00,10046.71,10099.00,19800.00,Alphavantage
2015-08-10,10112.97,10112.97,10112.97,10112.97,17074.00,Alphavantage
2015-08-25,10262.92,10264.30,10195.30,10230.50,166195.00,Alphavantage
2015-08-26,10354.36,10385.19,10347.74,10347.74,17385.00,Alphavantage
2015-09-01,10338.91,10338.91,10338.91,10338.91,7706.00,Alphavantage
2015-09-07,10375.44,10375.44,10375.44,10375.44,3655.00,Alphavantage
2015-09-14,10361.36,10361.36,10359.75,10361.36,75956.00,Alphavantage
2015-09-21,10435.39,10435.39,10435.39,10435.39,9200.00,Alphavantage
2015-09-22,10385.68,10385.68,10343.73,10362.00,14000.00,Alphavantage
2015-09-29,10461.09,10498.16,10461.09,10498.16,317862.00,Alphavantage
2015-10-01,10576.70,10576.70,10576.70,10576.70,3842.00,Alphavantage
2015-10-02,10620.19,10620.19,10620.19,10620.19,30000.00,Alphavantage
2015-10-05,10572.83,10572.83,10572.83,10572.83,40000.00,Alphavantage
2015-10-12,10570.93,10570.93,10570.93,10570.93,18726.00,Alphavantage
2015-10-14,10669.84,10778.31,10668.87,10668.87,22200.00,Alphavantage
2015-10-23,10723.33,10723.33,10723.33,10723.33,12250.00,Alphavantage
2015-10-26,10492.55,10492.55,10492.55,10492.55,30000.00,Alphavantage
2015-10-28,10548.32,10548.32,10548.32,10548.32,176350.00,Alphavantage
2015-11-02,10359.40,10364.82,10358.40,10361.00,15500.00,Alphavantage
2015-11-03,10343.50,10343.50,10343.50,10343.50,30000.00,Alphavantage
2015-11-12,10309.69,10322.46,10309.69,10309.69,6200.00,Alphavantage
2015-11-17,10258.10,10277.20,10258.10,10258.10,15970.00,Alphavantage
2015-11-24,10217.84,10217.84,10217.84,10217.84,18726.00,Alphavantage
2015-11-27,10347.73,10347.73,10320.38,10347.73,121998.00,Alphavantage
2015-11-30,10366.00,10366.00,10366.00,10366.00,80.00,Alphavantage
2015-12-01,10400.48,10402.85,10400.48,10402.00,7000.00,Alphavantage
2015-12-04,10306.17,10333.31,10306.17,10333.31,16000.00,Alphavantage
2015-12-09,10460.68,10460.68,10460.68,10460.68,100000.00,Alphavantage
2015-12-10,10522.00,10543.37,10522.00,10522.00,100062.00,Alphavantage
2015-12-14,10420.24,10420.24,10420.24,10420.24,19748.00,Alphavantage
2015-12-15,10475.45,10475.45,10475.45,10475.45,14000.00,Alphavantage
2015-12-16,10490.10,10490.10,10472.74,10490.10,67389.00,Alphavantage
2015-12-17,10507.31,10507.31,10507.31,10507.31,2413.00,Alphavantage
2015-12-22,10502.90,10502.90,10502.90,10502.90,7285.00,Alphavantage
2016-01-04,10629.12,10629.12,10629.12,10629.12,3460.00,Alphavantage
2016-01-05,10616.07,10616.07,10616.07,10616.07,1680.00,Alphavantage
2016-01-11,10725.38,10725.38,10725.38,10725.38,346.00,Alphavantage
2016-01-14,10784.68,10784.68,10776.50,10784.68,443791.00,Alphavantage
2016-01-18,10775.26,10775.26,10775.26,10775.26,19748.00,Alphavantage
2016-01-19,10950.47,10950.47,10950.47,10950.47,2607.00,Alphavantage
2016-01-22,10980.37,10980.37,10980.37,10980.37,7500.00,Alphavantage
2016-01-28,11027.55,11027.55,11027.55,11027.55,1045.00,Alphavantage
2016-02-02,10860.18,10860.18,10860.18,10860.18,29500.00,Alphavantage
2016-02-08,11077.07,11077.07,11075.22,11077.07,42641.00,Alphavantage
2016-02-09,11109.69,11109.69,11109.69,11109.69,50000.00,Alphavantage
2016-02-11,11060.22,11060.22,11060.22,11060.22,7500.00,Alphavantage
2016-02-12,11169.58,11170.28,11169.58,11169.58,15075.00,Alphavantage
2016-02-16,11122.61,11122.61,11122.61,11122.61,2780.00,Alphavantage
2016-02-25,11362.69,11362.69,11348.48,11355.00,81000.00,Alphavantage
2016-02-26,11325.75,11355.18,11325.75,11328.00,160238.00,Alphavantage
2016-02-29,11340.00,11340.00,11320.38,11320.38,7160.00,Alphavantage
2016-03-08,11195.75,11195.75,11195.75,11195.75,45000.00,Alphavantage
2016-03-09,11240.74,11240.74,11226.00,11226.00,7600.00,Alphavantage
2016-03-10,11157.22,11157.22,11157.22,11157.22,35000.00,Alphavantage
2016-03-16,11310.90,11310.90,11310.90,11310.90,12640.00,Alphavantage
2016-03-21,11338.41,11338.41,11313.19,11338.41,66500.00,Alphavantage
2016-03-29,11474.82,11474.82,11474.82,11474.82,17000.00,Alphavantage
2016-04-04,11624.46,11647.16,11624.46,11626.00,995000.00,Alphavantage
2016-04-05,11693.00,11693.00,11673.25,11693.00,1971.00,Alphavantage
2016-04-08,11794.36,11824.06,11794.36,11804.00,16867.00,Alphavantage
2016-04-12,11664.93,11664.93,11655.54,11655.54,270000.00,Alphavantage
2016-04-14,11578.00,11578.00,11553.02,11570.50,27750.00,Alphavantage
2016-04-15,11630.00,11650.00,11630.00,11630.00,68.00,Alphavantage
2016-04-18,11579.48,11579.48,11579.48,11579.48,35000.00,Alphavantage
2016-05-04,11533.22,11533.22,11533.22,11533.22,75000.00,Alphavantage
2016-05-09,11562.20,11562.20,11517.45,11562.20,44000.00,Alphavantage
2016-05-10,11561.36,11567.57,11561.36,11561.36,6200.00,Alphavantage
2016-05-16,11495.00,11509.06,11495.00,11509.06,12.00,Alphavantage
2016-05-17,11469.00,11469.00,11469.00,11469.00,1.00,Alphavantage
2016-05-20,11190.53,11190.53,11190.53,11190.53,76000.00,Alphavantage
2016-05-23,11326.39,11326.39,11326.39,11326.39,20403.00,Alphavantage
2016-05-24,11345.14,11345.14,11317.83,11317.83,87200.00,Alphavantage
2016-06-13,11532.00,11631.06,11532.00,11594.50,20413.00,Alphavantage
2016-06-16,11598.61,11598.61,11598.61,11598.61,14250.00,Alphavantage
2016-06-20,11535.00,11535.00,11535.00,11535.00,105510.00,Alphavantage
2016-06-21,11345.81,11345.81,11345.81,11345.81,100000.00,Alphavantage
2016-07-06,12608.64,12608.64,12608.64,12608.64,35000.00,Alphavantage
2016-07-12,12479.00,12543.86,12479.00,12479.00,30.00,Alphavantage
2016-07-13,12365.94,12365.94,12365.94,12365.94,28000.00,Alphavantage
2016-07-14,12390.37,12390.37,12390.37,12390.37,28000.00,Alphavantage
2016-07-18,12464.76,12464.76,12464.76,12464.76,8401.00,Alphavantage
2016-07-20,12508.69,12508.69,12505.99,12505.99,29753.00,Alphavantage
2016-07-26,12447.60,12447.60,12447.60,12447.60,130000.00,Alphavantage
2016-07-27,12462.78,12462.78,12462.78,12462.78,125921.00,Alphavantage
2016-07-28,12529.96,12550.89,12514.00,12550.89,193029.00,Alphavantage
2016-07-29,12606.49,12624.26,12606.49,12624.26,73781.00,Alphavantage
2016-08-02,12642.33,12642.33,12642.33,12642.33,50211.00,Alphavantage
2016-08-03,12579.50,12579.50,12579.50,12579.50,85000.00,Alphavantage
2016-08-04,12563.42,12563.42,12563.42,12563.42,29187.00,Alphavantage
2016-08-09,12746.68,12746.68,12746.68,12746.68,121482.00,Alphavantage
2016-08-12,13039.00,13039.00,12977.26,13039.00,534.00,Alphavantage
2016-08-18,13077.00,13079.00,12950.00,12980.50,41352.00,Alphavantage
2016-08-22,12993.00,13003.00,12993.00,12993.00,1861.00,Alphavantage
2016-08-23,12917.00,12953.25,12910.00,12910.00,23957.00,Alphavantage
2016-08-24,12889.00,12920.60,12810.00,12810.00,37444.00,Alphavantage
2016-08-26,12839.00,12839.00,12839.00,12839.00,42.00,Alphavantage
2016-08-31,12808.48,12808.48,12808.48,12808.48,34000.00,Alphavantage
2016-09-01,12646.00,12646.00,12646.00,12646.00,49.00,Alphavantage
2016-09-05,12547.00,12547.00,12536.76,12536.76,20544.00,Alphavantage
2016-09-07,12658.00,12662.00,12658.00,12662.00,180.00,Alphavantage
2016-09-08,12670.54,12693.02,12670.54,12693.02,38000.00,Alphavantage
2016-09-13,12588.00,12643.00,12588.00,12643.00,1158.00,Alphavantage
2016-09-14,12659.00,12659.00,12659.00,12659.00,45.00,Alphavantage
2016-09-15,12700.00,12715.00,12700.00,12700.00,798.00,Alphavantage
2016-09-20,12824.00,12895.00,12819.00,12865.50,401.00,Alphavantage
2016-09-21,12835.00,12836.00,12816.00,12830.00,1144.00,Alphavantage
2016-09-22,12889.00,12895.00,12889.00,12895.00,95.00,Alphavantage
2016-09-23,13017.00,13017.00,13013.00,13013.00,437.00,Alphavantage
2016-09-27,13038.00,13038.00,12927.00,12933.00,9066.00,Alphavantage
2016-09-28,12914.00,12914.00,12914.00,12914.00,43.00,Alphavantage
2016-09-29,12928.00,12948.90,12928.00,12948.90,2445.00,Alphavantage
2016-10-03,13113.00,13173.00,13054.85,13158.50,26780.00,Alphavantage
2016-10-04,13168.00,13168.00,13143.04,13168.00,40040.00,Alphavantage
2016-10-05,13204.00,13204.00,13163.00,13163.00,9286.00,Alphavantage
2016-10-06,13170.00,13257.00,13156.00,13226.50,187631.00,Alphavantage
2016-10-07,13514.00,13514.00,13514.00,13514.00,41.00,Alphavantage
2016-10-11,13495.00,13495.00,13458.88,13495.00,2910.00,Alphavantage
2016-10-13,13445.29,13445.29,13445.29,13445.29,6765.00,Alphavantage
2016-10-14,13478.15,13478.15,13478.15,13478.15,35000.00,Alphavantage
2016-10-17,13414.00,13414.00,13414.00,13414.00,49.00,Alphavantage
