date,open,high,low,close,volume,comment
2015-04-17,66.29,66.51,66.13,66.19,69073.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-20,66.29,66.29,66.29,66.29,20652.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-21,66.29,66.51,66.22,66.51,29616.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-22,66.32,66.51,66.03,66.03,62859.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-23,66.03,66.51,66.03,66.51,15980.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-24,66.03,66.51,65.87,66.51,39231.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-27,65.89,66.51,65.87,66.35,68016.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-28,65.87,66.35,65.87,65.87,87759.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-29,66.00,66.00,66.00,66.00,9405.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-30,65.87,66.35,65.87,65.87,96234.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-01,65.87,66.51,65.87,66.03,150059.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-05,65.87,66.51,65.87,65.87,23871.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-06,66.03,66.03,66.03,66.03,10518.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-07,66.67,66.67,66.19,66.35,64485.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,66.44,66.83,66.44,66.83,21856.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-11,66.83,66.83,66.44,66.83,114692.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,66.83,66.83,66.83,66.83,296.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,66.83,67.30,66.83,66.99,386253.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-14,66.97,67.30,66.35,66.92,312567.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-15,66.92,66.92,66.92,66.92,48074.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-18,66.92,67.30,66.92,67.30,205535.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-19,67.44,67.63,67.44,67.63,137819.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-20,67.46,67.46,66.99,67.46,99443.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-21,67.45,67.46,67.45,67.45,45221.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-22,67.45,67.46,66.99,66.99,139481.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-26,67.46,67.63,67.45,67.56,74427.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-27,67.39,67.63,67.39,67.63,69366.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-28,67.63,67.79,67.46,67.46,318736.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-29,67.53,67.68,67.53,67.68,40489.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-01,67.71,67.71,67.71,67.71,1878.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-02,67.74,67.77,67.60,67.60,60169.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-03,67.77,67.77,67.30,67.63,60522.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-04,67.53,67.79,67.30,67.30,134289.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-05,67.77,67.79,67.30,67.79,61474.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-08,67.77,67.79,67.46,67.46,54123.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-09,67.60,67.79,67.60,67.79,28833.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-10,67.74,67.79,67.30,67.30,73549.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-11,67.77,67.79,67.30,67.79,54792.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-12,67.93,67.94,67.87,67.94,58977.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-15,67.82,67.82,67.82,67.82,13480.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-16,67.93,68.27,67.79,68.27,95974.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-17,68.26,68.42,67.79,68.42,171924.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-18,68.58,69.06,68.45,69.06,121392.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-19,68.90,69.06,68.27,68.90,380170.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-22,68.74,68.90,68.73,68.90,15713.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
