date,open,high,low,close,volume,comment
2022-11-28,15.16,15.25,15.08,15.16,525.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-11-29,15.24,15.24,15.01,15.01,595.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-11-30,15.13,15.13,15.07,15.07,265.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-01,15.31,15.37,15.31,15.37,55.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-02,15.21,15.30,15.21,15.30,176.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-05,15.34,15.39,15.29,15.31,193.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-06,15.32,15.33,15.19,15.19,372.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-07,15.10,15.10,15.08,15.08,347.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-08,15.08,15.18,15.08,15.18,240.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-09,15.31,15.31,15.10,15.27,92.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-12,15.22,15.22,15.19,15.19,642.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-13,15.31,15.47,15.31,15.47,313.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-14,15.41,15.48,15.41,15.46,786.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-15,15.34,15.41,15.22,15.22,324.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-16,15.06,15.22,15.04,15.04,500.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-19,15.02,15.02,14.91,14.91,421.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-20,14.83,15.02,14.83,14.88,24.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-21,15.03,15.03,14.98,15.03,474.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-22,15.03,15.03,14.78,14.78,518.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-23,14.85,15.03,14.82,14.82,20.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-28,14.76,14.76,14.65,14.65,906.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-29,14.65,14.68,14.65,14.68,397.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2022-12-30,14.86,14.86,14.83,14.83,72.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-03,15.06,15.06,14.82,14.87,1614.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-04,15.10,15.10,14.78,14.88,654.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-05,14.88,14.89,14.80,14.80,1277.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-06,15.00,15.00,14.67,14.79,3729.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-09,15.04,15.35,15.04,15.35,1399.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-10,15.30,15.30,15.09,15.15,207.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-11,15.46,15.49,15.32,15.32,1492.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-12,15.83,15.83,15.38,15.42,3819.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-13,15.47,15.47,15.31,15.42,252.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-16,15.45,15.59,15.45,15.59,604.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-17,16.00,16.00,15.47,15.47,855.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-18,15.60,15.64,15.52,15.57,2028.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-19,15.55,15.55,15.46,15.46,4997.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-20,15.54,15.70,15.54,15.70,148.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-23,15.80,15.92,15.79,15.84,1234.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-24,15.86,15.87,15.80,15.84,795.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-25,15.69,15.72,15.51,15.72,597.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-26,15.85,15.99,15.85,15.86,729.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-27,15.90,15.95,15.85,15.91,1769.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-30,16.10,16.10,15.79,15.89,1055.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-01-31,15.95,16.08,15.83,15.92,1624.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-01,16.15,16.33,15.76,15.92,11324.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-02,16.17,16.21,16.07,16.08,1397.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-03,16.08,16.08,15.63,15.87,6896.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-06,15.91,15.91,15.70,15.87,2163.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-07,15.92,15.94,15.87,15.87,910.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-08,15.90,16.05,15.72,15.89,2954.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-09,16.09,16.10,15.87,15.89,10062.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-10,15.90,15.90,15.76,15.89,4211.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-13,15.91,16.00,15.90,15.94,7389.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-14,16.00,16.00,15.83,15.93,4540.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-15,15.95,15.95,15.86,15.91,4717.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-16,15.97,15.97,15.70,15.89,41127.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-17,16.00,16.01,14.85,14.85,1800.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-20,15.76,16.90,15.76,16.90,743.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-21,16.90,16.90,15.67,15.67,5713.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-22,15.67,15.72,15.67,15.69,2129.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-23,15.83,15.84,15.68,15.68,772.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-24,15.80,15.80,15.63,15.69,2113.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-27,15.75,15.77,15.75,15.77,724.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-02-28,16.24,16.24,15.76,15.78,874.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-01,15.81,15.87,15.66,15.66,627.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-02,15.76,15.76,15.43,15.47,3530.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-03,15.93,15.93,15.61,15.73,270.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-06,16.20,16.20,15.83,15.90,2504.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-07,15.93,16.27,15.77,15.77,10356.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-08,15.85,15.85,15.74,15.77,583.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-09,16.24,16.24,15.71,16.01,10089.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-10,16.00,16.00,15.58,15.65,3086.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-13,15.65,15.73,15.35,15.63,5809.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-14,16.05,16.05,15.60,15.87,940.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-15,16.18,16.18,15.76,15.77,1585.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-16,16.04,16.11,15.97,16.09,3102.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-17,16.45,16.45,15.93,16.01,4583.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-20,16.00,16.00,15.95,15.97,599.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-21,16.08,16.12,16.05,16.10,1182.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-22,16.15,16.17,16.10,16.16,4574.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-23,16.15,16.30,16.15,16.30,251.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-24,16.22,16.22,16.11,16.11,3069.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-27,16.14,16.23,16.12,16.16,12290.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-28,16.20,16.23,16.15,16.18,1569.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-29,16.30,16.33,16.22,16.26,3649.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-30,16.35,16.35,16.18,16.21,4735.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-03-31,16.21,16.26,16.21,16.26,3663.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-04-03,16.75,16.75,16.25,16.27,3659.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-04-04,16.25,16.34,16.25,16.30,6259.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-04-05,15.97,16.28,15.97,16.27,2329.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-04-06,16.28,16.31,16.26,16.28,17940.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-04-11,16.42,16.55,16.30,16.35,13607.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-04-12,16.37,16.50,16.35,16.39,6794.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-04-13,16.50,16.52,16.32,16.41,33044.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-04-14,16.41,16.41,16.35,16.38,5883.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-04-17,16.39,16.41,16.31,16.39,24920.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-04-18,16.47,16.64,16.39,16.47,16179.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-04-19,16.96,16.96,16.37,16.37,2877.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-04-20,16.46,16.58,16.39,16.40,4400.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-04-21,16.89,16.89,16.32,16.41,6386.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-04-24,16.40,16.41,16.35,16.35,2421.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-04-25,16.40,16.41,16.34,16.34,2322.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-04-26,16.82,16.82,16.39,16.39,8229.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-04-27,16.87,16.87,16.40,16.55,25751.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-04-28,16.55,16.78,16.47,16.65,159498.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-05-02,17.14,17.14,16.59,16.59,74455.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-05-03,17.07,17.07,16.60,16.62,6204.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2023-05-04,17.00,17.00,16.30,16.33,5393.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
