date,open,high,low,close,volume,comment
2019-01-15,3760.21,3760.21,3753.16,3753.16,3358.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-16,3749.91,3751.77,3746.13,3748.02,3977.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-17,3754.59,3756.46,3746.61,3746.61,3376.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-18,3733.94,3736.77,3729.71,3729.71,587.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-21,3735.81,3747.08,3733.46,3733.46,23982.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-22,3744.25,3747.08,3743.79,3743.79,1304.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-23,3747.08,3747.08,3735.81,3743.79,2755.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-24,3746.13,3754.59,3746.13,3754.59,2869.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-25,3744.25,3750.81,3740.51,3743.31,2701.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-28,3741.43,3745.21,3739.56,3744.25,1458.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-29,3748.02,3751.77,3742.40,3751.77,3594.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-30,3748.94,3752.71,3748.94,3749.91,3402.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-01-31,3768.66,3776.18,3765.84,3771.96,13102.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-02-01,3779.93,3782.72,3762.09,3762.56,20460.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-02-04,3760.21,3762.09,3751.77,3751.77,4673.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-02-05,3752.71,3791.21,3748.94,3763.51,8105.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-02-06,3766.78,3766.78,3757.40,3760.21,17460.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-02-07,3760.21,3770.54,3760.21,3767.26,3290.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-02-08,3769.61,3779.93,3769.61,3777.57,675.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-02-11,3776.18,3776.18,3770.54,3771.49,9279.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-02-12,3766.78,3766.78,3760.21,3761.63,1620.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-02-13,3759.28,3763.97,3751.77,3758.35,4221.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2019-02-14,3757.40,3768.66,3756.46,3768.66,3858.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
