date,open,high,low,close,volume,comment
2015-05-26,101.09,101.09,100.82,100.82,4000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-04,98.92,98.92,98.92,98.92,2000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-20,101.00,101.15,100.94,100.94,706.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-28,96.07,96.07,96.07,96.07,353.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-16,96.07,96.07,93.64,93.64,353.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-24,93.69,93.69,93.69,93.69,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-29,94.30,94.30,94.30,94.30,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-30,94.42,94.42,94.42,94.42,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-31,93.50,93.50,93.50,93.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-04,91.31,91.31,91.31,91.31,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-05,92.41,92.41,92.41,92.41,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-06,92.02,92.02,92.02,92.02,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-07,91.09,91.09,91.09,91.09,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-08,90.25,90.25,90.25,90.25,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-11,90.56,90.56,90.56,90.56,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-12,96.07,96.07,90.58,90.58,353.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-13,91.14,91.14,91.14,91.14,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-14,90.14,90.14,90.14,90.14,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-15,87.31,87.31,87.31,87.31,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
