date,open,high,low,close,volume,comment
2020-12-01,16.31,16.90,16.31,16.45,128.00,Yahoo
2021-01-01,16.45,17.32,16.45,16.61,1164.00,Yahoo
2021-02-01,16.70,17.49,16.70,17.14,25132.00,Yahoo
2021-03-01,17.43,18.45,17.32,18.29,36891.00,Yahoo
2021-04-01,18.30,18.77,18.26,18.36,22282.00,Yahoo
2021-05-26,18.52,18.63,18.50,18.50,183.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-27,18.56,18.56,18.52,18.52,1249.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-05-28,18.65,18.65,18.56,18.57,124.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-01,18.59,18.64,18.56,18.64,267.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-02,18.74,18.74,18.73,18.73,2525.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-03,18.71,18.80,18.71,18.80,97.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-04,18.80,18.86,18.74,18.86,84.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-07,18.92,18.92,18.74,18.91,14.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-08,18.90,18.90,18.90,18.90,14.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-09,18.94,18.94,18.94,18.94,14.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-10,18.90,18.90,18.90,18.90,14.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-11,18.85,18.93,18.74,18.93,133.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-14,18.97,18.97,18.89,18.89,4759.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-15,18.93,18.93,18.93,18.93,4759.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-16,18.94,18.94,18.94,18.94,4759.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-17,19.02,19.02,18.93,18.93,197.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-18,18.61,18.61,18.61,18.61,197.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-21,18.52,18.64,18.52,18.64,972.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-22,18.71,18.71,18.71,18.71,972.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-23,18.64,18.64,18.52,18.59,52.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-24,18.73,18.73,18.73,18.73,52.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-25,18.81,18.84,18.81,18.84,424.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-28,18.86,18.86,18.79,18.79,249.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-29,18.84,18.86,18.84,18.84,14.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-06-30,18.73,18.73,18.73,18.73,14.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-01,18.81,18.86,18.81,18.84,209.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-02,18.90,18.90,18.83,18.83,1131.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-05,18.89,18.90,18.84,18.84,986.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-06,18.84,18.84,18.67,18.67,197.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-07,18.68,18.72,18.68,18.72,52.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-08,18.51,18.54,18.51,18.54,2963.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-09,18.75,18.75,18.75,18.75,2963.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-12,18.75,18.75,18.75,18.75,2963.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-13,18.77,18.77,18.77,18.77,2963.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-14,18.75,18.75,18.51,18.73,224.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-15,18.58,18.58,18.58,18.58,224.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-16,18.62,18.62,18.62,18.62,224.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-19,18.31,18.31,18.31,18.31,224.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-20,18.51,18.59,18.51,18.59,79.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-21,18.69,18.69,18.69,18.69,79.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-22,18.62,18.62,18.62,18.62,79.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-23,18.72,18.72,18.72,18.72,79.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-26,18.67,18.69,18.67,18.69,260.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-27,18.62,18.62,18.52,18.52,994.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-28,18.58,18.60,18.58,18.60,4450.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-29,18.67,18.67,18.58,18.66,114.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-07-30,18.60,18.62,18.58,18.62,258.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-02,18.80,18.80,18.80,18.80,258.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-03,18.83,18.83,18.83,18.83,258.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-04,18.81,18.81,18.81,18.81,258.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-05,18.75,18.76,18.58,18.76,48.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-06,18.84,18.87,18.58,18.87,100.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-09,18.86,18.86,18.86,18.86,100.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-10,18.84,18.89,18.84,18.89,764.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-11,19.09,19.09,18.84,19.00,51.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-12,19.08,19.08,18.84,19.02,588.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-13,19.10,19.10,18.84,19.07,112.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-16,18.96,18.99,18.84,18.99,16.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-17,19.08,19.08,19.00,19.00,1095.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-18,18.96,19.08,18.96,19.01,20.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-19,18.75,19.08,18.74,18.74,160.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-20,18.71,19.08,18.71,18.81,690.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-23,18.91,18.91,18.91,18.91,690.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-24,18.93,19.08,18.93,18.95,789.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-25,19.00,19.00,19.00,19.00,789.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-26,18.98,19.08,18.94,18.94,658.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-27,18.95,19.08,18.95,18.97,2.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-08-31,19.02,19.08,18.99,18.99,20.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-01,19.17,19.17,19.00,19.00,2197.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-02,19.04,19.04,19.04,19.04,2197.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-03,19.13,19.17,19.07,19.07,12.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-06,19.24,19.27,19.24,19.27,268.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-07,19.19,19.24,19.11,19.11,291.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-08,19.13,19.24,19.05,19.05,1.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-09,18.90,19.24,18.90,18.95,58.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-10,18.98,19.24,18.89,18.89,301.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-13,19.00,19.24,19.00,19.02,55.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-14,18.97,18.97,18.97,18.97,1366.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-15,18.99,18.99,18.99,18.99,1366.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-16,19.15,19.15,19.03,19.03,520.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-17,19.01,19.02,18.90,18.90,2388.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-20,18.65,19.02,18.65,18.69,97.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-21,18.78,18.80,18.76,18.76,6819.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-22,18.83,18.91,18.82,18.91,308.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-23,18.89,18.95,18.89,18.95,697.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-24,19.03,19.03,18.99,18.99,634.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-27,19.09,19.15,19.03,19.15,1075.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-28,19.24,19.24,19.03,19.14,629.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-29,19.24,19.32,19.03,19.32,2856.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-09-30,19.30,19.30,18.80,19.12,2142.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-01,18.84,19.30,18.80,18.86,211.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-04,18.89,19.30,18.76,18.76,3199.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-05,18.94,18.95,18.94,18.95,840.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-06,18.76,18.76,18.74,18.74,4902.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-07,19.01,19.02,18.76,19.02,1054.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-08,19.01,19.04,19.00,19.00,10084.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-11,19.06,19.10,19.06,19.10,2141.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-12,19.00,19.00,18.98,18.98,11.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-13,18.89,19.00,18.84,18.84,988.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-14,18.97,19.01,18.97,19.01,33623.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-15,19.10,19.10,19.05,19.05,2042.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-18,18.98,19.10,18.98,19.06,1865.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-19,18.96,19.10,18.96,18.99,3515.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-20,18.92,19.10,18.92,19.04,685.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-21,18.94,18.94,18.88,18.91,2535.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-22,18.94,18.94,18.90,18.94,20371.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-25,18.98,18.98,18.97,18.97,1446.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-26,19.00,19.00,18.97,18.97,295.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-27,18.98,19.00,18.89,18.89,2058.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-28,18.79,18.85,18.79,18.85,604.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-10-29,18.84,18.96,18.84,18.96,1599.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-11-01,19.11,19.17,18.84,19.17,23.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-11-02,19.21,19.26,18.84,19.26,1432.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-11-03,19.22,19.23,18.84,19.23,3616.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2021-11-04,19.52,19.53,19.52,19.53,1060.00,Yahoo
