date,open,high,low,close,volume,comment
2016-05-23,29.50,29.51,29.22,29.25,3683.00,Alphavantage
2016-05-25,30.01,30.26,29.91,30.14,80251.00,Alphavantage
2016-05-27,30.14,30.14,30.14,30.14,4075.00,Alphavantage
2016-05-31,30.20,30.39,30.20,30.25,8437.00,Alphavantage
2016-06-01,29.96,29.96,29.95,29.96,1855.00,Alphavantage
2016-06-08,30.19,30.19,30.19,30.19,3148.00,Alphavantage
2016-06-13,28.96,29.15,28.96,29.09,2457.00,Alphavantage
2016-06-17,28.63,28.63,28.63,28.63,1085.00,Alphavantage
2016-06-24,27.74,27.74,27.74,27.74,36.00,Alphavantage
2016-07-04,28.38,28.38,28.38,28.38,398.00,Alphavantage
2016-07-05,28.04,28.04,28.04,28.04,120.00,Alphavantage
2016-07-07,27.73,27.73,27.73,27.73,2372.00,Alphavantage
2016-07-15,29.35,29.59,29.35,29.35,9856.00,Alphavantage
2016-07-20,29.43,29.44,29.26,29.39,27739.00,Alphavantage
2016-07-27,29.50,29.50,29.44,29.48,4486.00,Alphavantage
2016-07-28,29.33,29.33,29.33,29.33,27755.00,Alphavantage
2016-08-03,29.13,29.13,29.13,29.13,1556.00,Alphavantage
2016-08-05,29.61,29.61,29.61,29.61,2145.00,Alphavantage
2016-08-08,29.99,29.99,29.99,29.99,519.00,Alphavantage
2016-08-09,30.15,30.17,30.15,30.17,5268.00,Alphavantage
2016-08-12,30.22,30.25,30.22,30.22,3162.00,Alphavantage
2016-08-16,30.37,30.37,30.37,30.37,293.00,Alphavantage
2016-08-30,30.26,30.57,30.26,30.54,11719.00,Alphavantage
2016-08-31,30.64,30.71,30.64,30.66,1356.00,Alphavantage
2016-09-12,30.30,30.30,30.17,30.30,919.00,Alphavantage
2016-09-21,30.50,30.50,30.50,30.50,485.00,Alphavantage
2016-09-27,30.14,30.14,30.14,30.14,922.00,Alphavantage
2016-09-28,30.17,30.17,30.07,30.07,707.00,Alphavantage
2016-09-29,30.29,30.38,30.29,30.38,2047.00,Alphavantage
2016-09-30,30.12,30.12,29.63,30.12,161.00,Alphavantage
2016-10-04,30.45,30.45,30.45,30.45,278.00,Alphavantage
2016-10-10,30.61,30.61,30.61,30.61,860.00,Alphavantage
2016-10-14,30.61,30.61,30.44,30.44,4859730.00,Alphavantage
2016-10-17,30.19,30.44,30.13,30.30,37805.00,Alphavantage
2016-10-18,30.57,30.69,30.46,30.61,3467.00,Alphavantage
2016-10-19,30.54,30.82,30.51,30.80,2879.00,Alphavantage
2016-10-20,30.90,31.07,30.70,30.80,3864.00,Alphavantage
2016-10-21,30.66,30.84,30.64,30.75,135030.00,Alphavantage
2016-10-24,31.00,31.11,30.95,31.02,1886.00,Alphavantage
2016-10-25,31.00,31.13,30.96,31.00,34061.00,Alphavantage
2016-10-26,30.97,31.02,30.83,31.02,6967.00,Alphavantage
2016-10-27,31.19,31.32,30.96,31.15,19587.00,Alphavantage
2016-10-28,31.05,31.19,31.05,31.14,1714.00,Alphavantage
2016-10-31,31.14,31.17,30.97,31.11,7951.00,Alphavantage
2016-11-01,30.20,31.28,30.20,31.02,253650.00,Alphavantage
2016-11-02,30.75,30.78,30.56,30.59,4684.00,Alphavantage
2016-11-03,30.61,30.89,30.61,30.70,2907.00,Alphavantage
2016-11-04,30.74,30.74,30.40,30.56,3437.00,Alphavantage
2016-11-07,30.74,31.05,30.74,31.03,5929.00,Alphavantage
2016-11-08,31.15,31.15,30.83,31.15,3383.00,Alphavantage
2016-11-09,30.57,31.58,30.32,31.58,37520.00,Alphavantage
2016-11-10,32.36,32.92,32.06,32.36,22782.00,Alphavantage
2016-11-11,32.90,32.91,32.49,32.49,67754.00,Alphavantage
2016-11-14,33.10,33.31,32.79,33.16,2128.00,Alphavantage
2016-11-15,33.27,33.30,32.80,33.08,3000.00,Alphavantage
2016-11-16,33.31,33.35,32.93,32.95,2714.00,Alphavantage
2016-11-17,32.85,33.12,32.84,33.12,4410.00,Alphavantage
2016-11-18,33.06,33.12,32.91,33.04,1727.00,Alphavantage
2016-11-21,33.02,33.25,33.02,33.13,2420.00,Alphavantage
