date,open,high,low,close,volume,comment
2016-04-14,26.08,26.08,26.08,26.08,190.00,Alphavantage
2016-04-15,26.12,26.12,26.05,26.05,1120.00,Alphavantage
2016-04-18,26.42,26.42,26.42,26.42,212.00,Alphavantage
2016-04-19,26.59,26.69,26.59,26.59,1200.00,Alphavantage
2016-04-20,26.51,26.51,26.51,26.51,597.00,Alphavantage
2016-04-21,26.67,26.67,26.67,26.67,106.00,Alphavantage
2016-04-22,26.68,26.81,26.65,26.65,9884.00,Alphavantage
2016-04-25,26.58,26.77,26.58,26.61,937.00,Alphavantage
2016-04-26,26.57,26.60,26.56,26.56,120.00,Alphavantage
2016-04-27,26.40,26.54,26.38,26.43,587.00,Alphavantage
2016-04-28,26.27,26.32,26.18,26.32,5464.00,Alphavantage
2016-04-29,26.24,26.24,25.88,25.88,2744.00,Alphavantage
2016-05-03,25.93,25.93,25.89,25.93,5421.00,Alphavantage
2016-05-04,25.81,25.81,25.66,25.66,4230.00,Alphavantage
2016-05-05,25.60,25.60,25.60,25.60,710.00,Alphavantage
2016-05-06,25.54,25.54,25.52,25.52,1910.00,Alphavantage
2016-05-09,25.66,25.86,25.66,25.86,2624.00,Alphavantage
2016-05-10,25.88,26.15,25.88,26.02,3278.00,Alphavantage
2016-05-11,26.17,26.17,26.17,26.17,23.00,Alphavantage
2016-05-12,25.94,25.94,25.68,25.68,4737.00,Alphavantage
2016-05-13,25.79,25.79,25.79,25.79,24.00,Alphavantage
2016-05-16,25.63,25.72,25.63,25.72,1091.00,Alphavantage
2016-05-17,25.73,26.00,25.73,25.80,938.00,Alphavantage
2016-05-18,25.60,25.69,25.60,25.69,3225.00,Alphavantage
2016-05-19,25.63,25.63,25.40,25.40,3871.00,Alphavantage
2016-05-20,25.75,25.75,25.66,25.75,563.00,Alphavantage
2016-05-23,25.80,25.94,25.80,25.80,2357.00,Alphavantage
2016-05-25,26.04,26.13,26.04,26.13,465.00,Alphavantage
2016-05-26,26.22,26.29,26.20,26.22,7997.00,Alphavantage
2016-05-27,26.22,26.22,26.22,26.22,8000.00,Alphavantage
2016-05-31,26.41,26.46,26.29,26.34,1296.00,Alphavantage
2016-06-01,26.29,26.40,26.29,26.40,2382.00,Alphavantage
2016-06-02,26.37,26.54,26.34,26.54,15010.00,Alphavantage
2016-06-03,26.54,26.68,26.54,26.63,3949.00,Alphavantage
2016-06-06,26.78,26.78,26.77,26.78,2077.00,Alphavantage
2016-06-07,26.89,26.89,26.89,26.89,1.00,Alphavantage
2016-06-09,26.74,26.82,26.74,26.74,84.00,Alphavantage
2016-06-10,26.35,26.38,26.34,26.34,504.00,Alphavantage
2016-06-13,26.28,26.28,26.16,26.18,5062.00,Alphavantage
2016-06-14,25.95,25.98,25.95,25.95,1064.00,Alphavantage
2016-06-15,26.01,26.06,25.98,25.98,19790.00,Alphavantage
2016-06-16,25.60,25.60,25.60,25.60,964.00,Alphavantage
2016-06-17,25.94,25.94,25.81,25.81,2007.00,Alphavantage
2016-06-20,26.08,26.18,26.08,26.10,614.00,Alphavantage
2016-06-21,26.09,26.20,25.98,26.00,1571.00,Alphavantage
2016-06-22,26.03,26.03,26.03,26.03,2.00,Alphavantage
2016-06-23,26.32,26.32,26.27,26.32,384.00,Alphavantage
2016-06-24,25.26,25.69,25.15,25.69,4471.00,Alphavantage
2016-06-27,25.41,25.41,25.41,25.41,72.00,Alphavantage
2016-06-28,25.56,25.56,25.56,25.56,1010.00,Alphavantage
2016-06-29,26.05,26.05,25.86,26.05,553.00,Alphavantage
2016-06-30,26.36,26.42,26.30,26.42,4815.00,Alphavantage
2016-07-01,26.57,26.73,26.48,26.73,6108.00,Alphavantage
2016-07-04,26.85,26.85,26.85,26.85,118.00,Alphavantage
2016-07-05,26.85,26.85,26.85,26.85,29.00,Alphavantage
2016-07-06,26.52,26.56,26.52,26.56,7088.00,Alphavantage
2016-07-07,26.90,26.90,26.87,26.89,695.00,Alphavantage
2016-07-08,27.02,27.04,26.71,27.04,5381.00,Alphavantage
2016-07-11,27.25,27.25,27.11,27.25,800.00,Alphavantage
2016-07-12,27.20,27.20,27.19,27.20,1026.00,Alphavantage
2016-07-13,27.28,27.37,27.24,27.29,2830.00,Alphavantage
2016-07-14,27.25,27.38,27.25,27.30,4448.00,Alphavantage
2016-07-15,27.36,27.36,27.22,27.29,4759.00,Alphavantage
2016-07-18,27.20,27.20,27.20,27.20,2100.00,Alphavantage
