date,open,high,low,close,volume,comment
2015-06-17,15700.00,15700.00,15700.00,15700.00,61.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-07,15510.00,15767.00,15510.00,15767.00,20000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-16,15510.00,16198.50,15510.00,16198.50,20000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-24,16647.50,16647.50,16647.50,16647.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-29,16769.50,16769.50,16769.50,16769.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-30,16734.00,16734.00,16698.50,16698.50,14.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-12-31,16726.50,16726.50,16726.50,16726.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-04,16942.50,16942.50,16942.50,16942.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-05,16933.50,16933.50,16933.50,16933.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-06,17037.50,17037.50,17037.50,17037.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-07,17146.50,17146.50,17146.50,17146.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-08,17262.50,17262.50,17262.50,17262.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-11,17237.50,17237.50,17237.50,17237.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-12,16734.00,17368.50,16734.00,17368.50,14.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-13,17314.50,17314.50,17314.50,17314.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-14,17404.50,17404.50,17404.50,17404.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-15,17633.50,17633.50,17633.50,17633.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-18,17602.50,17602.50,17602.50,17602.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-19,17716.50,17716.50,17716.50,17716.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-20,17814.50,17814.50,17814.50,17814.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-21,16734.00,17722.50,16734.00,17722.50,14.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-22,17485.50,17485.50,17485.50,17485.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-25,17592.50,17592.50,17592.50,17592.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-26,17529.50,17529.50,17529.50,17529.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-27,17613.50,17613.50,17613.50,17613.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-28,17551.50,17551.50,17551.50,17551.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-01-29,17736.50,17736.50,17736.50,17736.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-01,17657.00,17657.00,17529.50,17529.50,126.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-02,17588.50,17588.50,17588.50,17588.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-03,17557.50,17557.50,17557.50,17557.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-04,17643.50,17643.50,17643.50,17643.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-05,17736.50,17736.50,17736.50,17736.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-08,17935.50,17935.50,17935.50,17935.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-09,17944.50,17944.50,17944.50,17944.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-10,17917.50,17917.50,17917.50,17917.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-11,18186.50,18186.50,18186.50,18186.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-12,17992.50,17992.50,17992.50,17992.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-15,17917.50,17917.50,17917.50,17917.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2016-02-16,18105.50,18105.50,18105.50,18105.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
