date,open,high,low,close,volume,comment
2015-04-15,21466.00,21466.00,21466.00,21466.00,700.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-08,20306.00,20306.00,20306.00,20306.00,700.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-12,19881.00,19929.00,19881.00,19929.00,1400.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-13,19972.00,19972.00,19972.00,19972.00,700.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-05-22,20526.00,20526.00,20526.00,20526.00,289.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-22,20633.00,20633.00,20633.00,20633.00,700.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-26,20686.00,20686.00,20686.00,20686.00,267.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-06-30,20268.50,20268.50,20268.50,20268.50,8.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-02,20539.50,20539.50,20539.50,20539.50,22.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-03,20566.00,20566.00,20566.00,20566.00,2.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-06,20468.00,20468.00,20463.00,20463.00,1708.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-17,21032.00,21032.00,21032.00,21032.00,118.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-20,21032.00,21183.50,21032.00,21183.50,122.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-27,20693.00,20693.00,20693.00,20693.00,700.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-07-31,20996.00,20996.00,20996.00,20996.00,1368.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-04,21006.00,21006.00,21006.00,21006.00,248.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-10,20919.50,20919.50,20919.50,20919.50,7.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-21,20053.00,20053.00,20053.00,20053.00,700.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-25,18941.00,18941.00,18941.00,18941.00,1586.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-08-27,19711.00,19711.00,19711.00,19711.00,109.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-01,19256.00,19256.00,19256.00,19256.00,516.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-04,19266.00,19266.00,19266.00,19266.00,700.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-09,19850.00,19850.00,19850.00,19850.00,221.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-09-18,19576.00,19576.00,19576.00,19576.00,1087.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-07,18866.00,18866.00,18866.00,18866.00,700.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-15,18790.00,18796.00,18706.00,18706.00,2560.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-16,19257.00,19279.00,19257.00,19279.00,680.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-19,19250.00,19349.00,19250.00,19349.00,1330.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-22,18952.00,18952.00,18952.00,18952.00,50.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-23,19085.00,19275.00,19085.00,19275.00,1280.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-26,19316.00,19383.00,19316.00,19383.00,440.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-27,19671.00,19757.00,19671.00,19757.00,958.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-28,19902.00,19902.00,19695.00,19695.00,1810.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-10-29,20119.00,20278.00,20119.00,20192.00,4040.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-05,20146.00,20146.00,20146.00,20146.00,100.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-09,20274.00,20288.00,20274.00,20288.00,760.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-12,19927.00,19927.00,19927.00,19927.00,10.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-16,19768.30,19768.30,19582.24,19627.50,34.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-19,20333.00,20333.00,20196.00,20196.00,2400.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-11-27,20513.00,20515.00,20513.00,20514.00,100.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
