date,open,high,low,close,volume,comment
2018-04-24,1981.84,1981.84,1981.84,1981.84,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-04-25,1975.94,1975.94,1975.94,1975.94,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-04-26,1988.32,1988.32,1988.32,1988.32,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-04-27,2026.67,2026.67,2026.67,2026.67,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-04-30,2028.16,2028.16,2028.16,2028.16,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-01,2015.44,2015.44,2015.44,2015.44,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-02,1998.26,1998.26,1998.26,1998.26,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-03,1982.43,1982.43,1982.43,1982.43,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-04,2019.69,2019.69,2019.69,2019.69,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-08,2004.95,2004.95,2004.95,2004.95,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-09,1990.72,1990.72,1990.72,1990.72,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-10,2021.19,2021.19,2021.19,2021.19,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-11,2011.69,2011.69,2011.69,2011.69,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-14,2003.20,2003.20,2003.20,2003.20,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-15,2007.70,2007.70,2007.70,2007.70,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-16,2020.19,2020.19,2020.19,2020.19,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-17,2026.67,2026.67,2026.67,2026.67,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-18,2016.94,2016.94,2016.94,2016.94,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-21,2037.64,2037.64,2037.64,2037.64,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-22,2040.64,2040.64,2040.64,2040.64,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-23,2047.89,2047.89,2047.89,2047.89,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-24,2043.89,2043.89,2043.89,2043.89,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-25,2067.86,2067.86,2067.86,2067.86,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-29,2069.36,2069.36,2069.36,2069.36,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-30,2075.85,2075.85,2075.85,2075.85,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-31,2057.88,2057.88,2057.88,2057.88,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-01,2041.89,2041.89,2041.89,2041.89,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-04,2065.11,2065.11,2065.11,2065.11,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-05,2049.39,2049.39,2049.39,2049.39,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-06,2032.90,2032.90,2032.90,2032.90,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-07,2058.88,2058.88,2058.88,2058.88,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-08,2076.35,2076.35,2076.35,2076.35,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-11,2096.32,2096.32,2096.32,2096.32,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-12,2098.32,2098.32,2098.32,2098.32,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-13,2107.06,2107.06,2107.06,2107.06,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-14,2109.81,2109.81,2109.81,2109.81,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-15,2129.02,2129.02,2129.02,2129.02,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-18,2117.28,2117.28,2117.28,2117.28,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-19,2142.75,2142.75,2142.75,2142.75,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-20,2139.52,2139.52,2139.52,2139.52,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-21,2141.76,2141.76,2141.76,2141.76,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-22,2151.00,2151.00,2151.00,2151.00,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-25,2156.24,2156.24,2156.24,2156.24,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-26,2167.23,2167.23,2167.23,2167.23,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-27,2183.20,2183.20,2183.20,2183.20,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-28,2182.21,2182.21,2182.21,2182.21,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-29,2166.73,2166.73,2166.73,2166.73,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-02,2163.23,2163.23,2163.23,2163.23,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-03,2159.73,2159.73,2159.73,2159.73,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-04,2154.00,2154.00,2154.00,2154.00,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-05,2157.24,2157.24,2157.24,2157.24,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
