date,open,high,low,close,volume,comment
2018-04-24,1484.36,1484.36,1484.36,1484.36,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-04-25,1456.20,1456.20,1456.20,1456.20,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-04-26,1464.59,1464.59,1464.59,1464.59,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-04-27,1478.97,1479.17,1478.97,1479.17,981.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-04-30,1492.46,1492.46,1492.46,1492.46,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-01,1479.76,1479.76,1479.76,1479.76,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-02,1482.86,1482.86,1482.86,1482.86,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-03,1446.90,1446.90,1446.90,1446.90,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-04,1483.86,1483.86,1483.86,1483.86,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-08,1514.53,1514.53,1514.53,1514.53,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-09,1509.74,1509.74,1509.74,1509.74,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-10,1531.30,1539.89,1527.30,1539.89,4130.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-11,1541.09,1541.09,1541.09,1541.09,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-14,1534.50,1534.50,1534.50,1534.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-15,1540.29,1543.18,1540.29,1543.18,961.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-16,1537.29,1537.29,1537.29,1537.29,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-17,1540.39,1540.39,1540.39,1540.39,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-18,1534.20,1534.20,1534.20,1534.20,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-21,1548.38,1548.38,1548.38,1548.38,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-22,1559.27,1559.27,1559.27,1559.27,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-23,1545.08,1545.08,1545.08,1545.08,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-24,1532.90,1535.50,1532.90,1535.50,3155.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-25,1544.58,1544.58,1544.58,1544.58,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-29,1529.30,1529.30,1515.23,1515.23,3162.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-30,1510.34,1514.73,1510.34,1511.94,9585.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-31,1516.83,1516.83,1516.83,1516.83,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-01,1530.50,1530.50,1515.83,1515.83,2515.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-04,1529.50,1529.50,1529.50,1529.50,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-05,1513.93,1513.93,1513.93,1513.93,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-06,1531.30,1531.30,1531.30,1531.30,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-07,1543.18,1543.18,1543.18,1543.18,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-08,1540.69,1540.69,1540.69,1540.69,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-11,1549.48,1549.48,1549.48,1549.48,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-12,1543.78,1543.78,1543.78,1543.78,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-13,1535.60,1535.60,1535.60,1535.60,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-14,1533.10,1533.10,1524.00,1524.00,3154.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-15,1520.72,1520.72,1520.72,1520.72,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-18,1530.30,1530.30,1530.30,1530.30,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-19,1514.13,1536.50,1514.13,1536.50,3194.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-20,1539.09,1539.09,1539.09,1539.09,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-21,1518.52,1518.52,1518.52,1518.52,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-22,1525.90,1525.90,1524.40,1524.40,3169.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-25,1507.34,1507.34,1491.66,1491.66,3202.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-26,1494.55,1494.55,1494.55,1494.55,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-27,1497.55,1506.34,1497.55,1506.34,6438.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-28,1505.14,1505.14,1505.14,1505.14,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-29,1520.32,1520.32,1520.32,1520.32,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-02,1500.34,1500.34,1500.34,1500.34,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-03,1498.15,1498.15,1498.15,1498.15,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-04,1488.66,1488.66,1488.66,1488.66,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-05,1486.76,1486.76,1486.76,1486.76,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-06,1490.86,1490.86,1490.86,1490.86,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-09,1521.31,1521.31,1521.31,1521.31,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-10,1523.51,1523.51,1523.51,1523.51,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-11,1521.21,1521.21,1521.21,1521.21,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-12,1511.94,1511.94,1511.94,1511.94,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-13,1523.31,1523.31,1513.34,1513.34,3200.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-16,1527.80,1527.80,1527.80,1527.80,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-17,1549.88,1549.88,1549.88,1549.88,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-18,1580.54,1580.54,1580.54,1580.54,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-19,1576.04,1576.04,1576.04,1576.04,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-20,1558.57,1558.57,1558.57,1558.57,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-23,1556.67,1580.44,1556.47,1580.44,4005.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-24,1582.74,1582.74,1582.74,1582.74,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-25,1573.86,1573.86,1573.86,1573.86,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-26,1579.84,1588.44,1579.84,1588.44,3085.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-27,1589.84,1589.84,1589.84,1589.84,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-30,1588.44,1588.44,1588.44,1588.44,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-07-31,1577.44,1577.44,1577.44,1577.44,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-08-01,1582.64,1582.64,1582.64,1582.64,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-08-02,1578.54,1578.54,1578.54,1578.54,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-08-03,1589.64,1589.64,1589.64,1589.64,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-08-06,1608.51,1608.51,1608.51,1608.51,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-08-07,1624.49,1624.49,1624.49,1624.49,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-08-08,1633.07,1633.07,1633.07,1633.07,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-08-09,1628.98,1628.98,1628.98,1628.98,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-08-10,1619.89,1619.89,1619.89,1619.89,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-08-13,1615.10,1615.10,1615.10,1615.10,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-08-14,1617.79,1617.79,1617.79,1617.79,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-08-15,1617.59,1617.59,1617.59,1617.59,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-08-16,1632.87,1632.87,1632.87,1632.87,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-08-17,1631.28,1631.28,1631.28,1631.28,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
