date,open,high,low,close,volume,comment
2018-04-24,2336.06,2336.06,2336.06,2336.06,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-04-25,2313.06,2313.06,2313.06,2313.06,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-04-26,2346.05,2346.05,2346.05,2346.05,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-04-27,2386.51,2386.51,2386.51,2386.51,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-04-30,2391.51,2391.51,2391.51,2391.51,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-01,2364.53,2364.53,2364.53,2364.53,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-02,2369.53,2369.53,2369.53,2369.53,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-03,2319.81,2319.81,2319.81,2319.81,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-04,2356.53,2356.53,2356.53,2356.53,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-08,2353.54,2353.54,2353.54,2353.54,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-09,2334.06,2334.06,2334.06,2334.06,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-10,2396.01,2396.01,2396.01,2396.01,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-11,2401.51,2401.51,2401.51,2401.51,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-14,2429.49,2429.49,2429.49,2429.49,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-15,2416.01,2416.01,2416.01,2416.01,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-16,2424.49,2424.49,2424.49,2424.49,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-17,2427.99,2427.99,2427.99,2427.99,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-18,2437.24,2437.24,2437.24,2437.24,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-21,2453.98,2453.98,2453.98,2453.98,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-22,2451.99,2451.99,2451.99,2451.99,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-23,2460.22,2460.22,2460.22,2460.22,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-24,2449.49,2450.24,2449.49,2450.24,1973.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-25,2463.47,2463.47,2463.47,2463.47,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-29,2447.99,2447.99,2447.99,2447.99,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-30,2456.47,2473.22,2456.47,2473.22,1967.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-05-31,2463.22,2463.22,2463.22,2463.22,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-01,2459.22,2459.22,2459.22,2459.22,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-04,2477.96,2477.96,2477.96,2477.96,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-05,2466.22,2466.22,2466.22,2466.22,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-06,2473.97,2473.97,2473.97,2473.97,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-07,2485.21,2485.21,2485.21,2485.21,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-08,2497.19,2497.19,2497.19,2497.19,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-11,2523.69,2523.69,2523.69,2523.69,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-12,2506.19,2506.19,2506.19,2506.19,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-13,2532.18,2532.18,2532.18,2532.18,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-14,2531.18,2531.18,2531.18,2531.18,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-15,2541.17,2541.17,2541.17,2541.17,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-18,2530.68,2530.68,2530.68,2530.68,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-19,2549.67,2549.67,2549.67,2549.67,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-20,2555.17,2555.17,2555.17,2555.17,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-21,2530.43,2530.43,2530.43,2530.43,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2018-06-22,2543.67,2543.67,2543.67,2543.67,0.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
