date,open,high,low,close,volume,Comment
2020-09-18,220.7072,220.7072,220.7072,220.7072,0,Vanguard
2020-09-17,221.4663,221.4663,221.4663,221.4663,0,Vanguard
2020-09-16,219.8800,219.8800,219.8800,219.8800,0,Vanguard
2020-09-15,220.2045,220.2045,220.2045,220.2045,0,Vanguard
2020-09-14,222.0103,222.0103,222.0103,222.0103,0,Vanguard
2020-09-11,222.5921,222.5921,222.5921,222.5921,0,Vanguard
2020-09-10,220.8826,220.8826,220.8826,220.8826,0,Vanguard
2020-09-09,221.9337,221.9337,221.9337,221.9337,0,Vanguard
2020-09-08,222.8687,222.8687,222.8687,222.8687,0,Vanguard
2020-09-07,216.5637,216.5637,216.5637,216.5637,0,Vanguard
2020-09-04,215.1025,215.1025,215.1025,215.1025,0,Vanguard
2020-09-03,216.3323,216.3323,216.3323,216.3323,0,Vanguard
2020-09-02,215.7834,215.7834,215.7834,215.7834,0,Vanguard
2020-09-01,216.5039,216.5039,216.5039,216.5039,0,Vanguard
2020-08-28,216.1798,216.1798,216.1798,216.1798,0,Vanguard
2020-08-27,213.4532,213.4532,213.4532,213.4532,0,Vanguard
2020-08-26,214.8728,214.8728,214.8728,214.8728,0,Vanguard
2020-08-25,215.8811,215.8811,215.8811,215.8811,0,Vanguard
2020-08-24,218.5069,218.5069,218.5069,218.5069,0,Vanguard
2020-08-21,216.5563,216.5563,216.5563,216.5563,0,Vanguard
2020-08-20,214.1272,214.1272,214.1272,214.1272,0,Vanguard
2020-08-19,214.7936,214.7936,214.7936,214.7936,0,Vanguard
2020-08-18,216.4716,216.4716,216.4716,216.4716,0,Vanguard
2020-08-17,216.7642,216.7642,216.7642,216.7642,0,Vanguard
2020-08-14,215.0356,215.0356,215.0356,215.0356,0,Vanguard
2020-08-13,218.2144,218.2144,218.2144,218.2144,0,Vanguard
2020-08-12,219.4971,219.4971,219.4971,219.4971,0,Vanguard
2020-08-11,221.6818,221.6818,221.6818,221.6818,0,Vanguard
2020-08-10,223.9974,223.9974,223.9974,223.9974,0,Vanguard
2020-08-07,222.6231,222.6231,222.6231,222.6231,0,Vanguard
2020-08-06,223.7230,223.7230,223.7230,223.7230,0,Vanguard
2020-08-05,223.1832,223.1832,223.1832,223.1832,0,Vanguard
2020-08-04,226.1351,226.1351,226.1351,226.1351,0,Vanguard
2020-08-03,225.9682,225.9682,225.9682,225.9682,0,Vanguard
2020-07-31,226.4301,226.4301,226.4301,226.4301,0,Vanguard
2020-07-30,227.3273,227.3273,227.3273,227.3273,0,Vanguard
2020-07-29,225.6537,225.6537,225.6537,225.6537,0,Vanguard
2020-07-28,225.8857,225.8857,225.8857,225.8857,0,Vanguard
2020-07-27,225.8672,225.8672,225.8672,225.8672,0,Vanguard
2020-07-24,224.4102,224.4102,224.4102,224.4102,0,Vanguard
2020-07-23,223.9403,223.9403,223.9403,223.9403,0,Vanguard
2020-07-22,223.2325,223.2325,223.2325,223.2325,0,Vanguard
2020-07-21,221.7794,221.7794,221.7794,221.7794,0,Vanguard
2020-07-20,220.6843,220.6843,220.6843,220.6843,0,Vanguard
2020-07-17,219.7180,219.7180,219.7180,219.7180,0,Vanguard
2020-07-16,222.5742,222.5742,222.5742,222.5742,0,Vanguard
2020-07-15,223.5433,223.5433,223.5433,223.5433,0,Vanguard
2020-07-14,225.1103,225.1103,225.1103,225.1103,0,Vanguard
2020-07-13,222.6132,222.6132,222.6132,222.6132,0,Vanguard
2020-07-10,221.2354,221.2354,221.2354,221.2354,0,Vanguard
2020-07-09,222.4054,222.4054,222.4054,222.4054,0,Vanguard
2020-07-08,224.3100,224.3100,224.3100,224.3100,0,Vanguard
2020-07-07,225.5910,225.5910,225.5910,225.5910,0,Vanguard
2020-07-06,227.0893,227.0893,227.0893,227.0893,0,Vanguard
2020-07-03,226.1200,226.1200,226.1200,226.1200,0,Vanguard
2020-07-02,226.5003,226.5003,226.5003,226.5003,0,Vanguard
2020-07-01,225.0744,225.0744,225.0744,225.0744,0,Vanguard
2020-06-30,224.8268,224.8268,224.8268,224.8268,0,Vanguard
2020-06-29,225.4767,225.4767,225.4767,225.4767,0,Vanguard
2020-06-26,223.3619,223.3619,223.3619,223.3619,0,Vanguard
2020-06-25,224.7193,224.7193,224.7193,224.7193,0,Vanguard
2020-06-24,224.4680,224.4680,224.4680,224.4680,0,Vanguard
2020-06-23,223.7757,223.7757,223.7757,223.7757,0,Vanguard
2020-06-22,224.1076,224.1076,224.1076,224.1076,0,Vanguard
2020-06-19,221.3845,221.3845,221.3845,221.3845,0,Vanguard
2020-06-18,222.0938,222.0938,222.0938,222.0938,0,Vanguard
2020-06-17,226.3696,226.3696,226.3696,226.3696,0,Vanguard
2020-06-16,224.1664,224.1664,224.1664,224.1664,0,Vanguard
2020-06-15,222.4301,222.4301,222.4301,222.4301,0,Vanguard
2020-06-12,221.7855,221.7855,221.7855,221.7855,0,Vanguard
2020-06-11,223.2721,223.2721,223.2721,223.2721,0,Vanguard
2020-06-10,221.5884,221.5884,221.5884,221.5884,0,Vanguard
2020-06-09,220.2970,220.2970,220.2970,220.2970,0,Vanguard
2020-06-08,217.3223,217.3223,217.3223,217.3223,0,Vanguard
2020-06-05,217.4152,217.4152,217.4152,217.4152,0,Vanguard
2020-06-04,219.5250,219.5250,219.5250,219.5250,0,Vanguard
2020-06-03,221.3667,221.3667,221.3667,221.3667,0,Vanguard
2020-06-02,222.9791,222.9791,222.9791,222.9791,0,Vanguard
2020-06-01,223.2843,223.2843,223.2843,223.2843,0,Vanguard
2020-05-29,223.9865,223.9865,223.9865,223.9865,0,Vanguard
2020-05-28,222.0186,222.0186,222.0186,222.0186,0,Vanguard
2020-05-27,221.7477,221.7477,221.7477,221.7477,0,Vanguard
2020-05-26,219.0017,219.0017,219.0017,219.0017,0,Vanguard
2020-05-22,220.2055,220.2055,220.2055,220.2055,0,Vanguard
2020-05-21,220.9756,220.9756,220.9756,220.9756,0,Vanguard
