Date, Open, High, Low, Close, Volume
2017-04-19,3.17,3.17,3.17,3.17,0
2017-04-18,3.21,3.21,3.21,3.21,0
2017-04-13,3.23,3.23,3.23,3.23,0
2017-04-11,3.24,3.24,3.24,3.24,0
2017-04-10,3.24,3.24,3.24,3.24,0
2017-04-07,3.23,3.23,3.23,3.23,0
2017-04-06,3.23,3.23,3.23,3.23,0
2017-04-05,3.23,3.23,3.23,3.23,0
2017-04-04,3.23,3.23,3.23,3.23,0
2017-04-03,3.22,3.22,3.22,3.22,0
2017-03-31,3.23,3.23,3.23,3.23,0
2017-03-30,3.24,3.24,3.24,3.24,0
2017-03-29,3.24,3.24,3.24,3.24,0
2017-03-28,3.22,3.22,3.22,3.22,0
2017-03-27,3.21,3.21,3.21,3.21,0
2017-03-24,3.22,3.22,3.22,3.22,0
2017-03-23,3.22,3.22,3.22,3.22,0
2017-03-22,3.22,3.22,3.22,3.22,0
2017-03-21,3.24,3.24,3.24,3.24,0
2017-03-17,3.25,3.25,3.25,3.25,0
2017-03-16,3.27,3.27,3.27,3.27,0
2017-03-15,3.26,3.26,3.26,3.26,0
2017-03-14,3.28,3.28,3.28,3.28,0
2017-03-13,3.26,3.26,3.26,3.26,0
2017-03-10,3.26,3.26,3.26,3.26,0
2017-03-09,3.24,3.24,3.24,3.24,0
2017-03-08,3.24,3.24,3.24,3.24,0
2017-03-07,3.24,3.24,3.24,3.24,0
2017-03-06,3.22,3.22,3.22,3.22,0
2017-03-03,3.23,3.23,3.23,3.23,0
2017-03-02,3.22,3.22,3.22,3.22,0
2017-02-28,3.16,3.16,3.16,3.16,0
2017-02-24,3.13,3.13,3.13,3.13,0
2017-02-23,3.14,3.14,3.14,3.14,0
2017-02-22,3.14,3.14,3.14,3.14,0
2017-02-21,3.13,3.13,3.13,3.13,0
2017-02-20,3.11,3.11,3.11,3.11,0
2017-02-17,3.12,3.12,3.12,3.12,0
2017-02-16,3.09,3.09,3.09,3.09,0
2017-02-14,3.08,3.08,3.08,3.08,0
2017-02-13,3.06,3.06,3.06,3.06,0
2017-02-10,3.07,3.07,3.07,3.07,0
2017-02-08,3.05,3.05,3.05,3.05,0
2017-02-07,3.06,3.06,3.06,3.06,0
2017-02-03,3.03,3.03,3.03,3.03,0
2017-02-02,2.95,2.95,2.95,2.95,0
2017-02-01,2.97,2.97,2.97,2.97,0
2017-01-31,3,3,3,3,0
2017-01-30,2.99,2.99,2.99,2.99,0
2017-01-27,2.98,2.98,2.98,2.98,0
2017-01-26,2.98,2.98,2.98,2.98,0
2017-01-25,2.99,2.99,2.99,2.99,0
2017-01-23,3,3,3,3,0
2017-01-20,3.03,3.03,3.03,3.03,0
2017-01-19,3.02,3.02,3.02,3.02,0
2017-01-18,3.03,3.03,3.03,3.03,0
2017-01-17,3.04,3.04,3.04,3.04,0
2017-01-16,3.08,3.08,3.08,3.08,0
2017-01-13,3.05,3.05,3.05,3.05,0
2017-01-12,3.03,3.03,3.03,3.03,0
2017-01-10,3.04,3.04,3.04,3.04,0
2017-01-06,2.98,2.98,2.98,2.98,0
2017-01-05,2.99,2.99,2.99,2.99,0
2017-01-04,2.99,2.99,2.99,2.99,0
2017-01-03,2.98,2.98,2.98,2.98,0
2016-12-30,2.98,2.98,2.98,2.98,0
2016-12-29,2.98,2.98,2.98,2.98,0
2016-12-28,2.99,2.99,2.99,2.99,0
2016-12-23,2.99,2.99,2.99,2.99,0
2016-12-22,2.96,2.96,2.96,2.96,0
2016-12-20,2.96,2.96,2.96,2.96,0
2016-12-19,2.94,2.94,2.94,2.94,0
2016-12-16,2.93,2.93,2.93,2.93,0
2016-12-15,2.91,2.91,2.91,2.91,0
2016-12-14,2.89,2.89,2.89,2.89,0
2016-12-13,2.87,2.87,2.87,2.87,0
2016-12-12,2.87,2.87,2.87,2.87,0
2016-12-09,2.85,2.85,2.85,2.85,0
2016-12-08,2.83,2.83,2.83,2.83,0
2016-12-07,2.82,2.82,2.82,2.82,0
2016-12-06,2.78,2.78,2.78,2.78,0
2016-12-05,2.78,2.78,2.78,2.78,0
2016-12-02,2.78,2.78,2.78,2.78,0
2016-12-01,2.81,2.81,2.81,2.81,0
2016-11-30,2.9,2.9,2.9,2.9,0
2016-11-29,2.88,2.88,2.88,2.88,0
2016-11-28,2.9,2.9,2.9,2.9,0
2016-11-25,2.88,2.88,2.88,2.88,0
2016-11-24,2.86,2.86,2.86,2.86,0
