date,open,high,low,close,volume,,
2020-09-18,1377.61,1377.61,1377.61,1377.61,0,mandg.co.uk,
2020-09-17,1377.07,1377.07,1377.07,1377.07,0,mandg.co.uk,
2020-09-16,1379.53,1379.53,1379.53,1379.53,0,mandg.co.uk,
2020-09-15,1383.22,1383.22,1383.22,1383.22,0,mandg.co.uk,
2020-09-14,1384.65,1384.65,1384.65,1384.65,0,mandg.co.uk,
2020-09-11,1394.75,1394.75,1394.75,1394.75,0,mandg.co.uk,
2020-09-10,1375.44,1375.44,1375.44,1375.44,0,mandg.co.uk,
2020-09-09,1381.55,1381.55,1381.55,1381.55,0,mandg.co.uk,
2020-09-08,1369.78,1369.78,1369.78,1369.78,0,mandg.co.uk,
2020-09-07,1361.63,1361.63,1361.63,1361.63,0,mandg.co.uk,
2020-09-04,1353.03,1353.03,1353.03,1353.03,0,mandg.co.uk,
2020-09-03,1354.26,1354.26,1354.26,1354.26,0,mandg.co.uk,
2020-09-02,1344.47,1344.47,1344.47,1344.47,0,mandg.co.uk,
2020-09-01,1336.35,1336.35,1336.35,1336.35,0,mandg.co.uk,
2020-08-28,1345.4,1345.4,1345.4,1345.4,0,mandg.co.uk,
2020-08-27,1354.94,1354.94,1354.94,1354.94,0,mandg.co.uk,
2020-08-26,1357.24,1357.24,1357.24,1357.24,0,mandg.co.uk,
2020-08-25,1360.77,1360.77,1360.77,1360.77,0,mandg.co.uk,
2020-08-24,1358.48,1358.48,1358.48,1358.48,0,mandg.co.uk,
2020-08-21,1359.87,1359.87,1359.87,1359.87,0,mandg.co.uk,
2020-08-20,1362.81,1362.81,1362.81,1362.81,0,mandg.co.uk,
2020-08-19,1359.64,1359.64,1359.64,1359.64,0,mandg.co.uk,
2020-08-18,1360.87,1360.87,1360.87,1360.87,0,mandg.co.uk,
2020-08-17,1365.77,1365.77,1365.77,1365.77,0,mandg.co.uk,
2020-08-14,1362.12,1362.12,1362.12,1362.12,0,mandg.co.uk,
2020-08-13,1366.31,1366.31,1366.31,1366.31,0,mandg.co.uk,
2020-08-12,1368.53,1368.53,1368.53,1368.53,0,mandg.co.uk,
2020-08-11,1368.16,1368.16,1368.16,1368.16,0,mandg.co.uk,
2020-08-10,1373.83,1373.83,1373.83,1373.83,0,mandg.co.uk,
2020-08-07,1373.18,1373.18,1373.18,1373.18,0,mandg.co.uk,
2020-08-06,1364.38,1364.38,1364.38,1364.38,0,mandg.co.uk,
2020-08-05,1365.94,1365.94,1365.94,1365.94,0,mandg.co.uk,
2020-08-04,1369.19,1369.19,1369.19,1369.19,0,mandg.co.uk,
2020-08-03,1368.05,1368.05,1368.05,1368.05,0,mandg.co.uk,
2020-07-31,1356.55,1356.55,1356.55,1356.55,0,mandg.co.uk,
2020-07-30,1363.32,1363.32,1363.32,1363.32,0,mandg.co.uk,
2020-07-29,1366.86,1366.86,1366.86,1366.86,0,mandg.co.uk,
2020-07-28,1380.29,1380.29,1380.29,1380.29,0,mandg.co.uk,
2020-07-27,1381.5,1381.5,1381.5,1381.5,0,mandg.co.uk,
2020-07-24,1386.93,1386.93,1386.93,1386.93,0,mandg.co.uk,
2020-07-23,1388.44,1388.44,1388.44,1388.44,0,mandg.co.uk,
2020-07-22,1388,1388,1388,1388,0,mandg.co.uk,
2020-07-21,1378.47,1378.47,1378.47,1378.47,0,mandg.co.uk,
2020-07-20,1385.91,1385.91,1385.91,1385.91,0,mandg.co.uk,
2020-07-17,1390.68,1390.68,1390.68,1390.68,0,mandg.co.uk,
2020-07-16,1391.52,1391.52,1391.52,1391.52,0,mandg.co.uk,
2020-07-15,1381.49,1381.49,1381.49,1381.49,0,mandg.co.uk,
2020-07-14,1388.45,1388.45,1388.45,1388.45,0,mandg.co.uk,
2020-07-13,1379.22,1379.22,1379.22,1379.22,0,mandg.co.uk,
2020-07-10,1378.7,1378.7,1378.7,1378.7,0,mandg.co.uk,
2020-07-09,1374.85,1374.85,1374.85,1374.85,0,mandg.co.uk,
2020-07-08,1382.57,1382.57,1382.57,1382.57,0,mandg.co.uk,
2020-07-07,1384.89,1384.89,1384.89,1384.89,0,mandg.co.uk,
2020-07-06,1384.87,1384.87,1384.87,1384.87,0,mandg.co.uk,
2020-07-03,1386.47,1386.47,1386.47,1386.47,0,mandg.co.uk,
2020-07-02,1381.47,1381.47,1381.47,1381.47,0,mandg.co.uk,
2020-07-01,1386.38,1386.38,1386.38,1386.38,0,mandg.co.uk,
2020-06-30,1401.48,1401.48,1401.48,1401.48,0,mandg.co.uk,
2020-06-29,1399.52,1399.52,1399.52,1399.52,0,mandg.co.uk,
2020-06-26,1389.03,1389.03,1389.03,1389.03,0,mandg.co.uk,
2020-06-25,1383.65,1383.65,1383.65,1383.65,0,mandg.co.uk,
2020-06-24,1380.98,1380.98,1380.98,1380.98,0,mandg.co.uk,
2020-06-23,1386.38,1386.38,1386.38,1386.38,0,mandg.co.uk,
2020-06-22,1390.68,1390.68,1390.68,1390.68,0,mandg.co.uk,
2020-06-19,1388.22,1388.22,1388.22,1388.22,0,mandg.co.uk,
2020-06-18,1375.71,1375.71,1375.71,1375.71,0,mandg.co.uk,
2020-06-17,1367.72,1367.72,1367.72,1367.72,0,mandg.co.uk,
2020-06-16,1362.9,1362.9,1362.9,1362.9,0,mandg.co.uk,
2020-06-15,1373.18,1373.18,1373.18,1373.18,0,mandg.co.uk,
2020-06-12,1364.62,1364.62,1364.62,1364.62,0,mandg.co.uk,
2020-06-11,1364.97,1364.97,1364.97,1364.97,0,mandg.co.uk,
2020-06-10,1354.27,1354.27,1354.27,1354.27,0,mandg.co.uk,
2020-06-09,1362.2,1362.2,1362.2,1362.2,0,mandg.co.uk,
2020-06-08,1357.28,1357.28,1357.28,1357.28,0,mandg.co.uk,
2020-06-05,1357.11,1357.11,1357.11,1357.11,0,mandg.co.uk,
2020-06-04,1366.48,1366.48,1366.48,1366.48,0,mandg.co.uk,
2020-06-03,1361.77,1361.77,1361.77,1361.77,0,mandg.co.uk,
2020-06-02,1362.03,1362.03,1362.03,1362.03,0,mandg.co.uk,
2020-06-01,1376.31,1376.31,1376.31,1376.31,0,mandg.co.uk,
2020-05-29,1379.75,1379.75,1379.75,1379.75,0,mandg.co.uk,
2020-05-28,1380.64,1380.64,1380.64,1380.64,0,mandg.co.uk,
2020-05-27,1371.32,1371.32,1371.32,1371.32,0,mandg.co.uk,
2020-05-26,1370.31,1370.31,1370.31,1370.31,0,mandg.co.uk,
2020-05-22,1380.4,1380.4,1380.4,1380.4,0,mandg.co.uk,
2020-05-21,1376.69,1376.69,1376.69,1376.69,0,mandg.co.uk,
2020-05-20,1367.36,1367.36,1367.36,1367.36,0,mandg.co.uk,
2020-05-19,1366.66,1366.66,1366.66,1366.66,0,mandg.co.uk,
2020-05-18,1373.66,1373.66,1373.66,1373.66,0,mandg.co.uk,
2020-05-15,1365.35,1365.35,1365.35,1365.35,0,mandg.co.uk,
2020-05-14,1362.94,1362.94,1362.94,1362.94,0,mandg.co.uk,
2020-05-13,1354.59,1354.59,1354.59,1354.59,0,mandg.co.uk,
2020-05-12,1344.98,1344.98,1344.98,1344.98,0,mandg.co.uk,
2020-05-11,1346.54,1346.54,1346.54,1346.54,0,mandg.co.uk,
2020-05-07,1335.71,1335.71,1335.71,1335.71,0,mandg.co.uk,
2020-05-06,1337.35,1337.35,1337.35,1337.35,0,mandg.co.uk,
2020-05-05,1328.08,1328.08,1328.08,1328.08,0,mandg.co.uk,
2020-05-04,1334.4,1334.4,1334.4,1334.4,0,mandg.co.uk,
2020-05-01,1322.48,1322.48,1322.48,1322.48,0,mandg.co.uk,
2020-04-30,1326.03,1326.03,1326.03,1326.03,0,mandg.co.uk,
2020-04-29,1332.93,1332.93,1332.93,1332.93,0,mandg.co.uk,
2020-04-28,1319.74,1319.74,1319.74,1319.74,0,mandg.co.uk,
2020-04-27,1324.09,1324.09,1324.09,1324.09,0,mandg.co.uk,
2020-04-24,1330.37,1330.37,1330.37,1330.37,0,mandg.co.uk,
2020-04-23,1329.21,1329.21,1329.21,1329.21,0,mandg.co.uk,
2020-04-22,1330.38,1330.38,1330.38,1330.38,0,mandg.co.uk,
2020-04-21,1334.51,1334.51,1334.51,1334.51,0,mandg.co.uk,
2020-04-20,1325.45,1325.45,1325.45,1325.45,0,mandg.co.uk,
2020-04-17,1326.33,1326.33,1326.33,1326.33,0,mandg.co.uk,
2020-04-16,1321.07,1321.07,1321.07,1321.07,0,mandg.co.uk,
2020-04-15,1321.62,1321.62,1321.62,1321.62,0,mandg.co.uk,
2020-04-14,1314.6,1314.6,1314.6,1314.6,0,mandg.co.uk,
2020-04-09,1315.92,1315.92,1315.92,1315.92,0,mandg.co.uk,
2020-04-08,1321.72,1321.72,1321.72,1321.72,0,mandg.co.uk,
2020-04-07,1326.5,1326.5,1326.5,1326.5,0,mandg.co.uk,
2020-04-06,1309.68,1309.68,1309.68,1309.68,0,mandg.co.uk,
2020-04-03,1317.32,1317.32,1317.32,1317.32,0,mandg.co.uk,
2020-04-02,1303.53,1303.53,1303.53,1303.53,0,mandg.co.uk,
2020-04-01,1311.42,1311.42,1311.42,1311.42,0,mandg.co.uk,
2020-03-31,1310.74,1310.74,1310.74,1310.74,0,mandg.co.uk,
2020-03-30,1308.24,1308.24,1308.24,1308.24,0,mandg.co.uk,
2020-03-27,1325.12,1325.12,1325.12,1325.12,0,mandg.co.uk,
2020-03-26,1338.38,1338.38,1338.38,1338.38,0,mandg.co.uk,
2020-03-25,1332.36,1332.36,1332.36,1332.36,0,mandg.co.uk,
2020-03-24,1343.66,1343.66,1343.66,1343.66,0,mandg.co.uk,
2020-03-23,1358.35,1358.35,1358.35,1358.35,0,mandg.co.uk,
2020-03-20,1335.39,1335.39,1335.39,1335.39,0,mandg.co.uk,
2020-03-19,1350.81,1350.81,1350.81,1350.81,0,mandg.co.uk,
2020-03-18,1342.14,1342.14,1342.14,1342.14,0,mandg.co.uk,
2020-03-17,1346.79,1346.79,1346.79,1346.79,0,mandg.co.uk,
2020-03-16,1353.65,1353.65,1353.65,1353.65,0,mandg.co.uk,
2020-03-13,1337.22,1337.22,1337.22,1337.22,0,mandg.co.uk,
2020-03-12,1345.12,1345.12,1345.12,1345.12,0,mandg.co.uk,
2020-03-11,1351.1,1351.1,1351.1,1351.1,0,mandg.co.uk,
2020-03-10,1347.42,1347.42,1347.42,1347.42,0,mandg.co.uk,
2020-03-09,1363.02,1363.02,1363.02,1363.02,0,mandg.co.uk,
2020-03-06,1362.17,1362.17,1362.17,1362.17,0,mandg.co.uk,
