date,open,high,low,close,volume,comment
2015-03-04,752.55,819.32,735.74,808.81,807436.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-05,815.13,855.88,813.85,840.74,402192.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-06,839.91,839.91,815.13,817.66,344093.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-09,823.11,823.11,805.89,815.55,303275.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-10,810.91,834.44,808.81,812.20,328899.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-11,820.16,859.23,811.76,850.82,486648.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-12,844.09,860.89,830.65,834.85,285394.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-13,828.98,850.00,828.98,848.31,241691.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-16,852.49,853.33,841.58,851.65,310577.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-17,852.49,855.88,841.58,852.49,199447.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-18,850.00,864.26,847.46,856.70,326959.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-19,839.91,856.70,839.91,850.00,302921.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-20,855.00,870.97,850.82,869.30,629380.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-23,873.50,873.50,851.65,860.89,358734.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-24,865.10,875.17,853.33,860.89,167172.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-25,854.18,862.55,853.33,856.70,233906.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-26,848.31,871.82,843.27,869.30,283261.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-27,870.13,882.73,853.33,858.38,453408.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-30,862.55,883.59,861.74,876.03,188225.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
