date,open,high,low,close,volume,comment
2010-12-10,797.00,797.00,793.50,795.75,10001.00,Alphavantage
2010-12-13,805.75,817.00,805.75,805.75,13007.00,Alphavantage
2010-12-16,814.75,814.75,814.75,814.75,2470.00,Alphavantage
2010-12-17,813.25,813.25,812.75,813.00,400.00,Alphavantage
2010-12-20,811.00,814.00,811.00,811.75,98407.00,Alphavantage
2010-12-21,812.25,828.00,812.25,825.00,16770.00,Alphavantage
2010-12-22,833.75,833.75,833.75,833.75,1080.00,Alphavantage
2010-12-23,830.00,830.50,830.00,830.25,147.00,Alphavantage
2010-12-29,832.00,832.50,832.00,832.25,195.00,Alphavantage
2010-12-30,829.75,829.75,829.75,829.75,10065.00,Alphavantage
2010-12-31,827.00,827.00,827.00,827.00,13007.00,Alphavantage
2011-01-06,836.50,836.50,836.50,836.50,305.00,Alphavantage
2011-01-07,822.25,822.25,821.75,822.00,416.00,Alphavantage
2011-01-10,823.00,823.00,823.00,823.00,14648.00,Alphavantage
2011-01-11,825.00,825.00,825.00,825.00,9010.00,Alphavantage
2011-01-14,853.50,853.50,820.75,823.25,26014.00,Alphavantage
2011-01-21,820.00,820.00,818.00,818.00,786904.00,Alphavantage
2011-01-27,832.50,832.50,830.00,830.00,1592.00,Alphavantage
2011-01-28,825.75,825.75,825.25,825.50,250.00,Alphavantage
2011-02-01,824.25,824.75,824.25,824.50,17632.00,Alphavantage
2011-02-02,826.25,826.25,826.25,826.25,75000.00,Alphavantage
2011-02-07,832.00,832.00,832.00,832.00,3309.00,Alphavantage
2011-02-08,833.25,836.25,829.50,836.25,45238.00,Alphavantage
2011-02-10,835.00,835.00,835.00,835.00,12658.00,Alphavantage
2011-02-11,831.00,831.00,831.00,831.00,56.00,Alphavantage
2011-02-14,842.00,842.00,840.25,840.88,30190.00,Alphavantage
2011-02-21,838.00,838.00,838.00,838.00,1200.00,Alphavantage
2011-02-22,828.75,828.75,828.75,828.75,19986.00,Alphavantage
2011-03-01,838.75,838.75,838.75,838.75,37223.00,Alphavantage
2011-03-02,824.25,824.25,824.25,824.25,180.00,Alphavantage
2011-03-03,829.25,830.25,829.00,830.25,45700.00,Alphavantage
2011-03-04,835.85,835.85,835.85,835.85,13152.00,Alphavantage
2011-03-08,829.75,829.75,829.75,829.75,3521.00,Alphavantage
2011-03-09,831.00,831.00,831.00,831.00,56725.00,Alphavantage
2011-03-11,815.75,818.00,815.50,818.00,26499.00,Alphavantage
2011-03-14,822.00,822.00,809.75,809.75,207594.00,Alphavantage
2011-03-16,795.75,795.75,791.75,791.75,11000.00,Alphavantage
2011-03-17,800.00,800.00,800.00,800.00,1250.00,Alphavantage
2011-03-18,800.75,801.75,800.50,800.50,28029.00,Alphavantage
2011-03-21,807.25,807.25,807.00,807.25,1500.00,Alphavantage
2011-03-22,805.25,807.00,805.25,805.25,3630.00,Alphavantage
2011-03-24,821.00,821.00,821.00,821.00,3228.00,Alphavantage
2011-03-28,831.00,831.00,831.00,831.00,4798.00,Alphavantage
2011-03-29,830.25,830.50,830.25,830.50,86041.00,Alphavantage
2011-03-30,836.25,844.25,836.25,836.62,83707.00,Alphavantage
2011-04-01,844.00,844.00,844.00,844.00,16302.00,Alphavantage
2011-04-04,839.75,840.75,839.00,839.12,80324.00,Alphavantage
2011-04-12,825.50,825.50,825.50,825.50,10000.00,Alphavantage
2011-04-13,829.00,829.00,829.00,829.00,38725.00,Alphavantage
2011-04-14,816.00,816.00,816.00,816.00,20000.00,Alphavantage
2011-04-18,816.50,816.50,816.50,816.50,10000.00,Alphavantage
2011-04-20,846.00,846.00,824.25,825.12,205018.00,Alphavantage
2011-04-21,824.75,824.75,824.00,824.00,16344.00,Alphavantage
2011-04-26,834.50,834.50,828.00,833.12,75040.00,Alphavantage
2011-05-05,827.25,827.75,827.25,827.25,57983.00,Alphavantage
2011-05-06,830.75,833.25,830.75,833.25,41641.00,Alphavantage
2011-05-11,841.75,841.75,832.50,832.50,6391.00,Alphavantage
2011-05-12,828.00,828.00,828.00,828.00,2353.00,Alphavantage
2011-05-13,839.50,840.00,836.75,836.75,2985.00,Alphavantage
2011-05-16,830.25,833.25,826.75,831.75,4318.00,Alphavantage
2011-05-17,823.75,827.25,823.75,823.75,12745.00,Alphavantage
2011-05-18,831.25,853.25,830.25,853.25,34250.00,Alphavantage
2011-05-19,837.75,839.00,835.00,835.62,61579.00,Alphavantage
2011-05-20,836.50,836.50,836.50,836.50,130.00,Alphavantage
2011-05-23,819.50,820.00,819.50,819.88,959.00,Alphavantage
2011-05-24,824.25,824.75,820.25,820.25,29025.00,Alphavantage
2011-05-25,818.00,818.50,816.50,817.12,4774.00,Alphavantage
2011-05-26,819.25,819.75,813.75,813.75,1490.00,Alphavantage
2011-05-27,817.25,819.25,816.75,818.38,118438.00,Alphavantage
2011-05-31,827.00,827.75,827.00,827.00,10482.00,Alphavantage
2011-06-01,829.00,829.75,823.00,824.38,530353.00,Alphavantage
2011-06-02,819.50,836.25,819.00,819.00,17353.00,Alphavantage
2011-06-03,817.50,818.00,811.75,811.88,52593.00,Alphavantage
2011-06-06,809.25,809.25,808.50,809.25,6369.00,Alphavantage
2011-06-07,805.75,807.75,805.75,807.50,8472.00,Alphavantage
2011-06-08,800.25,821.00,800.00,800.88,3601.00,Alphavantage
2011-06-09,801.50,806.50,799.00,805.12,12722.00,Alphavantage
2011-06-10,808.25,808.25,800.00,800.00,3974.00,Alphavantage
2011-06-13,798.00,798.50,795.25,796.88,5345.00,Alphavantage
2011-06-14,800.25,803.00,798.75,802.88,5979.00,Alphavantage
2011-06-15,802.50,802.50,798.50,799.12,4733.00,Alphavantage
2011-06-16,796.00,798.00,794.50,797.88,63544.00,Alphavantage
2011-06-17,797.75,802.00,797.75,800.88,2630.00,Alphavantage
2011-06-20,792.50,797.75,792.25,797.62,13510.00,Alphavantage
2011-06-21,804.50,809.00,804.25,809.00,21231.00,Alphavantage
2011-06-22,811.25,816.25,811.25,815.38,1577.00,Alphavantage
2011-06-23,811.00,811.00,800.25,801.88,7522.00,Alphavantage
2011-06-24,813.75,815.25,803.75,805.62,12620.00,Alphavantage
2011-06-27,806.75,809.00,804.75,806.62,54954.00,Alphavantage
2011-06-28,811.75,817.75,811.75,814.88,10121.00,Alphavantage
2011-06-29,825.00,826.50,822.50,826.12,4074.00,Alphavantage
2011-06-30,835.75,837.00,835.25,836.50,12500.00,Alphavantage
2011-07-01,840.75,842.75,839.75,842.12,36467.00,Alphavantage
2011-07-04,841.50,847.75,841.50,845.88,5247.00,Alphavantage
2011-07-05,847.25,847.25,841.00,842.62,2922.00,Alphavantage
2011-07-06,845.00,846.00,843.00,844.12,37936.00,Alphavantage
2011-07-07,846.50,878.00,846.50,852.62,31722.00,Alphavantage
2011-07-08,854.25,855.50,840.25,841.38,38643.00,Alphavantage
2011-07-11,842.00,842.00,835.25,835.25,42830.00,Alphavantage
2011-07-12,824.00,832.75,824.00,830.12,38682.00,Alphavantage
2011-07-13,831.00,835.50,830.25,832.12,27591.00,Alphavantage
2011-07-14,825.50,826.25,823.75,824.38,3944.00,Alphavantage
2011-07-15,821.50,821.50,817.75,819.38,31034.00,Alphavantage
2011-07-18,816.50,816.50,815.25,815.25,33452.00,Alphavantage
2011-07-19,820.00,821.50,819.75,820.62,71366.00,Alphavantage
2011-07-20,823.25,823.75,821.00,821.88,3543.00,Alphavantage
2011-07-21,819.25,828.50,818.50,826.12,16184.00,Alphavantage
2011-07-22,831.50,831.50,825.00,825.38,5631.00,Alphavantage
2011-07-25,826.00,826.75,826.00,826.00,254351.00,Alphavantage
2011-07-26,825.00,825.00,819.25,820.12,31372.00,Alphavantage
2011-07-27,818.25,819.50,808.00,813.38,813253.00,Alphavantage
2011-07-28,806.75,809.25,802.25,809.25,183303.00,Alphavantage
2011-07-29,803.75,803.75,796.00,798.88,18546.00,Alphavantage
2011-08-01,807.25,807.25,797.50,797.50,55683.00,Alphavantage
2011-08-02,790.25,791.25,785.25,786.12,29707.00,Alphavantage
2011-08-03,772.75,776.00,761.00,766.12,32072.00,Alphavantage
2011-08-04,774.50,787.00,752.50,752.50,58232.00,Alphavantage
2011-08-05,736.50,736.50,727.00,727.00,6214.00,Alphavantage
2011-08-08,724.75,724.75,713.25,713.25,41826.00,Alphavantage
2011-08-09,704.00,718.25,656.25,717.38,35402.00,Alphavantage
2011-08-10,723.00,730.75,701.50,701.50,12817.00,Alphavantage
2011-08-11,706.50,732.00,703.50,716.62,769597.00,Alphavantage
2011-08-12,722.75,733.75,722.75,729.12,1566.00,Alphavantage
2011-08-15,735.00,755.50,725.00,729.38,39012.00,Alphavantage
2011-08-16,729.75,734.00,727.25,732.38,5608.00,Alphavantage
2011-08-17,728.25,734.00,728.25,728.25,4366.00,Alphavantage
2011-08-18,714.50,714.50,700.25,700.25,10422.00,Alphavantage
2011-08-19,682.75,696.50,682.75,690.12,7669.00,Alphavantage
2011-08-22,692.00,696.00,692.00,692.12,3285.00,Alphavantage
2011-08-23,699.50,699.50,693.25,695.62,5793.00,Alphavantage
2011-08-24,703.50,713.75,703.00,712.38,4540.00,Alphavantage
2011-08-25,717.25,717.75,707.75,714.88,3607.00,Alphavantage
2011-08-26,705.25,705.25,703.25,705.25,92825.00,Alphavantage
2011-08-30,723.50,734.25,723.50,732.88,2292.00,Alphavantage
