date,open,high,low,close,volume,comment
2005-11-21,10775.00,10701.00,10699.00,10700.00,86.00,Alphavantage
2005-11-22,10775.00,10775.00,10775.00,10775.00,152.00,Alphavantage
2005-11-23,10820.00,10776.00,10774.00,10775.00,322.00,Alphavantage
2005-11-24,10850.00,10814.00,10812.00,10813.00,26.00,Alphavantage
2005-11-25,10900.00,10900.00,10900.00,10900.00,500.00,Alphavantage
2005-11-28,10900.00,10876.00,10874.00,10875.00,140.00,Alphavantage
2005-11-29,10950.00,10950.00,10925.00,10825.00,1822.00,Alphavantage
2005-11-30,10875.00,10776.00,10774.00,10775.00,63.00,Alphavantage
2005-12-01,10825.00,10739.00,10737.00,10738.00,6.00,Alphavantage
2005-12-02,10800.00,10800.00,10737.00,10800.00,185.00,Alphavantage
2005-12-08,10788.00,10789.00,10787.00,10788.00,37.00,Alphavantage
2005-12-09,10788.00,10789.00,10787.00,10788.00,137.00,Alphavantage
2005-12-13,10750.00,10750.00,10750.00,10738.00,500.00,Alphavantage
2005-12-14,10875.00,10839.00,10837.00,10838.00,182.00,Alphavantage
2005-12-15,10875.00,10789.00,10787.00,10788.00,3.00,Alphavantage
2005-12-16,10850.00,10814.00,10812.00,10813.00,63.00,Alphavantage
2005-12-21,10850.00,10814.00,10812.00,10813.00,165.00,Alphavantage
2005-12-22,10850.00,10850.00,10850.00,10913.00,90.00,Alphavantage
2005-12-29,11075.00,11014.00,11012.00,11013.00,71.00,Alphavantage
2005-12-30,11050.00,11039.00,11037.00,11038.00,192.00,Alphavantage
2006-01-03,11100.00,11150.00,11100.00,11138.00,63.00,Alphavantage
2006-01-05,11225.00,11225.00,11225.00,11188.00,601.00,Alphavantage
2006-01-06,11225.00,11225.00,11225.00,11138.00,138.00,Alphavantage
2006-01-09,11150.00,11126.00,11124.00,11125.00,1061.00,Alphavantage
2006-01-10,11125.00,11089.00,11087.00,11088.00,100.00,Alphavantage
2006-01-13,11100.00,11089.00,11087.00,11088.00,148.00,Alphavantage
2006-01-16,11150.00,11150.00,11150.00,11113.00,333.00,Alphavantage
