date,open,high,low,close,volume,comment
2020-09-01,570.80,576.70,531.94,542.80,7562266.00,Yahoo
2020-10-01,546.60,568.00,517.00,522.60,5419380.00,Yahoo
2020-11-01,522.00,636.50,517.71,611.70,9825826.00,Yahoo
2020-12-01,613.70,673.20,611.00,647.10,11071751.00,Yahoo
2021-01-01,647.10,692.31,642.80,647.00,6664241.00,Yahoo
2021-02-01,649.40,689.30,647.94,663.40,5310974.00,Yahoo
2021-03-01,672.50,711.10,670.30,704.50,7536791.00,Yahoo
2021-04-01,705.60,738.90,703.73,726.00,6014999.00,Yahoo
2021-05-01,726.00,756.40,723.22,742.20,5065422.00,Yahoo
2021-06-01,748.10,762.40,720.51,723.20,5999725.00,Yahoo
2021-07-01,726.20,745.69,710.48,736.00,4814632.00,Yahoo
2021-08-01,743.00,762.90,742.12,758.50,1572309.00,Yahoo
2021-08-13,760.00,762.00,759.49,761.70,171011.00,Yahoo
