date,open,high,low,close,volume,comment
2015-03-04,250.73,251.90,248.40,251.90,66725.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-05,250.34,256.81,250.34,256.81,18712.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-06,258.57,259.36,255.44,255.44,35109.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-09,252.89,255.24,252.30,253.09,39061.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-10,253.88,253.88,247.40,250.34,44164.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-11,250.34,250.34,250.15,250.34,1069.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-12,253.09,253.47,250.73,253.47,17363.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-13,253.09,260.34,252.71,260.34,30978.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-16,259.74,260.93,252.71,260.93,11582.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-17,252.89,258.19,252.89,258.19,30444.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-18,259.74,259.74,259.74,259.74,243.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-19,260.14,265.63,260.14,265.63,1456.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-20,262.48,262.88,257.80,262.48,23137.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-23,262.69,262.69,258.57,259.36,21297.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-24,259.95,261.52,259.36,260.73,16173.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-25,262.48,264.46,259.36,263.28,95523.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-26,260.52,264.85,260.52,262.69,15837.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-27,263.65,263.82,260.52,260.52,92310.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-30,262.05,268.55,262.05,266.40,919329.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-03-31,265.88,270.14,264.89,270.14,77618.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-01,270.30,280.50,270.14,280.50,133222.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-02,281.23,286.00,275.82,280.90,77077.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-07,286.80,294.61,281.95,294.61,118759.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-08,294.61,299.40,289.77,298.14,92080.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-09,298.14,300.49,283.27,293.44,138000.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-10,299.01,306.37,299.01,301.67,125934.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-13,302.93,303.23,294.01,299.32,125601.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
2015-04-14,297.86,300.10,295.21,295.21,35407.00,com.leonarduk.finance.stockfeed.feed.stooq.StooqFeed
