date,open,high,low,close,volume
2007-11-05,3845.00,3845.00,3845.00,3845.00,6901.00,Alphavantage
2007-11-07,3995.00,4001.00,3995.00,4001.00,197.00,Alphavantage
2007-11-13,3834.00,3897.00,3834.00,3834.00,5084.00,Alphavantage
2007-11-14,3866.00,3866.00,3866.00,3866.00,76.00,Alphavantage
2007-11-16,3870.00,3870.00,3870.00,3870.00,700.00,Alphavantage
2007-11-19,3815.00,3815.00,3786.00,3786.00,472.00,Alphavantage
2007-11-20,3836.00,3836.00,3836.00,3836.00,500.00,Alphavantage
2007-11-21,3890.00,3890.00,3876.00,3877.00,5375.00,Alphavantage
2007-11-22,3883.00,3883.00,3883.00,3883.00,1500.00,Alphavantage
2007-11-26,3970.00,3970.00,3970.00,3970.00,9.00,Alphavantage
2007-12-03,3808.00,3808.00,3804.00,3804.00,271.00,Alphavantage
2007-12-04,3813.00,3813.00,3813.00,3813.00,546.00,Alphavantage
2007-12-07,3909.00,3909.00,3906.00,3906.00,2000.00,Alphavantage
2007-12-10,3930.00,3961.00,3930.00,3961.00,6000.00,Alphavantage
2007-12-11,3945.00,3946.00,3921.00,3921.00,20382.00,Alphavantage
2007-12-14,3908.00,3909.00,3908.00,3909.00,5088.00,Alphavantage
2007-12-17,3918.00,3918.00,3910.00,3910.00,307.00,Alphavantage
2007-12-18,3946.00,3947.00,3946.00,3947.00,17804.00,Alphavantage
2007-12-19,3971.00,3981.00,3971.00,3980.00,5120.00,Alphavantage
2007-12-20,4003.00,4003.00,4003.00,4003.00,5049.00,Alphavantage
2007-12-27,4130.00,4158.00,4130.00,4130.00,513.00,Alphavantage
2007-12-28,4139.00,4139.00,4131.00,4135.00,3134.00,Alphavantage
2007-12-31,4202.00,4202.00,4190.00,4190.00,145.00,Alphavantage
2008-01-02,4224.00,4308.00,4224.00,4308.00,2366.00,Alphavantage
2008-01-03,4319.00,4380.00,4319.00,4341.00,8974.00,Alphavantage
2008-01-04,4363.00,4374.00,4329.00,4344.00,1076.00,Alphavantage
2008-01-07,4360.00,4360.00,4357.00,4360.00,229.00,Alphavantage
2008-01-08,4409.00,4411.00,4403.00,4411.00,2979.00,Alphavantage
2008-01-09,4472.00,4509.00,4459.00,4459.00,14650.00,Alphavantage
2008-01-10,4458.00,4473.00,4458.00,4462.00,4206.00,Alphavantage
2008-01-11,4556.00,4574.00,4541.00,4559.00,3378.00,Alphavantage
2008-01-14,4599.00,4638.00,4599.00,4629.00,14600.00,Alphavantage
2008-01-15,4616.00,4631.00,4583.00,4583.00,1667.00,Alphavantage
2008-01-16,4489.00,4507.00,4489.00,4507.00,2123.00,Alphavantage
2008-01-17,4466.00,4496.00,4461.00,4476.00,10274.00,Alphavantage
2008-01-18,4441.00,4495.00,4438.00,4486.00,7575.00,Alphavantage
2008-01-21,4466.00,4466.00,4445.00,4466.00,555.00,Alphavantage
2008-01-22,4428.00,4525.00,4410.00,4525.00,5490.00,Alphavantage
2008-01-24,4583.00,4583.00,4553.00,4583.00,2196.00,Alphavantage
2008-01-25,4637.00,4637.00,4637.00,4637.00,20.00,Alphavantage
2008-01-28,4621.00,4624.00,4620.00,4624.00,5153.00,Alphavantage
2008-01-31,4630.00,4636.00,4630.00,4634.00,170.00,Alphavantage
2008-02-01,4690.00,4690.00,4638.00,4638.00,10000.00,Alphavantage
2008-02-04,4555.00,4555.00,4555.00,4555.00,220.00,Alphavantage
2008-02-05,4533.00,4533.00,4500.00,4500.00,282.00,Alphavantage
2008-02-06,4524.00,4606.00,4522.00,4606.00,5380.00,Alphavantage
2008-02-07,4637.00,4637.00,4637.00,4637.00,600.00,Alphavantage
2008-02-11,4730.00,4730.00,4702.00,4702.00,1076.00,Alphavantage
2008-02-12,4716.00,4716.00,4649.00,4649.00,16613.00,Alphavantage
2008-02-13,4578.00,4589.00,4578.00,4589.00,614.00,Alphavantage
2008-02-14,4617.00,4620.00,4589.00,4589.00,13963.00,Alphavantage
2008-02-15,4623.00,4647.00,4623.00,4647.00,169.00,Alphavantage
2008-02-18,4624.00,4626.00,4617.00,4617.00,537.00,Alphavantage
2008-02-19,4650.00,4683.00,4650.00,4683.00,6507.00,Alphavantage
2008-02-20,4750.00,4750.00,4745.00,4750.00,82.00,Alphavantage
