date,open,high,low,close,volume,comment
2019-09-11,5.71,6.67,4.90,5.27,56772.00,Alphavantage
2019-09-12,5.35,6.70,4.55,5.86,206411.00,Alphavantage
2019-09-13,5.60,5.60,5.10,5.16,119002.00,Alphavantage
2019-09-16,5.20,5.26,4.95,5.19,123763.00,Alphavantage
2019-09-17,5.20,5.47,5.07,5.19,163889.00,Alphavantage
2019-09-18,5.24,5.65,5.20,5.22,128627.00,Alphavantage
2019-09-19,5.34,5.34,5.19,5.23,53324.00,Alphavantage
2019-09-20,5.30,5.88,5.25,5.80,481465.00,Alphavantage
2019-09-23,6.00,6.37,5.90,6.22,232169.00,Alphavantage
2019-09-24,6.29,6.45,6.03,6.11,145832.00,Alphavantage
2019-09-25,6.30,7.15,6.17,6.99,253458.00,Alphavantage
2019-09-26,7.19,7.49,6.95,7.04,235212.00,Alphavantage
2019-09-27,7.27,7.27,6.50,6.74,75967.00,Alphavantage
2019-09-30,6.95,7.15,6.32,6.33,68504.00,Alphavantage
2019-10-01,6.25,6.44,6.03,6.09,103838.00,Alphavantage
2019-10-02,6.20,6.20,5.65,5.94,54356.00,Alphavantage
2019-10-03,5.95,6.36,5.90,6.13,43201.00,Alphavantage
2019-10-04,6.16,6.63,6.15,6.46,38890.00,Alphavantage
2019-10-07,6.99,6.99,6.34,6.34,36940.00,Alphavantage
2019-10-08,6.21,6.50,5.83,6.08,30403.00,Alphavantage
2019-10-09,6.08,6.35,5.80,6.06,60193.00,Alphavantage
2019-10-10,5.90,6.10,5.82,6.00,8237.00,Alphavantage
2019-10-11,6.00,6.00,5.78,5.83,24499.00,Alphavantage
2019-10-14,5.83,6.00,5.83,5.87,9026.00,Alphavantage
2019-10-15,5.84,6.03,5.83,5.91,14107.00,Alphavantage
2019-10-16,6.38,6.42,5.83,5.90,63468.00,Alphavantage
2019-10-17,5.87,6.24,5.82,5.92,20634.00,Alphavantage
2019-10-18,5.86,5.89,5.78,5.83,6957.00,Alphavantage
2019-10-21,5.79,6.06,5.78,5.82,8252.00,Alphavantage
2019-10-22,5.80,5.92,5.80,5.83,5792.00,Alphavantage
2019-10-23,5.83,5.94,5.68,5.74,22825.00,Alphavantage
2019-10-24,5.70,5.72,5.27,5.34,26693.00,Alphavantage
2019-10-25,5.28,5.39,4.44,4.97,132903.00,Alphavantage
2019-10-28,4.97,5.42,4.60,4.60,88651.00,Alphavantage
2019-10-29,4.63,5.15,4.60,5.15,192667.00,Alphavantage
2019-10-30,5.09,5.77,5.05,5.40,101107.00,Alphavantage
2019-10-31,5.48,6.10,5.30,5.94,131503.00,Alphavantage
2019-11-01,6.00,6.30,5.57,6.25,36630.00,Alphavantage
2019-11-04,5.71,6.26,5.71,6.08,27391.00,Alphavantage
2019-11-05,6.03,6.14,5.96,6.05,22920.00,Alphavantage
2019-11-06,6.08,6.10,5.88,5.95,23611.00,Alphavantage
2019-11-07,5.91,6.13,5.91,6.05,28301.00,Alphavantage
2019-11-08,6.09,6.11,5.94,5.94,9918.00,Alphavantage
2019-11-11,5.94,5.96,5.80,5.90,13398.00,Alphavantage
2019-11-12,5.96,6.15,5.90,6.10,11905.00,Alphavantage
2019-11-13,6.00,6.00,5.92,5.96,6510.00,Alphavantage
2019-11-14,5.96,6.00,5.67,5.75,18286.00,Alphavantage
2019-11-15,5.83,6.00,5.65,6.00,9219.00,Alphavantage
2019-11-18,5.72,6.10,5.72,6.10,41362.00,Alphavantage
2019-11-19,5.90,6.20,5.51,6.20,75244.00,Alphavantage
