date,open,high,low,close,volume,comment
2020-09-01,815.00,851.90,756.80,817.65,8192928.00,Yahoo
2020-10-01,805.50,912.57,770.63,892.45,7481011.00,Yahoo
2020-11-01,894.50,903.39,654.49,695.70,8243339.00,Yahoo
2020-12-01,689.40,689.40,606.11,648.00,8231389.00,Yahoo
2021-01-01,648.00,653.80,564.51,652.20,11347171.00,Yahoo
2021-02-01,646.70,648.89,577.80,632.60,9441079.00,Yahoo
2021-03-01,615.40,616.02,564.11,575.35,8007920.00,Yahoo
2021-04-01,573.60,574.10,522.80,530.40,8158260.00,Yahoo
2021-05-01,530.40,549.02,500.90,515.15,6523081.00,Yahoo
2021-06-01,513.00,524.84,487.55,510.70,10913393.00,Yahoo
2021-07-01,500.60,540.60,491.75,506.10,19119883.00,Yahoo
2021-08-01,495.80,501.49,476.00,479.12,7001192.00,Yahoo
2021-08-13,478.60,478.60,474.23,475.12,198284.00,Yahoo
