date,open,high,low,close,volume,comment
2020-09-01,1087.50,1088.50,1012.50,1038.00,228972.00,Yahoo
2020-10-01,1035.50,1053.50,1013.00,1027.00,641226.00,Yahoo
2020-11-01,1025.50,1068.50,962.00,969.75,466654.00,Yahoo
2020-12-01,977.50,1036.50,977.00,1030.75,564734.00,Yahoo
2021-01-01,1030.75,1064.00,983.25,1010.50,436451.00,Yahoo
2021-02-01,1012.00,1017.00,934.50,935.75,1800043.00,Yahoo
2021-03-01,950.50,950.50,913.75,925.25,786845.00,Yahoo
2021-04-01,933.00,974.75,930.00,958.88,859747.00,Yahoo
2021-05-01,958.88,1035.00,958.75,1027.00,659628.00,Yahoo
2021-06-01,1037.50,1037.50,949.00,954.50,1038753.00,Yahoo
2021-07-01,964.50,988.00,962.00,985.62,105365.00,Yahoo
2021-08-01,981.12,992.25,934.25,945.88,6049.00,Yahoo
2021-08-10,939.00,939.00,934.25,959.25,447.00,Yahoo
