date,open,high,low,close,volume,comment
2012-05-18,42.05,45.00,38.00,38.23,573576400.00,Alphavantage
2012-05-21,36.53,36.66,33.00,34.03,168192700.00,Alphavantage
2012-05-22,32.61,33.59,30.94,31.00,101786600.00,Alphavantage
2012-05-23,31.37,32.50,31.36,32.00,73600000.00,Alphavantage
2012-05-24,32.95,33.21,31.77,33.03,50237200.00,Alphavantage
2012-05-25,32.90,32.95,31.11,31.91,37149800.00,Alphavantage
2012-05-29,31.48,31.69,28.65,28.84,78063400.00,Alphavantage
2012-05-30,28.70,29.55,27.86,28.19,57267900.00,Alphavantage
2012-05-31,28.55,29.67,26.83,29.60,111639200.00,Alphavantage
2012-06-01,28.89,29.15,27.39,27.72,41855500.00,Alphavantage
2012-06-04,27.20,27.65,26.44,26.90,35230300.00,Alphavantage
2012-06-05,26.70,27.76,25.75,25.87,42473400.00,Alphavantage
2012-06-06,26.07,27.17,25.52,26.81,61489200.00,Alphavantage
2012-06-07,27.00,27.35,26.15,26.31,26159500.00,Alphavantage
2012-06-08,26.55,27.76,26.44,27.10,38034000.00,Alphavantage
2012-06-11,27.18,28.07,26.84,27.00,28219600.00,Alphavantage
2012-06-12,27.48,27.77,26.96,27.40,15816800.00,Alphavantage
2012-06-13,27.66,28.10,27.10,27.27,17102800.00,Alphavantage
2012-06-14,27.65,28.32,27.38,28.29,16855000.00,Alphavantage
2012-06-15,28.50,30.10,28.35,30.01,43563800.00,Alphavantage
2012-06-18,29.95,32.08,29.41,31.41,42978900.00,Alphavantage
2012-06-19,31.54,32.18,30.70,31.91,30849000.00,Alphavantage
2012-06-20,31.92,31.93,31.15,31.60,15553600.00,Alphavantage
2012-06-21,31.67,32.50,31.51,31.84,21875300.00,Alphavantage
2012-06-22,32.41,33.45,32.06,33.05,74834000.00,Alphavantage
2012-06-25,32.86,33.02,31.55,32.06,24352900.00,Alphavantage
2012-06-26,32.69,33.44,32.50,33.10,24858700.00,Alphavantage
2012-06-27,32.46,32.90,31.90,32.23,28568000.00,Alphavantage
2012-06-28,31.96,32.19,30.90,31.36,17713300.00,Alphavantage
2012-06-29,31.92,31.99,30.76,31.09,19526900.00,Alphavantage
2012-07-02,31.25,31.73,30.55,30.77,14122000.00,Alphavantage
2012-07-03,30.91,31.44,30.80,31.20,8763600.00,Alphavantage
2012-07-05,31.32,31.62,31.02,31.47,10032100.00,Alphavantage
2012-07-06,31.44,31.90,31.26,31.73,10945600.00,Alphavantage
2012-07-09,32.10,32.88,31.99,32.17,17785200.00,Alphavantage
2012-07-10,32.43,32.48,31.16,31.47,14269500.00,Alphavantage
2012-07-11,31.48,31.56,30.55,30.97,13030300.00,Alphavantage
2012-07-12,30.70,31.40,30.60,30.81,11300700.00,Alphavantage
2012-07-13,31.04,31.07,30.56,30.72,8108300.00,Alphavantage
2012-07-16,30.50,30.50,28.21,28.25,24672100.00,Alphavantage
2012-07-17,28.48,28.59,27.15,28.09,30438600.00,Alphavantage
2012-07-18,28.31,29.29,28.15,29.11,16841800.00,Alphavantage
2012-07-19,29.41,29.50,28.63,29.00,13685100.00,Alphavantage
2012-07-20,29.00,29.47,28.72,28.76,11869100.00,Alphavantage
2012-07-23,28.12,29.00,28.01,28.75,12390700.00,Alphavantage
2012-07-24,28.82,29.45,28.10,28.45,11539800.00,Alphavantage
2012-07-25,28.39,29.49,28.08,29.34,17230200.00,Alphavantage
2012-07-26,27.75,28.23,26.73,26.84,64597400.00,Alphavantage
2012-07-27,23.19,24.54,22.28,23.70,123102300.00,Alphavantage
2012-07-30,24.00,24.04,23.03,23.15,29285900.00,Alphavantage
2012-07-31,23.37,23.37,21.61,21.71,56179400.00,Alphavantage
2012-08-01,21.50,21.58,20.84,20.88,44604400.00,Alphavantage
2012-08-02,20.77,20.84,19.82,20.04,56374500.00,Alphavantage
2012-08-03,20.36,22.16,19.90,21.09,80647000.00,Alphavantage
2012-08-06,21.39,22.15,21.30,21.92,27778900.00,Alphavantage
2012-08-07,22.20,22.45,20.50,20.72,36782900.00,Alphavantage
2012-08-08,20.71,21.15,20.22,20.72,29537400.00,Alphavantage
2012-08-09,20.75,21.17,20.61,21.01,15610700.00,Alphavantage
2012-08-10,21.41,21.82,21.13,21.81,25794700.00,Alphavantage
2012-08-13,22.15,22.45,21.40,21.60,24973100.00,Alphavantage
2012-08-14,21.41,21.60,20.25,20.38,39308800.00,Alphavantage
2012-08-15,20.64,21.41,20.40,21.20,47861100.00,Alphavantage
2012-08-16,20.44,20.48,19.69,19.87,157565300.00,Alphavantage
2012-08-17,20.00,20.08,19.00,19.05,129293400.00,Alphavantage
2012-08-20,19.05,20.13,18.75,20.01,101186600.00,Alphavantage
2012-08-21,19.58,19.98,19.09,19.16,70640600.00,Alphavantage
2012-08-22,19.36,19.53,18.96,19.44,49892200.00,Alphavantage
2012-08-23,19.50,19.73,19.36,19.44,32813700.00,Alphavantage
2012-08-24,19.52,19.68,19.25,19.41,29622200.00,Alphavantage
2012-08-27,19.49,19.53,19.10,19.15,20704000.00,Alphavantage
2012-08-28,19.10,19.38,18.95,19.34,25417000.00,Alphavantage
2012-08-29,19.32,19.38,19.07,19.10,16124700.00,Alphavantage
2012-08-30,19.27,19.45,19.06,19.09,30647500.00,Alphavantage
2012-08-31,18.68,18.70,18.03,18.06,58764200.00,Alphavantage
2012-09-04,18.08,18.27,17.55,17.73,46622400.00,Alphavantage
2012-09-05,18.27,18.75,18.18,18.58,60781800.00,Alphavantage
2012-09-06,18.74,19.26,18.72,18.96,46066500.00,Alphavantage
2012-09-07,19.10,19.42,18.78,18.98,36371700.00,Alphavantage
2012-09-10,19.06,19.20,18.55,18.81,24797800.00,Alphavantage
2012-09-11,18.92,19.58,18.85,19.43,50508200.00,Alphavantage
2012-09-12,20.76,21.16,20.28,20.93,121584000.00,Alphavantage
2012-09-13,20.95,21.48,20.61,20.71,65041600.00,Alphavantage
2012-09-14,21.13,22.08,20.90,22.00,72819800.00,Alphavantage
2012-09-17,22.67,22.75,21.50,21.52,50667600.00,Alphavantage
2012-09-18,21.60,21.98,21.37,21.87,36760500.00,Alphavantage
2012-09-19,21.99,23.37,21.77,23.29,78782800.00,Alphavantage
2012-09-20,23.02,23.24,22.54,22.59,57248900.00,Alphavantage
2012-09-21,22.97,23.24,22.60,22.86,51218100.00,Alphavantage
2012-09-24,21.78,21.98,20.36,20.79,79106500.00,Alphavantage
2012-09-25,21.20,21.21,20.22,20.28,46291700.00,Alphavantage
2012-09-26,20.14,20.78,19.80,20.62,38271900.00,Alphavantage
2012-09-27,20.99,21.00,20.16,20.32,30215900.00,Alphavantage
2012-09-28,20.57,21.95,20.50,21.66,65486000.00,Alphavantage
2012-10-01,22.08,22.59,21.73,21.99,51262700.00,Alphavantage
2012-10-02,22.08,22.49,21.82,22.27,29341400.00,Alphavantage
2012-10-03,22.30,22.49,21.80,21.83,32000100.00,Alphavantage
2012-10-04,22.32,22.40,21.41,21.95,46892100.00,Alphavantage
2012-10-05,21.49,21.63,20.88,20.91,40529300.00,Alphavantage
2012-10-08,20.40,20.75,20.16,20.40,32236700.00,Alphavantage
2012-10-09,20.39,20.55,19.97,20.23,27161800.00,Alphavantage
2012-10-10,19.93,19.94,19.45,19.64,39321800.00,Alphavantage
2012-10-11,19.88,19.96,19.61,19.75,21817300.00,Alphavantage
2012-10-12,19.75,19.80,19.48,19.52,18809400.00,Alphavantage
2012-10-15,19.68,19.88,19.49,19.52,20189700.00,Alphavantage
