date,open,high,low,close,volume,comment
1999-11-01,41.75,42.00,41.25,41.69,3932900.00,Alphavantage
1999-11-02,42.06,42.13,41.06,41.25,2250000.00,Alphavantage
1999-11-03,41.25,43.44,41.06,41.94,7600400.00,Alphavantage
1999-11-04,43.69,45.25,43.44,45.19,9834800.00,Alphavantage
1999-11-05,45.69,46.63,45.63,46.50,7184900.00,Alphavantage
1999-11-08,45.88,47.06,45.75,47.00,7536900.00,Alphavantage
1999-11-09,47.00,47.13,45.81,46.38,5760500.00,Alphavantage
1999-11-10,45.69,46.25,45.50,46.06,3561800.00,Alphavantage
1999-11-11,46.25,47.31,46.00,47.00,2985900.00,Alphavantage
1999-11-12,47.69,49.56,47.44,48.38,6391000.00,Alphavantage
1999-11-15,47.56,48.13,46.44,46.88,2396900.00,Alphavantage
1999-11-16,46.50,47.13,46.19,46.19,2486800.00,Alphavantage
1999-11-17,46.06,46.31,45.81,46.13,2465700.00,Alphavantage
1999-11-18,46.00,48.00,45.81,47.00,7491500.00,Alphavantage
1999-11-19,46.00,47.44,45.63,47.38,5732100.00,Alphavantage
1999-11-22,46.81,47.13,46.63,46.91,3827500.00,Alphavantage
1999-11-23,47.06,47.06,46.44,46.69,2622700.00,Alphavantage
1999-11-24,46.06,46.38,45.38,45.38,2557700.00,Alphavantage
1999-11-26,45.44,45.44,44.56,44.56,1405700.00,Alphavantage
1999-11-29,44.75,45.69,44.56,45.50,2631100.00,Alphavantage
1999-11-30,45.50,46.38,45.00,45.13,3006200.00,Alphavantage
1999-12-01,45.13,46.75,45.00,46.02,3369400.00,Alphavantage
1999-12-02,46.06,46.06,44.88,45.19,3755700.00,Alphavantage
1999-12-03,45.63,46.06,45.25,45.88,3549800.00,Alphavantage
1999-12-06,45.31,46.25,45.25,46.06,1583800.00,Alphavantage
1999-12-07,45.69,45.75,44.50,44.69,2930800.00,Alphavantage
1999-12-08,44.81,45.31,44.38,44.56,1940500.00,Alphavantage
1999-12-09,44.75,45.25,44.38,44.64,2958300.00,Alphavantage
1999-12-10,43.25,43.69,42.69,43.25,9404900.00,Alphavantage
1999-12-13,43.13,43.25,42.00,42.00,5097000.00,Alphavantage
1999-12-14,42.00,42.06,41.25,41.25,5023900.00,Alphavantage
1999-12-15,41.69,42.38,41.56,41.81,2644500.00,Alphavantage
1999-12-16,41.94,42.00,41.31,41.81,2761700.00,Alphavantage
1999-12-17,42.44,42.44,41.19,41.25,5302900.00,Alphavantage
1999-12-20,41.88,42.94,41.63,42.30,3302800.00,Alphavantage
1999-12-21,41.63,42.19,40.94,41.63,4031000.00,Alphavantage
1999-12-22,41.50,41.69,41.00,41.06,3837600.00,Alphavantage
1999-12-23,41.13,41.13,39.56,40.50,5596300.00,Alphavantage
1999-12-27,40.94,42.00,40.81,40.81,2753700.00,Alphavantage
1999-12-28,41.50,41.56,40.25,40.63,2932900.00,Alphavantage
1999-12-29,40.38,40.56,40.00,40.19,2706800.00,Alphavantage
1999-12-30,39.81,40.25,39.63,39.81,2406300.00,Alphavantage
1999-12-31,39.94,40.50,38.81,40.31,1444400.00,Alphavantage
2000-01-03,39.94,40.06,39.50,39.63,4520600.00,Alphavantage
2000-01-04,39.31,39.56,38.38,38.81,4216500.00,Alphavantage
2000-01-05,38.81,40.38,38.81,39.63,5231600.00,Alphavantage
2000-01-06,39.13,39.38,38.69,38.88,4809400.00,Alphavantage
2000-01-07,39.00,40.00,38.88,39.88,5124700.00,Alphavantage
2000-01-10,40.00,41.00,39.75,40.06,4113900.00,Alphavantage
2000-01-11,40.13,41.50,40.13,41.00,5440200.00,Alphavantage
2000-01-12,40.94,43.06,40.63,42.75,8090000.00,Alphavantage
2000-01-13,42.69,43.63,41.88,42.31,5700200.00,Alphavantage
2000-01-14,42.81,42.81,41.88,42.61,3365400.00,Alphavantage
2000-01-18,42.38,42.50,41.19,41.50,3401100.00,Alphavantage
2000-01-19,41.00,42.63,41.00,42.38,3344700.00,Alphavantage
2000-01-20,42.56,42.56,41.00,42.56,3309700.00,Alphavantage
2000-01-21,41.63,41.88,40.44,41.06,3722600.00,Alphavantage
2000-01-24,41.25,41.44,39.50,39.50,3593500.00,Alphavantage
2000-01-25,39.75,40.25,39.19,39.81,3304500.00,Alphavantage
2000-01-26,39.63,39.63,34.69,35.75,16703200.00,Alphavantage
