date,open,high,low,close,volume
2013-09-12,47.77,47.77,47.77,47.69,1.00,Alphavantage
2013-09-18,48.00,48.00,48.00,48.00,0.00,Alphavantage
2013-09-19,49.42,49.42,49.42,49.42,0.00,Alphavantage
2013-09-20,30.74,30.74,30.74,30.61,2000.00,Alphavantage
2013-09-23,30.36,30.36,30.36,30.36,0.00,Alphavantage
2013-09-24,30.39,30.39,30.39,30.39,0.00,Alphavantage
2013-09-25,30.14,30.14,30.14,30.14,0.00,Alphavantage
2013-09-26,30.26,30.26,30.26,30.26,0.00,Alphavantage
2013-09-27,29.85,29.85,29.85,29.85,0.00,Alphavantage
2013-10-07,30.02,30.02,30.02,30.02,0.00,Alphavantage
2013-10-08,29.98,29.98,29.98,29.98,0.00,Alphavantage
2013-10-09,30.09,30.09,30.09,30.09,0.00,Alphavantage
2013-10-10,30.62,30.62,30.62,30.62,0.00,Alphavantage
2013-10-11,30.88,30.88,30.88,30.88,0.00,Alphavantage
2013-10-14,30.61,30.61,30.61,30.77,2000.00,Alphavantage
2013-10-15,30.93,30.93,30.93,31.01,2000.00,Alphavantage
2013-10-16,31.09,31.09,31.09,31.09,0.00,Alphavantage
2013-10-17,30.75,30.75,30.75,30.75,0.00,Alphavantage
2013-10-18,31.00,31.00,31.00,31.00,0.00,Alphavantage
2013-10-21,31.02,31.02,31.02,31.02,0.00,Alphavantage
2013-10-22,31.16,31.16,31.16,31.16,0.00,Alphavantage
2013-10-23,30.68,30.68,30.68,30.68,0.00,Alphavantage
2013-10-24,30.68,30.68,30.68,30.68,0.00,Alphavantage
2013-10-25,30.57,30.57,30.57,30.70,2000.00,Alphavantage
2013-10-28,30.88,30.88,30.88,30.88,0.00,Alphavantage
2013-10-29,31.14,31.14,31.14,31.14,0.00,Alphavantage
2013-10-30,31.12,31.12,31.12,31.12,0.00,Alphavantage
2013-10-31,30.98,30.98,30.98,30.98,0.00,Alphavantage
2013-11-01,31.11,31.11,31.11,31.11,0.00,Alphavantage
2013-11-04,31.11,31.11,31.11,31.11,0.00,Alphavantage
2013-11-05,30.79,30.79,30.79,30.79,0.00,Alphavantage
2013-11-06,30.83,30.83,30.83,30.83,0.00,Alphavantage
2013-11-07,30.77,30.77,30.77,30.48,2000.00,Alphavantage
2013-11-08,30.39,30.39,30.39,30.39,0.00,Alphavantage
2013-11-11,30.44,30.44,30.44,30.41,2000.00,Alphavantage
2013-11-12,30.38,30.38,30.38,30.38,0.00,Alphavantage
2013-11-13,29.92,29.94,29.92,29.82,6000.00,Alphavantage
2013-11-14,30.02,30.02,30.02,30.02,0.00,Alphavantage
2013-11-15,30.46,30.46,30.46,30.67,2000.00,Alphavantage
2013-11-18,30.97,30.97,30.97,30.94,401.00,Alphavantage
2013-11-19,30.85,30.85,30.85,30.80,401.00,Alphavantage
2013-11-20,30.53,30.57,30.53,30.57,6000.00,Alphavantage
2013-11-21,30.18,30.18,30.18,30.18,0.00,Alphavantage
2013-11-22,30.09,30.09,30.09,30.09,0.00,Alphavantage
2013-11-25,30.26,30.26,30.26,30.26,0.00,Alphavantage
2013-11-26,30.18,30.18,30.18,30.11,2000.00,Alphavantage
2013-11-27,30.19,30.19,30.19,30.19,0.00,Alphavantage
2013-11-28,30.06,30.06,30.06,30.06,0.00,Alphavantage
2013-11-29,30.18,30.18,30.18,30.18,0.00,Alphavantage
2013-12-02,30.02,30.02,29.99,29.96,2287.00,Alphavantage
2013-12-03,29.77,29.77,29.65,29.61,5435.00,Alphavantage
2013-12-04,29.57,29.57,29.57,29.71,2000.00,Alphavantage
2013-12-05,29.62,29.62,29.62,29.61,2000.00,Alphavantage
2013-12-06,29.76,29.76,29.76,29.89,2000.00,Alphavantage
2013-12-09,29.80,29.80,29.80,29.80,0.00,Alphavantage
2013-12-10,29.53,29.53,29.53,29.55,6000.00,Alphavantage
2013-12-11,29.30,29.30,29.30,29.30,0.00,Alphavantage
2013-12-12,28.93,28.93,28.93,28.93,0.00,Alphavantage
2013-12-13,29.06,29.06,29.06,29.06,0.00,Alphavantage
2013-12-16,29.09,29.17,29.09,29.37,21466.00,Alphavantage
2013-12-17,29.15,29.15,29.11,29.12,7415.00,Alphavantage
2013-12-18,29.22,29.22,29.22,28.93,2000.00,Alphavantage
2013-12-19,28.93,28.93,28.93,28.93,0.00,Alphavantage
2013-12-20,29.12,29.12,29.12,29.25,2000.00,Alphavantage
2013-12-23,29.40,29.40,29.39,29.45,6000.00,Alphavantage
2013-12-24,29.45,29.45,29.45,29.45,0.00,Alphavantage
2013-12-27,29.44,29.44,29.44,29.39,2000.00,Alphavantage
2013-12-30,29.47,29.47,29.47,29.47,0.00,Alphavantage
2013-12-31,29.47,29.47,29.47,29.47,0.00,Alphavantage
2014-01-02,29.18,29.18,29.18,29.18,0.00,Alphavantage
2014-01-03,29.09,29.09,29.08,29.05,4000.00,Alphavantage
2014-01-06,28.86,28.86,28.86,28.86,0.00,Alphavantage
2014-01-07,28.89,28.89,28.89,28.89,0.00,Alphavantage
2014-01-08,28.92,28.92,28.92,28.79,2000.00,Alphavantage
2014-01-09,28.52,28.52,28.52,28.52,0.00,Alphavantage
2014-01-10,28.88,28.88,28.88,28.88,0.00,Alphavantage
2014-01-13,29.06,29.10,29.04,29.11,41178.00,Alphavantage
2014-01-14,28.84,28.84,28.84,28.84,0.00,Alphavantage
2014-01-15,29.05,29.05,29.05,29.05,0.00,Alphavantage
2014-01-16,29.00,29.00,29.00,29.00,0.00,Alphavantage
2014-01-17,28.79,28.79,28.79,28.79,0.00,Alphavantage
2014-01-20,28.86,28.86,28.86,28.86,0.00,Alphavantage
2014-01-21,28.64,28.64,28.64,28.64,0.00,Alphavantage
2014-01-22,28.72,28.72,28.71,28.61,4000.00,Alphavantage
2014-01-23,28.28,28.29,28.28,28.09,7578.00,Alphavantage
2014-01-24,27.69,27.69,27.69,27.69,0.00,Alphavantage
2014-01-27,27.61,27.61,27.61,27.42,2437.00,Alphavantage
2014-01-28,27.59,27.59,27.59,27.59,0.00,Alphavantage
2014-01-29,27.59,27.59,27.59,27.59,0.00,Alphavantage
2014-01-30,27.65,27.67,27.65,27.78,4000.00,Alphavantage
2014-01-31,27.71,27.71,27.71,27.71,0.00,Alphavantage
2014-02-03,27.62,27.62,27.62,27.62,0.00,Alphavantage
2014-02-04,27.85,27.85,27.85,27.85,0.00,Alphavantage
2014-02-05,27.66,27.66,27.66,27.61,2000.00,Alphavantage
2014-02-06,27.86,27.86,27.86,28.11,2000.00,Alphavantage
2014-02-07,28.22,28.22,28.22,28.17,4000.00,Alphavantage
2014-02-10,28.04,28.07,27.92,27.97,56767.00,Alphavantage
2014-02-11,28.41,28.41,28.41,28.41,0.00,Alphavantage
2014-02-12,28.72,28.72,28.72,28.45,2000.00,Alphavantage
2014-02-13,28.21,28.21,28.21,28.21,0.00,Alphavantage
2014-02-14,28.50,28.50,28.50,28.50,0.00,Alphavantage
2014-02-17,28.54,28.54,28.54,28.54,0.00,Alphavantage
2014-02-18,28.58,28.58,28.58,28.58,0.00,Alphavantage
2014-02-19,28.55,28.55,28.55,28.55,0.00,Alphavantage
2014-02-20,28.48,28.48,28.48,28.48,0.00,Alphavantage
2014-02-21,28.70,28.70,28.70,28.70,0.00,Alphavantage
2014-02-24,28.86,28.86,28.86,28.86,0.00,Alphavantage
2014-02-25,28.59,28.59,28.59,28.59,0.00,Alphavantage
2014-02-26,28.70,28.70,28.70,28.70,0.00,Alphavantage
2014-02-27,28.81,28.81,28.81,28.81,0.00,Alphavantage
2014-02-28,28.66,28.66,28.66,28.66,0.00,Alphavantage
2014-03-03,28.51,28.51,28.48,28.34,6000.00,Alphavantage
2014-03-04,28.73,28.73,28.73,28.88,2000.00,Alphavantage
2014-03-05,28.66,28.66,28.66,28.66,0.00,Alphavantage
2014-03-06,29.18,29.18,29.18,29.18,0.00,Alphavantage
