date,open,high,low,close,volume
2015-08-17,3.45,5.40,3.43,5.38,24401.00,Alphavantage
2015-08-18,5.37,5.37,5.32,5.34,1514310.00,Alphavantage
2015-09-14,3.46,5.32,3.46,5.31,36890.00,Alphavantage
2015-09-29,3.48,3.48,3.48,3.50,3000.00,Alphavantage
2015-11-02,5.42,5.42,3.49,3.49,4431.00,Alphavantage
2015-11-23,5.21,5.25,3.44,3.46,20559.00,Alphavantage
2016-01-18,5.12,5.18,5.12,5.16,10339.00,Alphavantage
2016-01-19,5.18,5.22,5.17,5.20,261222.00,Alphavantage
2016-01-25,5.18,5.20,3.63,3.62,72723.00,Alphavantage
2016-04-04,5.24,5.24,5.21,5.21,1041205.00,Alphavantage
2016-05-03,5.63,5.66,5.52,5.52,108725.00,Alphavantage
2016-09-26,5.41,5.41,5.37,5.37,2217876.00,Alphavantage
2016-11-28,4.42,4.42,4.42,4.42,0.00,Alphavantage
2016-12-19,5.33,5.34,5.30,5.30,12806.00,Alphavantage
2017-02-13,5.57,5.58,5.55,5.59,59352.00,Alphavantage
2017-04-24,5.05,5.05,5.01,5.01,188414.00,Alphavantage
2017-05-02,3.95,4.02,3.95,3.98,1040.00,Alphavantage
2017-05-15,5.07,5.09,5.06,5.08,27055.00,Alphavantage
2017-05-22,5.08,5.09,5.07,5.09,15254.00,Alphavantage
2017-06-19,5.01,5.01,4.99,5.00,3501.00,Alphavantage
2017-07-03,5.12,5.19,5.12,5.20,468960.00,Alphavantage
2017-07-04,3.97,3.97,3.97,3.99,1708.00,Alphavantage
2017-07-10,5.29,5.33,5.29,5.30,58601.00,Alphavantage
2017-08-16,4.71,4.71,4.71,4.71,1000.00,Alphavantage
2017-08-17,3.64,3.67,3.64,3.64,1740.00,Alphavantage
2017-08-18,4.72,4.73,4.70,4.72,24657.00,Alphavantage
2019-09-13,304.47,304.99,304.47,305.05,5988.00,null
2019-09-17,305.87,306.11,303.72,303.75,73451.00,Alphavantage
2019-09-18,302.25,302.25,302.25,302.25,0.00,Alphavantage
2019-09-19,302.10,303.50,302.10,303.00,1712.00,Alphavantage
2019-09-20,302.20,302.20,302.20,302.40,388.00,Alphavantage
2019-09-27,307.68,307.68,307.00,313.60,106318.00,Alphavantage
2019-10-04,314.30,314.30,314.30,314.30,1586.00,Alphavantage
