date,open,high,low,close,volume
2012-11-02,10.93,10.93,10.93,11.15,15002.00,Alphavantage
2012-11-05,11.12,11.12,11.12,11.12,0.00,Alphavantage
2012-11-06,11.17,11.17,11.17,11.17,0.00,Alphavantage
2012-11-07,11.07,11.07,11.07,11.02,43898.00,Alphavantage
2012-11-08,10.99,10.99,10.99,10.99,0.00,Alphavantage
2012-11-09,10.93,10.93,10.93,10.93,0.00,Alphavantage
2012-11-12,10.89,10.89,10.89,10.89,0.00,Alphavantage
2012-11-13,10.87,10.87,10.87,10.87,0.00,Alphavantage
2012-11-14,10.79,10.79,10.79,10.79,0.00,Alphavantage
2012-11-15,10.66,10.66,10.66,10.66,0.00,Alphavantage
2012-11-16,10.60,10.60,10.60,10.60,0.00,Alphavantage
2012-11-19,10.87,10.87,10.87,10.87,0.00,Alphavantage
2012-11-20,10.85,10.85,10.85,10.85,137.00,Alphavantage
2012-11-21,10.74,10.74,10.74,10.74,0.00,Alphavantage
2012-11-22,10.81,10.81,10.81,10.81,0.00,Alphavantage
2012-11-23,10.82,10.82,10.82,10.82,0.00,Alphavantage
2012-11-26,10.79,10.79,10.79,10.79,0.00,Alphavantage
2012-11-27,10.83,10.83,10.83,10.83,0.00,Alphavantage
2012-11-28,10.71,10.71,10.71,10.71,0.00,Alphavantage
2012-11-29,10.86,10.86,10.86,10.78,137.00,Alphavantage
2012-11-30,10.73,10.73,10.73,10.73,0.00,Alphavantage
2012-12-03,10.78,10.78,10.78,10.78,0.00,Alphavantage
2012-12-04,10.78,10.78,10.78,10.78,0.00,Alphavantage
2012-12-05,10.82,10.82,10.82,10.82,0.00,Alphavantage
2012-12-06,10.93,10.93,10.93,10.93,0.00,Alphavantage
2012-12-07,11.01,11.01,11.01,11.01,0.00,Alphavantage
2012-12-10,11.09,11.09,11.09,11.09,0.00,Alphavantage
2012-12-11,11.19,11.19,11.19,11.19,0.00,Alphavantage
2012-12-12,11.20,11.20,11.20,11.20,0.00,Alphavantage
2012-12-13,11.16,11.16,11.16,11.16,0.00,Alphavantage
2012-12-14,11.19,11.19,11.19,11.19,0.00,Alphavantage
2012-12-17,11.17,11.17,11.17,11.17,0.00,Alphavantage
2012-12-18,11.21,11.21,11.21,11.21,0.00,Alphavantage
2012-12-19,11.32,11.32,11.32,11.32,0.00,Alphavantage
2012-12-20,11.36,11.36,11.36,11.36,0.00,Alphavantage
2012-12-21,11.29,11.29,11.29,11.29,0.00,Alphavantage
2012-12-24,11.32,11.32,11.32,11.32,0.00,Alphavantage
2012-12-27,11.37,11.37,11.37,11.37,0.00,Alphavantage
2012-12-28,11.40,11.40,11.40,11.38,10000.00,Alphavantage
2012-12-31,11.32,11.32,11.32,11.31,15317.00,Alphavantage
2013-01-02,11.62,11.62,11.62,11.62,0.00,Alphavantage
2013-01-03,11.77,11.77,11.77,11.77,0.00,Alphavantage
2013-01-04,11.81,11.81,11.81,11.81,0.00,Alphavantage
2013-01-07,11.81,11.81,11.81,11.81,0.00,Alphavantage
2013-01-08,11.74,11.74,11.74,11.74,0.00,Alphavantage
2013-01-09,11.81,11.81,11.81,11.81,0.00,Alphavantage
2013-01-10,11.80,11.80,11.80,11.80,0.00,Alphavantage
2013-01-11,11.76,11.76,11.76,11.76,0.00,Alphavantage
2013-01-14,11.87,11.87,11.87,11.87,0.00,Alphavantage
2013-01-15,11.79,11.79,11.79,11.79,0.00,Alphavantage
2013-01-16,11.82,11.82,11.82,11.82,0.00,Alphavantage
2013-01-17,11.99,11.99,11.99,11.99,0.00,Alphavantage
2013-01-18,12.04,12.04,12.04,12.04,0.00,Alphavantage
2013-01-21,12.10,12.12,12.10,12.05,330.00,Alphavantage
2013-01-22,12.05,12.05,12.05,12.05,21666.00,Alphavantage
2013-01-23,12.08,12.08,12.08,12.07,417.00,Alphavantage
2013-01-24,12.21,12.21,12.21,12.21,0.00,Alphavantage
2013-01-25,12.12,12.12,12.12,12.12,0.00,Alphavantage
2013-01-28,12.12,12.12,12.12,12.12,0.00,Alphavantage
2013-01-29,12.16,12.16,12.16,12.16,0.00,Alphavantage
2013-01-30,12.07,12.07,12.07,12.07,0.00,Alphavantage
2013-01-31,12.01,12.01,12.01,12.01,0.00,Alphavantage
2013-02-01,12.22,12.22,12.22,12.22,0.00,Alphavantage
2013-02-04,12.10,12.10,12.10,12.10,0.00,Alphavantage
2013-02-05,12.18,12.18,12.18,12.18,0.00,Alphavantage
2013-02-06,12.09,12.09,12.09,12.09,0.00,Alphavantage
2013-02-07,12.04,12.04,12.04,12.04,0.00,Alphavantage
2013-02-08,11.91,11.91,11.91,11.91,0.00,Alphavantage
2013-02-11,12.06,12.06,12.06,12.06,0.00,Alphavantage
2013-02-12,12.09,12.09,12.09,12.09,0.00,Alphavantage
2013-02-13,12.15,12.15,12.15,12.15,0.00,Alphavantage
2013-02-14,12.14,12.14,12.14,12.14,0.00,Alphavantage
2013-02-15,12.14,12.14,12.14,12.14,0.00,Alphavantage
2013-02-18,12.18,12.18,12.18,12.18,0.00,Alphavantage
2013-02-19,12.31,12.31,12.31,12.31,0.00,Alphavantage
2013-02-20,12.32,12.32,12.32,12.26,6813.00,Alphavantage
2013-02-21,12.01,12.01,12.01,12.01,0.00,Alphavantage
2013-02-22,12.05,12.05,12.05,12.05,0.00,Alphavantage
2013-02-25,12.20,12.20,12.20,12.25,330.00,Alphavantage
2013-02-26,11.99,11.99,11.99,11.99,0.00,Alphavantage
2013-02-27,12.14,12.14,12.14,12.14,0.00,Alphavantage
2013-02-28,12.22,12.22,12.22,12.22,0.00,Alphavantage
2013-03-01,12.28,12.28,12.28,12.28,0.00,Alphavantage
2013-03-04,12.21,12.21,12.21,12.21,0.00,Alphavantage
2013-04-02,12.21,12.21,12.21,12.21,0.00,Alphavantage
2013-04-03,12.10,12.10,12.10,12.10,0.00,Alphavantage
2013-04-04,11.99,11.99,11.99,11.99,0.00,Alphavantage
2013-04-05,11.89,11.89,11.73,11.84,1442.00,Alphavantage
2013-04-08,11.98,11.98,11.98,11.98,0.00,Alphavantage
2013-04-09,12.12,12.12,12.12,12.12,0.00,Alphavantage
2013-04-10,12.37,12.37,12.37,12.37,0.00,Alphavantage
2013-04-11,12.20,12.20,12.20,12.20,830.00,Alphavantage
2013-04-12,12.04,12.04,12.04,12.04,0.00,Alphavantage
