date,open,high,low,close,volume
2015-04-02,31.71,31.71,31.71,31.71,0.00,Alphavantage
2015-04-08,47.94,47.94,47.94,47.94,0.00,Alphavantage
2015-05-12,49.66,49.66,49.66,49.66,0.00,Alphavantage
2015-07-07,46.28,46.28,46.28,46.28,0.00,Alphavantage
2015-07-20,29.54,29.54,29.54,29.54,0.00,Alphavantage
2015-07-21,29.80,29.80,29.80,29.80,0.00,Alphavantage
2015-08-25,28.56,28.56,28.56,28.56,0.00,Alphavantage
2015-09-07,43.23,43.23,43.23,43.23,0.00,Alphavantage
2015-09-14,28.95,28.95,28.95,28.95,0.00,Alphavantage
2015-09-21,28.70,28.70,28.70,28.70,0.00,Alphavantage
2015-09-28,43.74,43.74,43.74,43.74,0.00,Alphavantage
2015-09-29,28.88,28.88,28.88,28.88,0.00,Alphavantage
2015-09-30,29.02,29.02,29.02,29.02,0.00,Alphavantage
2015-10-23,29.43,29.43,29.43,29.43,0.00,Alphavantage
2015-10-28,29.16,29.16,29.16,29.16,0.00,Alphavantage
2015-11-12,29.25,29.25,29.25,29.25,0.00,Alphavantage
2015-11-23,44.95,44.95,44.95,44.95,0.00,Alphavantage
2015-12-29,45.68,45.68,45.68,45.68,0.00,Alphavantage
2016-02-29,32.20,32.20,32.20,32.20,0.00,Alphavantage
2016-03-07,32.92,32.92,32.92,32.92,0.00,Alphavantage
2016-03-29,33.25,33.25,33.25,33.25,0.00,Alphavantage
2016-04-11,33.49,33.49,33.49,33.49,0.00,Alphavantage
2016-07-07,36.43,36.43,36.43,36.43,0.00,Alphavantage
2016-10-19,39.45,39.45,39.45,39.45,0.00,Alphavantage
2016-10-27,47.85,47.85,47.85,47.85,0.00,Alphavantage
2017-01-26,37.72,37.72,37.72,37.72,0.00,Alphavantage
2017-01-30,38.07,38.07,38.07,38.07,0.00,Alphavantage
2017-02-10,38.74,38.74,38.74,38.74,0.00,Alphavantage
2017-02-27,38.90,38.90,38.90,38.90,0.00,Alphavantage
2017-02-28,48.50,48.50,48.50,48.44,77.00,Alphavantage
2017-04-10,38.06,38.06,38.06,38.06,0.00,Alphavantage
2017-06-13,37.58,37.58,37.58,37.36,159.00,Alphavantage
2017-10-12,37.53,37.53,37.53,37.53,0.00,Alphavantage
2017-10-13,37.27,37.27,37.27,37.44,787.00,Alphavantage
2017-10-16,37.42,37.42,37.42,37.42,0.00,Alphavantage
2017-11-14,36.71,36.71,36.71,36.71,0.00,Alphavantage
2017-11-16,36.34,36.34,36.34,36.34,0.00,Alphavantage
2018-02-27,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-02-28,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-03-01,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-03-05,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-03-06,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-03-07,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-03-08,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-03-09,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-03-12,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-03-13,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-03-14,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-03-15,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-03-16,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-03-19,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-03-20,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-03-21,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-03-22,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-03-23,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-03-26,36.48,36.48,36.48,36.48,0.00,Alphavantage
2018-03-27,36.48,36.48,36.48,36.48,0.00,Alphavantage
