date,open,high,low,close,volume
2015-09-04,20.72,20.72,20.72,20.72,0,Alphavantage
2015-09-10,13.795,13.899,13.795,13.8475,45,Alphavantage
2015-09-11,13.875,13.878,13.82,13.8875,36796,Alphavantage
2015-09-25,21.19,21.19,21.19,21.1775,50000,Alphavantage
2015-10-01,14.1,14.1065,13.85,13.97,1633,Alphavantage
2015-10-02,21.33,21.33,21.33,21.43,61,Alphavantage
2015-10-05,14.655,14.655,14.56,14.715,5066,Alphavantage
2015-10-06,14.5,14.551,14.49,14.6125,9950,Alphavantage
2015-10-15,22.9725,22.9725,22.9725,22.9725,0,Alphavantage
2015-10-16,23.175,23.175,23.175,23.1725,50,Alphavantage
2015-10-21,14.87,14.87,14.785,14.8075,2392,Alphavantage
2015-12-07,14.105,14.105,13.953,13.9475,3070,Alphavantage
2015-12-08,20.605,20.605,20.605,20.7125,200,Alphavantage
2015-12-10,13.64,13.701,13.596,13.62,20189,Alphavantage
2015-12-11,13.425,13.506,13.293,13.2775,1109,Alphavantage
2015-12-14,20.015,20.015,20.015,20.015,0,Alphavantage
2015-12-15,13.46,13.635,13.46,13.6775,33972,Alphavantage
2015-12-17,14.11,14.11,14.01,13.945,1959,Alphavantage
2015-12-21,13.895,13.899,13.785,13.8025,7398,Alphavantage
2015-12-22,13.855,13.86,13.753,13.8675,451,Alphavantage
2015-12-29,20.95,20.97,20.95,20.935,173,Alphavantage
2016-01-05,13.6,13.6,13.515,13.585,4824,Alphavantage
2016-01-06,19.475,19.5979,19.475,19.6225,2790,Alphavantage
2016-01-07,13.065,13.22,12.926,13.22,1974,Alphavantage
2016-01-08,12.985,13.143,12.985,12.95,4516,Alphavantage
2016-01-14,12.645,12.849,12.645,12.81,1145,Alphavantage
2016-01-15,12.75,12.75,12.385,12.45,6535,Alphavantage
2016-01-18,17.8425,17.8425,17.8425,17.8425,0,Alphavantage
2016-01-19,12.804,12.871,12.796,12.8225,759,Alphavantage
2016-01-21,17.465,17.675,17.465,17.6775,400,Alphavantage
2016-01-25,12.775,12.812,12.732,12.775,1519,Alphavantage
2016-01-28,12.91,12.931,12.77,12.7825,3703,Alphavantage
2016-02-02,18.79,18.79,18.32,18.38,17159,Alphavantage
2016-02-09,12.435,12.449,12.252,12.26,1670,Alphavantage
2016-02-11,12.03,12.03,11.968,12.0025,29738,Alphavantage
2016-02-12,17.56,17.56,17.53,17.6525,273,Alphavantage
2016-02-16,12.675,12.7,12.572,12.715,49719,Alphavantage
2016-02-17,18.615,18.615,18.615,18.615,0,Alphavantage
2016-02-18,13.035,13.052,12.98,12.9325,9263,Alphavantage
2016-02-19,18.45,18.45,18.45,18.4625,1000,Alphavantage
2016-02-22,13.145,13.421,13.1372,13.445,15210,Alphavantage
2016-02-23,13.345,13.345,13.262,13.2575,1144,Alphavantage
2016-02-24,13.15,13.15,13.0,13.0525,20006,Alphavantage
2016-02-25,18.415,18.415,18.415,18.35,200,Alphavantage
2016-02-29,13.4175,13.4175,13.4175,13.4175,0,Alphavantage
2016-03-02,13.81,13.835,13.81,13.89,725,Alphavantage
2016-03-03,13.91,13.945,13.845,13.8675,31225,Alphavantage
2016-03-08,14.065,14.18,14.0,14.0175,32987,Alphavantage
2016-03-15,14.28,14.315,14.168,14.1925,11057,Alphavantage
2016-03-18,21.14,21.14,21.14,21.2,114,Alphavantage
2016-03-23,14.87,14.906,14.675,14.7075,703,Alphavantage
2016-03-29,20.495,20.495,20.475,20.565,307,Alphavantage
2016-03-30,14.74,14.82,14.74,14.8,793,Alphavantage
2016-03-31,21.1925,21.1925,21.1925,21.1925,0,Alphavantage
2016-04-04,20.935,20.935,20.935,20.935,0,Alphavantage
2016-04-05,20.408,20.408,20.408,20.46,60,Alphavantage
2016-04-06,20.51,20.51,20.51,20.51,0,Alphavantage
2016-04-07,14.56,14.612,14.485,14.4525,2166,Alphavantage
2016-04-08,20.765,20.765,20.715,20.74,27408,Alphavantage
2016-04-11,21.0725,21.0725,21.0725,21.0725,0,Alphavantage
2016-04-12,21.21,21.21,21.21,21.21,0,Alphavantage
2016-04-13,15.39,15.4839,15.152,15.42,131138,Alphavantage
2016-04-14,21.915,21.915,21.915,21.8975,69,Alphavantage
2016-04-15,15.353,15.353,15.3502,15.3825,41135,Alphavantage
2016-04-19,22.014,22.014,22.014,22.0675,450,Alphavantage
2016-04-20,15.225,15.24,15.172,15.285,1040,Alphavantage
2016-04-21,21.965,21.965,21.965,21.945,3,Alphavantage
2016-04-22,15.19,15.209,15.165,15.165,1217,Alphavantage
2016-04-25,14.97,15.002,14.816,14.85,1324,Alphavantage
2016-04-26,14.795,14.875,14.795,14.875,918,Alphavantage
2016-04-27,14.9,14.93,14.87,14.97,1523,Alphavantage
2016-04-28,14.92,15.0,14.92,15.1325,362,Alphavantage
2016-04-29,14.93,14.93,14.889,14.7775,11775,Alphavantage
2016-05-03,14.43,14.625,14.38,14.415,1028,Alphavantage
2016-05-04,20.7075,20.7075,20.7075,20.7075,0,Alphavantage
2016-05-05,20.91,20.91,20.745,20.775,327,Alphavantage
2016-05-06,20.7075,20.7075,20.7075,20.7075,0,Alphavantage
2016-05-09,14.445,14.445,14.267,14.18,1200,Alphavantage
2016-05-10,14.385,14.395,14.237,14.355,657,Alphavantage
2016-05-11,20.8825,20.8825,20.8825,20.8825,0,Alphavantage
2016-05-12,20.795,20.795,20.795,20.7175,93,Alphavantage
2016-05-13,14.365,14.375,14.18,14.3725,5111,Alphavantage
2016-05-16,14.45,14.496,14.405,14.4675,4219,Alphavantage
2016-05-17,20.895,20.91,20.895,20.735,1190,Alphavantage
2016-05-18,20.625,20.625,20.625,20.625,0,Alphavantage
2016-05-19,20.0975,20.0975,20.0975,20.0975,0,Alphavantage
2016-05-20,20.47,20.47,20.47,20.47,0,Alphavantage
2016-05-23,20.35,20.39,20.35,20.3625,410,Alphavantage
2016-05-24,13.985,14.0725,13.985,14.0725,12989,Alphavantage
2016-05-25,14.3,14.3,14.22,14.235,3456,Alphavantage
2016-05-26,14.254,14.254,14.254,14.32,500,Alphavantage
2016-05-27,21.19,21.19,21.19,21.1775,200,Alphavantage
2016-05-31,21.57,21.57,21.23,21.23,23232,Alphavantage
2016-06-01,14.555,14.7175,14.555,14.7175,6649,Alphavantage
2016-06-06,21.795,21.83,21.795,21.775,396,Alphavantage
2016-06-07,15.06,15.1775,15.06,15.1775,9385,Alphavantage
2016-06-08,15.2,15.28,15.1675,15.3025,16022,Alphavantage
2016-06-09,15.275,15.322,15.27,15.195,1703,Alphavantage
2016-06-10,15.16,15.165,15.0,15.0025,27874,Alphavantage
2016-06-13,21.2475,21.2475,21.2475,21.2475,0,Alphavantage
2016-06-14,14.905,14.905,14.732,14.785,898,Alphavantage
2016-06-15,14.936,15.007,14.936,14.9725,803,Alphavantage
2016-06-16,14.72,14.775,14.64,14.8175,14379,Alphavantage
2016-06-17,20.91,20.91,20.91,21.0075,1502,Alphavantage
2016-06-20,21.64,21.64,21.64,21.64,0,Alphavantage
2016-06-21,21.615,21.615,21.615,21.615,0,Alphavantage
2016-06-22,14.875,14.92,14.835,14.91,355,Alphavantage
2016-06-23,14.82,14.93,14.81,14.9925,2121,Alphavantage
2016-06-24,15.29,15.45,15.204,15.6,6422,Alphavantage
2016-06-27,15.855,16.01,15.65,15.6725,8640,Alphavantage
2016-06-28,21.26,21.26,21.26,21.225,200,Alphavantage
2016-06-29,16.1376,16.164,16.129,16.1875,705,Alphavantage
2016-06-30,21.84,22.02,21.84,22.0775,27322,Alphavantage
2016-07-01,16.7,16.845,16.64,16.845,326316,Alphavantage
2016-07-04,22.46,22.465,22.46,22.355,4263,Alphavantage
2016-07-05,16.8,16.82,16.77,16.835,4797,Alphavantage
2016-07-06,16.7,16.84,16.65,16.7825,27591,Alphavantage
2016-07-07,21.96,21.96,16.8692,16.9775,1999,Alphavantage
2016-07-08,16.935,17.22,16.855,17.22,7689,Alphavantage
2016-07-11,17.43,17.43,17.2643,17.3525,310048,Alphavantage
2016-07-20,17.61,17.65,17.54,17.6025,11390,Alphavantage
2016-07-21,23.19,23.19,23.19,23.185,156,Alphavantage
2016-07-22,23.13,23.13,23.13,23.13,0,Alphavantage
2016-07-25,23.015,23.08,23.01,23.055,1291,Alphavantage
2016-07-26,23.16,23.16,23.16,23.1225,63,Alphavantage
2016-07-27,17.72,17.74,17.67,17.635,25687,Alphavantage
