date,open,high,low,close,volume
2018-10-01,4502.5,4637.0,4479.5,4510.0,0,null
2018-11-01,4570.0,4632.5,4527.5,4558.0,25,null
2018-12-01,4508.5,4658.5,4499.5,4658.5,0,null
2019-01-01,4658.5,4664.5,4502.0,4609.0,0,null
2019-02-01,4576.0,4662.0,4535.5,4661.5,0,null
2019-03-01,4672.0,4720.0,4626.5,4626.5,42,null
2019-04-01,4654.0,4660.0,4608.0,4649.0,0,null
2019-05-01,4659.5,4683.5,4503.0,4631.0,0,null
2019-06-01,4509.0,4509.0,4397.0,4397.0,0,null
2019-07-01,4388.0,4388.0,4223.5,4238.0,3215,null
2019-08-01,4229.0,4300.0,4210.0,4268.0,2267,null
2019-09-01,4230.5,4298.5,4230.5,4277.0,0,null
