date,open,high,low,close,volume
2011-10-26,142.89,142.89,142.89,142.24,2000.00,Alphavantage
2011-10-27,149.36,149.36,149.36,149.36,0.00,Alphavantage
2011-10-28,150.90,150.90,150.90,150.90,0.00,Alphavantage
2011-10-31,144.91,144.91,144.91,144.91,0.00,Alphavantage
2011-11-01,141.85,141.85,141.85,141.85,0.00,Alphavantage
2011-11-02,146.74,146.74,146.74,147.95,2000.00,Alphavantage
2011-11-03,150.59,150.59,149.42,151.24,350.00,Alphavantage
2011-11-04,148.42,148.42,148.42,148.42,0.00,Alphavantage
2011-11-07,150.85,150.85,150.85,150.85,0.00,Alphavantage
2011-11-08,150.88,150.88,150.88,150.88,0.00,Alphavantage
2011-11-09,150.02,150.02,150.02,150.02,0.00,Alphavantage
2011-11-10,147.56,147.56,147.56,147.56,0.00,Alphavantage
2011-11-11,149.72,149.72,149.72,149.72,0.00,Alphavantage
2011-11-14,150.05,150.05,150.05,150.05,0.00,Alphavantage
2011-11-15,150.68,150.68,150.68,150.68,0.00,Alphavantage
2011-11-16,148.68,148.68,148.68,148.68,0.00,Alphavantage
2011-11-17,145.53,145.53,145.53,145.53,0.00,Alphavantage
2011-11-18,141.68,141.68,141.68,141.68,0.00,Alphavantage
2011-11-21,138.04,138.04,138.03,136.91,3000.00,Alphavantage
2011-11-22,137.03,137.03,137.03,137.03,0.00,Alphavantage
2011-11-23,136.02,136.02,136.02,136.02,0.00,Alphavantage
2011-11-24,138.21,138.21,138.21,137.49,2000.00,Alphavantage
2011-11-25,137.54,137.54,137.54,137.54,0.00,Alphavantage
2011-11-28,141.80,141.80,141.80,141.80,0.00,Alphavantage
2011-11-29,141.43,141.43,141.43,141.43,0.00,Alphavantage
2011-11-30,138.92,138.92,138.92,146.74,2000.00,Alphavantage
2011-12-01,148.29,148.29,148.29,148.29,0.00,Alphavantage
2011-12-02,151.01,151.01,151.01,151.01,0.00,Alphavantage
2011-12-05,151.05,151.05,151.05,151.05,0.00,Alphavantage
2011-12-06,149.64,149.64,149.64,149.64,0.00,Alphavantage
2011-12-07,149.25,149.25,149.25,149.25,0.00,Alphavantage
2011-12-08,147.20,147.20,147.20,147.20,0.00,Alphavantage
2011-12-09,148.57,148.57,148.57,148.57,0.00,Alphavantage
2011-12-12,142.54,142.54,142.54,142.54,0.00,Alphavantage
2011-12-13,144.88,144.88,144.88,144.88,0.00,Alphavantage
2011-12-14,142.57,142.57,142.57,142.57,0.00,Alphavantage
2011-12-15,142.34,142.34,142.34,142.34,0.00,Alphavantage
2011-12-16,144.60,144.60,144.60,144.60,0.00,Alphavantage
2011-12-19,141.17,141.17,141.17,141.17,0.00,Alphavantage
2011-12-20,143.64,143.64,143.64,143.64,0.00,Alphavantage
2011-12-21,141.46,141.46,141.46,141.46,0.00,Alphavantage
2011-12-22,145.32,145.32,145.32,145.32,0.00,Alphavantage
2011-12-23,145.90,145.90,145.90,145.90,0.00,Alphavantage
2011-12-28,144.47,144.47,144.47,144.47,0.00,Alphavantage
2011-12-29,146.62,146.62,146.62,146.62,0.00,Alphavantage
2011-12-30,145.45,145.45,145.45,145.45,0.00,Alphavantage
2012-01-03,150.83,150.83,150.83,149.12,2000.00,Alphavantage
2012-01-04,146.59,146.59,146.59,146.59,0.00,Alphavantage
2012-01-05,148.03,148.03,148.03,148.03,0.00,Alphavantage
2012-01-06,147.65,147.65,147.65,147.65,0.00,Alphavantage
2012-01-09,149.30,149.30,149.30,149.30,0.00,Alphavantage
2012-01-10,154.55,154.55,154.55,154.55,0.00,Alphavantage
2012-01-11,154.74,154.74,154.74,154.74,0.00,Alphavantage
2012-01-12,155.75,155.75,155.75,155.75,0.00,Alphavantage
2012-01-13,155.80,155.80,155.80,155.80,0.00,Alphavantage
2012-01-16,156.05,156.05,156.05,156.05,0.00,Alphavantage
2012-01-17,160.89,160.89,160.89,160.89,0.00,Alphavantage
