date,open,high,low,close,volume
2014-01-13,7.15,7.15,7.10,7.08,2200.00,Alphavantage
2014-01-14,7.14,7.14,7.14,7.13,280.00,Alphavantage
2014-01-15,7.17,7.18,7.14,7.15,2780.00,Alphavantage
2014-01-16,7.15,7.16,7.15,7.12,2086.00,Alphavantage
2014-01-17,7.09,7.09,7.02,7.00,8346.00,Alphavantage
2014-01-20,7.01,7.01,6.98,6.97,4766.00,Alphavantage
2014-01-21,6.99,6.99,6.99,6.99,0.00,Alphavantage
2014-01-22,7.15,7.15,7.15,7.15,0.00,Alphavantage
2014-01-23,7.01,7.07,7.01,7.00,2050.00,Alphavantage
2014-01-24,7.01,7.05,6.99,7.01,12852.00,Alphavantage
2014-01-27,6.93,6.93,6.93,6.93,0.00,Alphavantage
2014-01-28,7.02,7.02,7.01,7.00,570.00,Alphavantage
2014-01-29,6.96,7.00,6.96,6.97,13352.00,Alphavantage
2014-01-30,6.97,6.98,6.97,6.91,45000.00,Alphavantage
2014-01-31,6.92,6.92,6.85,6.88,45582.00,Alphavantage
2014-02-03,6.86,6.86,6.86,6.86,0.00,Alphavantage
2014-02-04,6.84,6.85,6.84,6.90,15000.00,Alphavantage
2014-02-05,6.82,6.82,6.82,6.82,0.00,Alphavantage
2014-02-06,6.92,6.92,6.92,6.92,0.00,Alphavantage
2014-02-07,6.94,6.94,6.94,6.94,0.00,Alphavantage
2014-02-10,7.08,7.08,7.05,7.02,15702.00,Alphavantage
2014-02-11,7.15,7.17,7.15,7.13,9202.00,Alphavantage
2014-02-12,7.12,7.12,7.12,7.12,0.00,Alphavantage
2014-02-13,7.13,7.13,7.12,7.07,45000.00,Alphavantage
2014-02-14,7.06,7.06,7.04,7.08,30000.00,Alphavantage
2014-02-17,7.07,7.07,7.07,7.08,30000.00,Alphavantage
2014-02-18,6.96,6.97,6.91,6.94,85100.00,Alphavantage
2014-02-19,7.04,7.08,7.03,7.06,65131.00,Alphavantage
2014-02-20,7.01,7.04,7.01,7.03,16000.00,Alphavantage
2014-02-21,6.96,6.96,6.90,6.93,70007.00,Alphavantage
2014-02-24,6.75,6.75,6.75,6.75,0.00,Alphavantage
2014-02-25,6.56,6.56,6.54,6.54,1676.00,Alphavantage
2014-02-26,6.58,6.58,6.57,6.55,16000.00,Alphavantage
2014-02-27,6.56,6.59,6.55,6.59,19202.00,Alphavantage
2014-02-28,6.62,6.62,6.60,6.60,45007.00,Alphavantage
2014-03-03,6.53,6.55,6.53,6.54,50000.00,Alphavantage
2014-03-04,6.59,6.59,6.59,6.62,20007.00,Alphavantage
2014-03-05,6.53,6.53,6.53,6.53,0.00,Alphavantage
2014-03-06,6.64,6.64,6.64,6.64,0.00,Alphavantage
2014-03-07,6.57,6.57,6.57,6.57,0.00,Alphavantage
2014-03-10,6.47,6.47,6.40,6.42,61000.00,Alphavantage
2014-03-11,6.47,6.47,6.44,6.46,60000.00,Alphavantage
2014-03-12,6.50,6.53,6.43,6.43,119900.00,Alphavantage
2014-03-13,6.53,6.53,6.51,6.49,60000.00,Alphavantage
2014-03-14,6.52,6.52,6.52,6.52,0.00,Alphavantage
2014-03-17,6.55,6.55,6.54,6.54,75000.00,Alphavantage
2014-03-18,6.45,6.45,6.45,6.51,15100.00,Alphavantage
2014-03-19,6.41,6.41,6.41,6.41,0.00,Alphavantage
2014-03-20,6.34,6.34,6.34,6.34,0.00,Alphavantage
2014-03-21,6.74,6.74,6.74,6.74,0.00,Alphavantage
2014-03-24,6.71,6.71,6.71,6.71,0.00,Alphavantage
2014-03-25,6.70,6.70,6.70,6.70,0.00,Alphavantage
2014-03-26,6.65,6.66,6.65,6.64,2698.00,Alphavantage
2014-03-27,6.58,6.58,6.58,6.58,0.00,Alphavantage
2014-03-28,6.66,6.66,6.66,6.66,0.00,Alphavantage
2014-03-31,6.59,6.59,6.59,6.59,0.00,Alphavantage
2014-04-01,6.66,6.66,6.66,6.66,0.00,Alphavantage
2014-04-02,6.75,6.75,6.75,6.75,0.00,Alphavantage
2014-04-03,6.65,6.65,6.65,6.65,0.00,Alphavantage
2014-04-04,6.78,6.78,6.78,6.78,0.00,Alphavantage
2014-04-07,6.74,6.74,6.74,6.74,0.00,Alphavantage
2014-04-08,6.97,6.97,6.97,6.93,2000.00,Alphavantage
2014-04-09,6.90,6.90,6.90,6.86,20007.00,Alphavantage
2014-04-10,7.07,7.07,7.07,7.07,0.00,Alphavantage
2014-04-11,7.02,7.02,7.02,7.02,0.00,Alphavantage
2014-04-14,7.00,7.00,7.00,7.00,0.00,Alphavantage
2014-04-15,6.79,6.79,6.79,6.79,0.00,Alphavantage
2014-04-16,6.82,6.82,6.82,6.82,0.00,Alphavantage
2014-04-17,6.79,6.79,6.79,6.79,0.00,Alphavantage
2014-04-22,6.68,6.68,6.68,6.68,0.00,Alphavantage
2014-04-23,6.67,6.67,6.67,6.67,0.00,Alphavantage
2014-04-24,6.68,6.68,6.68,6.68,0.00,Alphavantage
2014-04-25,6.60,6.60,6.60,6.60,0.00,Alphavantage
2014-04-28,6.55,6.55,6.55,6.55,0.00,Alphavantage
2014-04-29,6.63,6.63,6.63,6.63,0.00,Alphavantage
2014-04-30,6.58,6.58,6.58,6.58,0.00,Alphavantage
2014-05-01,6.62,6.62,6.62,6.62,0.00,Alphavantage
2014-05-02,6.62,6.62,6.62,6.62,0.00,Alphavantage
2014-05-06,6.56,6.56,6.56,6.56,0.00,Alphavantage
2014-05-07,6.53,6.53,6.53,6.53,0.00,Alphavantage
2014-05-08,6.54,6.54,6.54,6.54,0.00,Alphavantage
2014-05-09,6.58,6.58,6.58,6.58,0.00,Alphavantage
2014-05-12,6.68,6.68,6.68,6.68,0.00,Alphavantage
2014-05-13,6.68,6.68,6.68,6.68,0.00,Alphavantage
2014-05-14,6.73,6.73,6.73,6.71,3262.00,Alphavantage
2014-05-15,6.63,6.63,6.63,6.63,0.00,Alphavantage
2014-05-16,6.63,6.63,6.63,6.63,0.00,Alphavantage
2014-05-19,6.52,6.52,6.52,6.52,0.00,Alphavantage
2014-05-20,6.48,6.48,6.48,6.48,0.00,Alphavantage
2014-05-21,6.57,6.57,6.57,6.57,0.00,Alphavantage
2014-05-22,6.64,6.64,6.63,6.59,15108.00,Alphavantage
2014-05-23,6.62,6.62,6.62,6.62,0.00,Alphavantage
2014-05-27,6.65,6.66,6.63,6.62,11034.00,Alphavantage
2014-05-28,6.75,6.75,6.75,6.75,0.00,Alphavantage
2014-05-29,6.71,6.71,6.71,6.71,0.00,Alphavantage
2014-05-30,6.71,6.71,6.71,6.71,0.00,Alphavantage
2014-06-02,6.76,6.76,6.76,6.76,0.00,Alphavantage
2014-06-03,6.67,6.67,6.67,6.67,0.00,Alphavantage
2014-06-04,6.61,6.61,6.61,6.61,0.00,Alphavantage
2014-06-05,6.68,6.68,6.68,6.68,0.00,Alphavantage
2014-06-06,6.62,6.62,6.62,6.62,0.00,Alphavantage
2014-06-09,6.67,6.67,6.67,6.67,0.00,Alphavantage
2014-06-10,6.82,6.82,6.82,6.82,0.00,Alphavantage
2014-06-11,6.75,6.75,6.75,6.72,504.00,Alphavantage
2014-06-12,6.71,6.71,6.71,6.71,0.00,Alphavantage
2014-06-13,6.79,6.79,6.79,6.79,0.00,Alphavantage
2014-06-16,6.82,6.84,6.82,6.82,71462.00,Alphavantage
2014-06-17,6.74,6.74,6.74,6.74,0.00,Alphavantage
2014-06-18,6.69,6.69,6.69,6.69,0.00,Alphavantage
2014-06-19,6.61,6.61,6.61,6.61,0.00,Alphavantage
2014-06-20,6.62,6.62,6.62,6.62,0.00,Alphavantage
2014-06-23,6.58,6.58,6.58,6.58,0.00,Alphavantage
2014-06-24,6.65,6.65,6.65,6.65,0.00,Alphavantage
2014-06-25,6.61,6.61,6.61,6.61,0.00,Alphavantage
2014-06-26,6.64,6.64,6.64,6.64,0.00,Alphavantage
2014-06-27,6.62,6.62,6.62,6.62,0.00,Alphavantage
2014-06-30,6.64,6.64,6.64,6.64,0.00,Alphavantage
2014-07-02,6.63,6.63,6.63,6.63,0.00,Alphavantage
2014-07-03,6.66,6.66,6.66,6.66,0.00,Alphavantage
2014-07-04,6.73,6.73,6.69,6.73,926.00,Alphavantage
2014-07-07,6.67,6.67,6.67,6.67,1191.00,Alphavantage
2014-07-08,6.67,6.67,6.67,6.67,0.00,Alphavantage
2014-07-09,6.59,6.59,6.59,6.59,0.00,Alphavantage
2014-07-10,6.57,6.57,6.57,6.54,3648.00,Alphavantage
2014-07-11,6.58,6.58,6.58,6.58,0.00,Alphavantage
2014-07-14,6.71,6.71,6.71,6.71,0.00,Alphavantage
2014-07-15,6.67,6.67,6.67,6.67,0.00,Alphavantage
2014-07-16,6.69,6.69,6.69,6.69,0.00,Alphavantage
2014-07-17,6.70,6.70,6.67,6.64,450.00,Alphavantage
2014-07-18,6.74,6.74,6.74,6.74,0.00,Alphavantage
2014-07-21,6.71,6.71,6.71,6.71,0.00,Alphavantage
2014-07-22,6.85,6.85,6.85,6.85,0.00,Alphavantage
2014-07-23,6.90,6.90,6.90,6.90,0.00,Alphavantage
2014-07-24,7.11,7.11,7.10,7.13,286.00,Alphavantage
2014-07-25,7.21,7.21,7.21,7.21,0.00,Alphavantage
2014-07-28,7.42,7.42,7.40,7.40,2768.00,Alphavantage
2014-07-29,7.48,7.49,7.44,7.47,9197.00,Alphavantage
2014-07-30,7.47,7.47,7.43,7.40,1696.00,Alphavantage
2014-07-31,7.50,7.50,7.50,7.50,0.00,Alphavantage
2014-08-04,7.62,7.62,7.62,7.62,0.00,Alphavantage
2014-08-05,7.49,7.49,7.49,7.53,24.00,Alphavantage
2014-08-06,7.46,7.46,7.46,7.46,0.00,Alphavantage
2014-08-07,7.42,7.42,7.40,7.36,404.00,Alphavantage
2014-08-08,7.45,7.45,7.45,7.45,0.00,Alphavantage
2014-08-11,7.56,7.56,7.56,7.56,0.00,Alphavantage
2014-08-12,7.52,7.52,7.52,7.52,0.00,Alphavantage
2014-08-13,7.53,7.53,7.52,7.59,1526.00,Alphavantage
2014-08-14,7.46,7.46,7.45,7.49,536.00,Alphavantage
2014-08-15,7.56,7.56,7.56,7.56,0.00,Alphavantage
2014-08-18,7.59,7.59,7.59,7.59,0.00,Alphavantage
2014-08-19,7.64,7.66,7.64,7.62,5024.00,Alphavantage
2014-08-20,7.50,7.57,7.49,7.55,16076.00,Alphavantage
2014-08-21,7.54,7.55,7.44,7.50,1982.00,Alphavantage
2014-08-22,7.54,7.54,7.54,7.54,0.00,Alphavantage
2014-08-26,7.48,7.48,7.48,7.48,0.00,Alphavantage
2014-08-27,7.41,7.41,7.41,7.46,200.00,Alphavantage
2014-08-28,7.38,7.38,7.38,7.38,0.00,Alphavantage
2014-08-29,7.48,7.48,7.48,7.48,0.00,Alphavantage
2014-09-01,7.44,7.46,7.44,7.49,396.00,Alphavantage
2014-09-02,7.62,7.62,7.58,7.66,552.00,Alphavantage
2014-09-03,7.85,7.95,7.80,7.80,3768.00,Alphavantage
2014-09-04,7.95,7.95,7.90,7.90,1300.00,Alphavantage
