date,open,high,low,close,volume
2011-03-17,77.29,77.29,77.29,76.69,3003.00,Alphavantage
2011-03-18,76.15,76.19,76.15,76.26,5500.00,Alphavantage
2011-03-21,76.67,76.67,76.67,76.67,0.00,Alphavantage
2011-03-22,75.60,75.60,75.60,75.48,1050.00,Alphavantage
2011-03-23,77.83,77.83,77.83,77.83,0.00,Alphavantage
2011-03-24,80.00,80.00,80.00,80.00,0.00,Alphavantage
2011-03-25,80.27,80.27,80.27,80.27,0.00,Alphavantage
2011-03-28,80.27,80.27,80.27,80.27,0.00,Alphavantage
2011-03-29,80.17,80.17,80.17,80.61,1500.00,Alphavantage
2011-03-30,80.89,81.37,80.89,80.94,3000.00,Alphavantage
2011-03-31,81.82,81.82,81.82,81.82,0.00,Alphavantage
2011-04-01,83.19,83.19,83.19,83.19,0.00,Alphavantage
2011-04-04,83.18,83.18,83.18,83.18,0.00,Alphavantage
2011-04-05,83.63,83.63,83.63,82.57,1500.00,Alphavantage
2011-04-06,82.59,82.59,82.59,82.59,0.00,Alphavantage
2011-04-07,81.82,81.82,81.82,81.82,0.00,Alphavantage
2011-04-08,81.82,81.82,81.82,81.82,0.00,Alphavantage
2011-04-11,81.80,81.80,81.80,81.80,0.00,Alphavantage
2011-04-12,81.24,81.24,81.24,81.24,0.00,Alphavantage
2011-04-13,81.27,81.27,81.27,81.27,0.00,Alphavantage
2011-04-14,80.53,80.53,80.53,80.53,0.00,Alphavantage
2011-04-15,80.90,80.90,80.90,80.90,0.00,Alphavantage
2011-04-18,79.41,79.41,79.41,79.41,0.00,Alphavantage
2011-04-19,78.97,78.97,78.97,78.97,0.00,Alphavantage
2011-04-20,80.34,80.34,80.34,80.34,0.00,Alphavantage
2011-04-21,80.07,80.07,80.07,80.07,0.00,Alphavantage
2011-04-26,79.69,79.69,79.69,80.83,1500.00,Alphavantage
2011-04-27,79.89,79.89,79.89,79.89,0.00,Alphavantage
2011-04-28,79.62,79.62,79.62,79.62,0.00,Alphavantage
2011-05-03,79.78,79.96,79.67,79.44,7350.00,Alphavantage
2011-05-04,78.61,78.61,78.61,77.35,1050.00,Alphavantage
2011-05-05,76.61,76.61,76.61,76.61,0.00,Alphavantage
2011-05-06,77.84,77.84,77.84,77.84,0.00,Alphavantage
2011-05-09,76.97,76.97,76.97,76.97,0.00,Alphavantage
2011-05-10,78.47,78.47,78.47,78.47,0.00,Alphavantage
2011-05-11,77.89,77.89,77.89,77.89,0.00,Alphavantage
2011-05-12,77.12,77.12,77.12,77.12,0.00,Alphavantage
2011-05-13,77.12,77.12,77.12,77.12,0.00,Alphavantage
2011-05-16,78.61,78.61,78.61,77.31,1050.00,Alphavantage
2011-05-17,76.36,76.36,76.36,76.36,0.00,Alphavantage
2011-05-18,77.52,77.52,77.52,77.52,0.00,Alphavantage
2011-05-19,78.08,78.08,78.08,78.08,0.00,Alphavantage
2011-05-20,77.73,77.73,77.73,77.73,0.00,Alphavantage
2011-05-23,77.28,77.28,77.28,77.28,0.00,Alphavantage
2011-05-24,78.17,78.17,78.17,78.17,0.00,Alphavantage
2011-05-25,77.92,77.92,77.92,77.92,0.00,Alphavantage
2011-05-26,78.02,78.02,78.02,78.02,0.00,Alphavantage
2011-05-27,78.50,78.50,78.50,78.50,0.00,Alphavantage
2011-05-31,78.74,78.74,78.74,78.74,0.00,Alphavantage
2011-06-01,78.28,78.28,78.28,78.28,0.00,Alphavantage
2011-06-02,77.42,77.42,77.42,77.42,0.00,Alphavantage
2011-06-03,77.27,77.27,77.27,77.33,3003.00,Alphavantage
2011-06-06,76.18,76.18,76.18,76.18,0.00,Alphavantage
2011-06-07,75.59,76.38,75.59,75.53,6506.00,Alphavantage
2011-06-08,75.31,75.31,75.31,75.31,0.00,Alphavantage
2011-06-09,75.45,75.45,75.45,75.78,4002.00,Alphavantage
2011-06-10,75.53,75.53,75.53,75.53,0.00,Alphavantage
2011-06-13,75.67,75.67,75.67,75.67,0.00,Alphavantage
2011-06-14,76.36,76.36,76.36,76.36,0.00,Alphavantage
2011-06-15,76.88,76.88,76.88,76.88,0.00,Alphavantage
2011-06-16,76.66,76.66,76.66,76.66,0.00,Alphavantage
2011-06-17,76.55,76.55,76.55,76.55,0.00,Alphavantage
2011-06-20,76.05,76.05,76.05,76.05,0.00,Alphavantage
2011-06-21,77.23,77.23,77.23,77.23,0.00,Alphavantage
2011-06-22,77.97,77.97,77.97,77.97,0.00,Alphavantage
2011-06-23,77.61,77.61,77.61,77.47,3003.00,Alphavantage
2011-06-24,78.12,78.12,78.12,78.12,0.00,Alphavantage
2011-06-27,78.24,78.24,78.24,78.25,3997.00,Alphavantage
2011-06-28,79.31,79.31,79.31,79.31,0.00,Alphavantage
2011-06-29,81.17,81.17,81.17,81.17,0.00,Alphavantage
2011-06-30,81.82,81.82,81.82,81.82,0.00,Alphavantage
2011-07-01,82.17,82.17,82.17,82.17,0.00,Alphavantage
2011-07-04,83.02,83.02,83.02,83.02,0.00,Alphavantage
2011-07-05,82.27,82.27,82.27,82.27,0.00,Alphavantage
2011-07-06,82.12,82.12,82.12,82.12,0.00,Alphavantage
2011-07-07,83.03,83.03,83.03,83.03,0.00,Alphavantage
2011-07-08,81.58,81.58,81.58,81.58,0.00,Alphavantage
2011-07-11,81.47,81.47,81.47,81.47,0.00,Alphavantage
2011-07-12,81.08,81.08,81.08,81.08,0.00,Alphavantage
2011-07-13,81.11,81.11,81.11,81.11,0.00,Alphavantage
2011-07-14,80.73,80.73,80.73,80.73,0.00,Alphavantage
2011-07-15,80.25,80.25,80.25,80.25,0.00,Alphavantage
