date,open,high,low,close,volume
2018-10-01,21950.0,21960.0,19514.0,20185.0,45118,null
2018-11-01,20520.0,20770.0,19280.0,19570.0,33772,null
2018-12-01,19594.0,19594.0,17882.0,18412.0,120064,null
2019-01-01,18412.0,20085.0,18290.0,19849.0,63438,null
2019-02-01,19932.0,20460.0,197.820007,202.5,51073,null
2019-03-01,20500.0,21010.0,20254.199219,20660.0,37499,null
2019-04-01,20665.0,21770.0,20665.0,21660.0,50016,null
2019-05-01,21685.0,21765.0,20695.0,20820.0,48611,null
2019-06-01,20695.0,21115.0,20530.0,21035.0,61526,null
2019-07-01,21080.0,21455.0,20770.0,21170.0,15484,null
2019-08-01,20980.0,21170.0,19808.0,20692.5,17087,null
2019-09-01,20835.0,21420.0,20610.400391,21330.0,7737,null
2019-09-13,21375.0,21640.0,21375.0,21610.0,9232,null
