date,open,high,low,close,volume
2014-10-24,967.75,967.75,967.75,963.00,50.00,Alphavantage
2014-10-27,957.00,957.00,957.00,957.00,78.00,Alphavantage
2014-10-28,967.50,967.50,966.75,966.62,2000.00,Alphavantage
2014-10-29,970.00,970.00,970.00,970.00,0.00,Alphavantage
2014-10-30,971.50,971.50,971.50,971.50,0.00,Alphavantage
2014-10-31,982.00,982.00,980.75,980.38,2000.00,Alphavantage
2014-11-03,980.00,981.59,978.70,978.12,33025.00,Alphavantage
2014-11-04,979.64,979.64,978.45,975.75,1121.00,Alphavantage
2014-11-05,981.75,981.92,981.12,980.75,7188.00,Alphavantage
2014-11-06,986.50,987.06,982.53,984.25,3726.00,Alphavantage
2014-11-07,979.50,983.12,979.50,978.62,556.00,Alphavantage
2014-11-10,982.75,982.92,982.75,984.25,1000.00,Alphavantage
2014-11-11,986.75,988.31,986.75,986.75,750.00,Alphavantage
2014-11-12,984.50,986.31,984.09,982.88,835.00,Alphavantage
2014-11-13,986.75,986.75,985.64,984.75,475.00,Alphavantage
2014-11-14,985.62,985.62,985.62,985.62,0.00,Alphavantage
2014-11-17,985.75,987.81,982.12,985.00,12384.00,Alphavantage
2014-11-18,996.12,996.12,996.12,996.12,0.00,Alphavantage
2014-11-19,996.12,996.12,996.12,996.12,0.00,Alphavantage
2014-11-20,12.45,12.45,12.45,12.45,0.00,Alphavantage
2014-11-21,12.62,12.62,12.62,12.62,0.00,Alphavantage
2014-11-24,12.69,12.69,12.69,12.69,0.00,Alphavantage
2014-11-25,12.73,12.73,12.73,12.73,0.00,Alphavantage
2014-11-26,12.76,12.76,12.76,12.72,20000.00,Alphavantage
2014-11-27,12.76,12.76,12.76,12.76,0.00,Alphavantage
2014-11-28,12.74,12.74,12.74,12.74,0.00,Alphavantage
2014-12-01,12.67,12.67,12.67,12.67,0.00,Alphavantage
2014-12-02,12.72,12.72,12.72,12.72,0.00,Alphavantage
2014-12-03,12.85,12.85,12.85,12.85,0.00,Alphavantage
2014-12-04,12.79,12.79,12.79,12.79,0.00,Alphavantage
2014-12-05,12.95,12.95,12.95,12.95,0.00,Alphavantage
2014-12-08,12.94,12.94,12.94,12.94,0.00,Alphavantage
2014-12-09,12.75,12.75,12.75,12.75,0.00,Alphavantage
2014-12-10,12.73,12.73,12.73,12.73,0.00,Alphavantage
2014-12-11,12.69,12.69,12.69,12.69,0.00,Alphavantage
2014-12-12,12.50,12.50,12.50,12.50,0.00,Alphavantage
2014-12-15,12.50,12.50,12.50,12.50,0.00,Alphavantage
2014-12-16,12.39,12.39,12.39,12.39,0.00,Alphavantage
2014-12-17,12.41,12.41,12.41,12.41,0.00,Alphavantage
2014-12-18,12.73,12.73,12.73,12.73,0.00,Alphavantage
2014-12-19,12.81,12.81,12.81,12.81,0.00,Alphavantage
2014-12-22,12.89,12.89,12.89,12.89,0.00,Alphavantage
2014-12-23,12.98,12.98,12.98,12.98,0.00,Alphavantage
2014-12-24,13.02,13.02,13.02,13.02,0.00,Alphavantage
2014-12-29,12.99,12.99,12.99,12.99,0.00,Alphavantage
2014-12-30,12.98,12.98,12.98,12.98,0.00,Alphavantage
2014-12-31,13.09,13.09,13.09,13.09,0.00,Alphavantage
2015-01-02,13.11,13.11,13.11,13.11,0.00,Alphavantage
2015-01-05,12.98,12.98,12.98,12.98,0.00,Alphavantage
2015-01-06,12.90,12.90,12.90,12.90,0.00,Alphavantage
2015-01-07,12.91,12.91,12.91,12.91,0.00,Alphavantage
2015-01-08,13.12,13.12,13.12,13.12,0.00,Alphavantage
2015-01-09,13.06,13.06,13.06,13.06,0.00,Alphavantage
2015-01-12,13.09,13.09,13.09,13.09,0.00,Alphavantage
2015-01-13,13.22,13.22,13.22,13.22,0.00,Alphavantage
2015-01-14,13.10,13.10,13.10,13.10,0.00,Alphavantage
2015-01-15,13.29,13.29,13.29,13.29,0.00,Alphavantage
2015-01-16,13.38,13.38,13.38,13.38,0.00,Alphavantage
2015-01-19,13.41,13.41,13.41,13.41,0.00,Alphavantage
2015-01-20,13.51,13.55,13.51,13.52,600.00,Alphavantage
2015-01-21,13.53,13.53,13.53,13.53,0.00,Alphavantage
2015-01-22,13.74,13.74,13.74,13.74,0.00,Alphavantage
2015-01-23,13.96,13.96,13.96,13.91,498.00,Alphavantage
2015-01-26,13.89,14.03,13.89,14.03,1374.00,Alphavantage
2015-01-27,13.93,13.93,13.93,13.93,0.00,Alphavantage
2015-01-28,14.01,14.01,14.01,13.96,250.00,Alphavantage
2015-01-29,13.97,13.98,13.97,13.96,4650.00,Alphavantage
2015-01-30,14.03,14.03,14.03,14.00,50.00,Alphavantage
2015-02-02,14.07,14.07,14.00,13.99,606.00,Alphavantage
2015-02-03,14.10,14.14,14.10,14.11,607.00,Alphavantage
2015-02-04,14.18,14.18,14.18,14.20,2900.00,Alphavantage
2015-02-05,14.26,14.35,14.26,14.34,1820.00,Alphavantage
2015-02-06,14.35,14.44,14.35,14.38,3490.00,Alphavantage
