date,open,high,low,close,volume
1999-09-24,621.50,630.50,604.50,614.50,8658237.00,Alphavantage
1999-09-27,624.00,635.00,613.10,632.00,5765553.00,Alphavantage
1999-09-28,638.00,638.00,625.00,626.50,4658818.00,Alphavantage
1999-09-29,631.30,640.00,618.00,636.00,3807846.00,Alphavantage
1999-09-30,630.80,632.00,619.00,620.50,6376364.00,Alphavantage
1999-10-01,648.00,648.00,602.00,604.00,6500728.00,Alphavantage
1999-10-04,601.00,603.00,590.50,597.50,6999990.00,Alphavantage
1999-10-05,602.00,616.00,592.00,607.00,7375039.00,Alphavantage
1999-10-06,605.00,608.30,599.00,602.00,5190279.00,Alphavantage
1999-10-07,601.30,636.00,601.30,624.50,4471096.00,Alphavantage
1999-10-08,622.90,630.00,605.00,623.00,3962283.00,Alphavantage
1999-10-11,633.00,633.00,618.00,619.00,2659583.00,Alphavantage
1999-10-12,622.00,625.00,607.00,612.50,4174903.00,Alphavantage
1999-10-13,600.00,612.00,593.00,608.50,3799814.00,Alphavantage
1999-10-14,608.00,615.00,587.00,593.00,6388613.00,Alphavantage
1999-10-15,598.00,599.00,555.00,568.00,8122599.00,Alphavantage
1999-10-18,568.50,581.00,559.50,574.50,5330074.00,Alphavantage
1999-10-19,586.00,589.00,569.00,587.00,6539091.00,Alphavantage
1999-10-20,590.00,594.50,578.00,588.50,4449473.00,Alphavantage
1999-10-21,589.00,591.50,562.00,568.00,6015880.00,Alphavantage
1999-10-22,576.00,598.00,567.50,593.50,3428460.00,Alphavantage
1999-10-25,595.00,619.00,592.00,602.50,4594143.00,Alphavantage
1999-10-26,600.30,624.00,615.00,619.00,6808202.00,Alphavantage
1999-10-27,619.00,619.00,596.00,600.50,5135383.00,Alphavantage
1999-10-28,605.00,612.30,598.00,600.50,5278904.00,Alphavantage
1999-10-29,599.00,623.00,599.00,615.00,5284009.00,Alphavantage
1999-11-01,615.20,620.00,604.50,606.00,3873251.00,Alphavantage
1999-11-02,609.80,611.00,590.50,594.50,6454651.00,Alphavantage
1999-11-03,604.20,615.00,593.00,606.00,7139193.00,Alphavantage
1999-11-04,616.50,627.00,603.00,619.00,5169085.00,Alphavantage
1999-11-05,620.00,625.50,590.00,596.50,6958181.00,Alphavantage
1999-11-08,603.50,607.00,580.50,586.50,5237531.00,Alphavantage
1999-11-09,604.00,604.00,544.00,552.00,14222979.00,Alphavantage
1999-11-10,560.00,567.00,538.00,540.00,12783090.00,Alphavantage
1999-11-11,540.00,563.30,523.50,547.50,14301721.00,Alphavantage
1999-11-12,548.00,570.00,546.00,566.00,10076992.00,Alphavantage
1999-11-15,564.50,580.00,557.00,569.00,20683684.00,Alphavantage
1999-11-16,568.00,577.00,564.00,575.50,16773686.00,Alphavantage
1999-11-17,583.00,585.00,563.00,579.50,20736132.00,Alphavantage
1999-11-18,572.00,585.00,565.00,575.00,13817569.00,Alphavantage
1999-11-19,569.00,575.50,537.00,547.50,11676104.00,Alphavantage
1999-11-22,552.50,552.50,541.00,543.50,6385796.00,Alphavantage
1999-11-23,547.00,570.00,545.00,565.00,16059053.00,Alphavantage
1999-11-24,565.00,575.00,557.00,573.50,6970173.00,Alphavantage
1999-11-25,577.00,577.00,555.50,564.50,7024854.00,Alphavantage
1999-11-26,561.60,595.00,561.60,591.00,6019432.00,Alphavantage
1999-11-29,583.00,594.00,570.50,584.50,6879020.00,Alphavantage
1999-11-30,584.00,588.00,558.00,568.00,6046565.00,Alphavantage
1999-12-01,568.00,576.50,563.00,565.00,5260603.00,Alphavantage
1999-12-02,575.50,575.50,548.90,551.00,9779339.00,Alphavantage
1999-12-03,551.00,556.00,544.00,553.50,8193127.00,Alphavantage
1999-12-06,553.50,556.00,543.00,550.50,5194317.00,Alphavantage
1999-12-07,548.00,555.00,538.00,544.00,6946972.00,Alphavantage
1999-12-08,543.50,544.00,509.00,529.00,7253920.00,Alphavantage
1999-12-09,524.70,536.00,514.00,528.00,6574577.00,Alphavantage
1999-12-10,527.00,531.30,515.00,520.50,6166912.00,Alphavantage
1999-12-13,528.00,537.00,517.00,524.00,6229626.00,Alphavantage
1999-12-14,520.00,533.00,519.00,523.00,7366410.00,Alphavantage
1999-12-15,525.50,533.00,516.50,523.00,8794131.00,Alphavantage
1999-12-16,520.00,523.00,509.00,515.50,19094664.00,Alphavantage
1999-12-17,514.00,524.50,498.00,521.50,8411175.00,Alphavantage
1999-12-20,520.00,540.00,516.00,523.50,6989624.00,Alphavantage
1999-12-21,515.00,536.00,513.00,523.50,3951737.00,Alphavantage
1999-12-22,518.50,527.00,504.50,512.50,3713379.00,Alphavantage
1999-12-23,515.00,529.50,496.50,504.00,8503046.00,Alphavantage
1999-12-24,508.00,515.00,498.50,505.50,793407.00,Alphavantage
1999-12-27,506.00,506.00,506.00,506.00,0.00,Alphavantage
1999-12-28,506.00,506.00,506.00,506.00,0.00,Alphavantage
1999-12-29,508.00,519.50,500.00,504.00,2936967.00,Alphavantage
1999-12-30,505.00,507.00,491.00,498.00,1617967.00,Alphavantage
1999-12-31,498.00,498.00,498.00,498.00,0.00,Alphavantage
2000-01-03,498.00,498.00,498.00,498.00,0.00,Alphavantage
2000-01-04,495.00,502.00,485.00,500.00,12784608.00,Alphavantage
2000-01-05,500.50,508.30,492.00,505.00,7333586.00,Alphavantage
2000-01-06,505.80,562.00,505.50,550.50,24250900.00,Alphavantage
2000-01-07,548.00,590.00,548.00,565.00,15412801.00,Alphavantage
2000-01-10,568.80,573.80,524.00,540.50,13217112.00,Alphavantage
2000-01-11,542.00,546.00,522.00,525.50,11078122.00,Alphavantage
2000-01-12,533.00,540.00,522.00,534.50,8106848.00,Alphavantage
2000-01-13,527.00,546.00,527.00,534.00,9277417.00,Alphavantage
2000-01-14,532.50,541.00,532.50,536.50,7246780.00,Alphavantage
2000-01-17,536.50,538.00,517.00,520.50,7116515.00,Alphavantage
2000-01-18,525.90,528.00,504.00,506.50,7289086.00,Alphavantage
2000-01-19,517.00,526.00,502.00,517.50,8477667.00,Alphavantage
2000-01-20,513.50,530.00,490.00,494.00,10666121.00,Alphavantage
2000-01-21,505.00,505.00,490.00,493.50,8738409.00,Alphavantage
2000-01-24,500.00,505.00,488.00,490.00,7263106.00,Alphavantage
2000-01-25,489.50,490.00,468.00,474.50,10847234.00,Alphavantage
2000-01-26,460.00,483.00,449.00,452.50,18943924.00,Alphavantage
2000-01-27,460.00,470.00,440.00,454.00,9557198.00,Alphavantage
2000-01-28,453.00,462.00,449.00,455.50,10479676.00,Alphavantage
2000-01-31,485.00,485.00,451.50,457.50,22261944.00,Alphavantage
2000-02-01,457.50,463.00,443.00,450.00,20877068.00,Alphavantage
2000-02-02,454.50,459.30,450.00,453.50,9438424.00,Alphavantage
2000-02-03,456.00,475.00,452.00,465.00,10742978.00,Alphavantage
2000-02-04,469.00,469.00,442.00,445.00,23685368.00,Alphavantage
2000-02-07,448.00,468.00,440.00,465.00,8755116.00,Alphavantage
2000-02-08,465.00,475.00,460.00,465.00,21861380.00,Alphavantage
2000-02-09,465.00,495.00,453.00,464.00,11169468.00,Alphavantage
2000-02-10,463.50,470.00,455.00,456.50,11240967.00,Alphavantage
2000-02-11,464.20,470.00,428.50,459.00,27332816.00,Alphavantage
2000-02-14,440.00,475.50,440.00,469.00,16565234.00,Alphavantage
2000-02-15,468.00,475.00,464.00,469.50,11657486.00,Alphavantage
2000-02-16,470.00,526.00,463.50,523.00,13336912.00,Alphavantage
2000-02-17,485.30,525.00,485.30,504.50,16417607.00,Alphavantage
2000-02-18,502.00,524.00,493.00,502.00,12379908.00,Alphavantage
2000-02-21,512.40,538.00,486.00,533.00,14753801.00,Alphavantage
2000-02-22,533.00,546.00,529.50,535.50,21782874.00,Alphavantage
2000-02-23,535.50,556.00,525.00,529.00,17325624.00,Alphavantage
2000-02-24,532.00,541.20,470.00,500.50,23738186.00,Alphavantage
2000-02-25,498.20,504.00,475.30,480.00,12945944.00,Alphavantage
2000-02-28,484.00,490.00,469.50,478.00,6811281.00,Alphavantage
2000-02-29,475.00,488.50,461.50,483.50,10298429.00,Alphavantage
2000-03-01,472.40,494.00,466.00,478.50,15329759.00,Alphavantage
2000-03-02,477.00,480.00,470.80,476.00,16146690.00,Alphavantage
2000-03-03,473.50,476.50,447.00,451.50,10055023.00,Alphavantage
2000-03-06,453.00,463.00,442.70,446.50,8793957.00,Alphavantage
2000-03-07,443.50,448.00,418.50,422.00,12408584.00,Alphavantage
2000-03-08,412.50,412.50,395.50,410.00,19074918.00,Alphavantage
2000-03-09,412.50,419.50,397.00,400.50,17470278.00,Alphavantage
2000-03-10,405.00,405.00,380.00,384.00,19649108.00,Alphavantage
2000-03-13,384.00,397.00,375.00,395.50,12722469.00,Alphavantage
2000-03-14,385.00,405.80,385.00,390.50,10466271.00,Alphavantage
2000-03-15,391.00,410.00,386.00,404.00,9577196.00,Alphavantage
2000-03-16,397.00,470.00,397.00,440.50,34393472.00,Alphavantage
2000-03-17,456.00,456.00,424.00,435.00,12919533.00,Alphavantage
2000-03-20,435.00,443.00,419.00,437.80,8049202.00,Alphavantage
2000-03-21,434.90,455.50,433.00,449.00,19895136.00,Alphavantage
2000-03-22,447.00,452.50,440.00,450.50,22322086.00,Alphavantage
2000-03-23,450.50,450.80,436.00,439.30,12634071.00,Alphavantage
2000-03-24,440.50,449.80,440.50,445.00,19313470.00,Alphavantage
2000-03-27,449.00,452.00,440.00,449.00,5925785.00,Alphavantage
