date,open,high,low,close,volume
2014-10-24,1005.00,1005.00,1004.50,1005.25,3520.00,Alphavantage
2014-10-27,1006.50,1006.50,1002.00,1003.25,6500.00,Alphavantage
2014-10-28,1005.00,1005.50,1005.00,1006.00,2000.00,Alphavantage
2014-10-29,1012.25,1012.25,1012.25,1012.25,0.00,Alphavantage
2014-10-30,1020.75,1020.75,1020.75,1020.75,0.00,Alphavantage
2014-10-31,1035.00,1035.00,1035.00,1035.00,0.00,Alphavantage
2014-11-03,1040.50,1040.50,1038.00,1040.50,1726.00,Alphavantage
2014-11-04,1038.60,1038.60,1038.60,1037.20,962.00,Alphavantage
2014-11-05,1053.00,1053.30,1045.95,1045.60,13989.00,Alphavantage
2014-11-06,1049.90,1058.57,1046.97,1055.30,3165.00,Alphavantage
2014-11-07,1056.10,1056.10,1056.04,1057.85,944.00,Alphavantage
2014-11-10,1058.00,1058.00,1058.00,1058.00,0.00,Alphavantage
2014-11-11,1060.00,1061.51,1060.00,1059.30,200.00,Alphavantage
2014-11-12,1057.50,1059.57,1056.50,1058.75,192.00,Alphavantage
2014-11-13,1067.80,1067.80,1067.70,1068.15,374.00,Alphavantage
2014-11-14,1071.05,1071.05,1071.05,1071.05,0.00,Alphavantage
2014-11-17,1070.50,1070.50,1067.68,1070.10,936.00,Alphavantage
2014-11-18,1077.80,1077.80,1077.80,1077.80,0.00,Alphavantage
2014-11-19,1072.80,1074.88,1072.80,1072.80,4600.00,Alphavantage
2014-11-20,16.82,16.82,16.82,16.82,0.00,Alphavantage
2014-11-21,16.93,16.93,16.93,16.93,0.00,Alphavantage
2014-11-24,16.88,16.88,16.88,16.88,0.00,Alphavantage
2014-11-25,16.83,16.83,16.83,16.83,0.00,Alphavantage
2014-11-26,16.90,16.90,16.90,16.90,0.00,Alphavantage
2014-11-27,16.96,16.96,16.96,16.96,0.00,Alphavantage
2014-11-28,17.01,17.01,17.01,17.01,0.00,Alphavantage
2014-12-01,16.89,16.89,16.89,16.95,3250.00,Alphavantage
2014-12-02,16.99,16.99,16.99,16.99,0.00,Alphavantage
2014-12-03,16.99,16.99,16.99,16.99,0.00,Alphavantage
2014-12-04,17.02,17.02,17.02,16.94,4400.00,Alphavantage
2014-12-05,17.00,17.00,17.00,17.00,0.00,Alphavantage
2014-12-08,16.99,16.99,16.99,16.99,0.00,Alphavantage
2014-12-09,16.76,16.76,16.76,16.76,0.00,Alphavantage
2014-12-10,16.74,16.74,16.74,16.74,0.00,Alphavantage
2014-12-11,16.82,16.82,16.82,16.82,0.00,Alphavantage
2014-12-12,16.53,16.53,16.53,16.53,0.00,Alphavantage
2014-12-15,16.53,16.53,16.53,16.53,0.00,Alphavantage
2014-12-16,16.53,16.53,16.53,16.53,0.00,Alphavantage
2014-12-17,16.37,16.37,16.37,16.37,0.00,Alphavantage
2014-12-18,16.72,16.72,16.72,16.72,0.00,Alphavantage
2014-12-19,16.93,16.93,16.93,16.93,0.00,Alphavantage
2014-12-22,16.92,16.92,16.92,16.92,0.00,Alphavantage
2014-12-23,17.07,17.07,17.07,17.07,0.00,Alphavantage
2014-12-24,17.08,17.08,17.08,17.08,0.00,Alphavantage
2014-12-29,17.18,17.18,17.18,17.18,0.00,Alphavantage
2014-12-30,17.10,17.10,17.10,17.10,0.00,Alphavantage
2014-12-31,17.12,17.12,17.12,17.12,0.00,Alphavantage
2015-01-02,16.87,16.87,16.87,16.87,0.00,Alphavantage
2015-01-05,16.68,16.68,16.68,16.68,0.00,Alphavantage
2015-01-06,16.65,16.65,16.65,16.65,0.00,Alphavantage
2015-01-07,16.67,16.67,16.67,16.67,0.00,Alphavantage
2015-01-08,16.98,16.98,16.98,16.98,0.00,Alphavantage
2015-01-09,16.84,16.84,16.84,16.84,0.00,Alphavantage
2015-01-12,16.83,16.83,16.83,16.83,0.00,Alphavantage
2015-01-13,16.96,16.96,16.96,16.96,0.00,Alphavantage
2015-01-14,16.63,16.63,16.63,16.63,0.00,Alphavantage
2015-01-15,16.70,16.70,16.70,16.70,0.00,Alphavantage
2015-01-16,16.77,16.77,16.77,16.77,0.00,Alphavantage
2015-01-19,16.89,16.89,16.89,16.89,0.00,Alphavantage
2015-01-20,16.86,16.86,16.86,16.86,0.00,Alphavantage
2015-01-21,16.98,16.98,16.98,16.98,0.00,Alphavantage
2015-01-22,14.69,14.69,14.69,14.91,700.00,Alphavantage
2015-01-23,15.20,15.20,15.20,15.16,330.00,Alphavantage
2015-01-26,15.06,15.06,15.06,15.09,260.00,Alphavantage
2015-01-27,15.08,15.08,15.08,14.86,1000.00,Alphavantage
2015-01-28,14.90,14.90,14.88,14.87,3314.00,Alphavantage
2015-01-29,14.70,14.70,14.70,14.69,300.00,Alphavantage
2015-01-30,14.73,14.74,14.70,14.69,1215.00,Alphavantage
2015-02-02,14.68,14.68,14.68,14.66,180.00,Alphavantage
2015-02-03,14.89,14.89,14.89,14.76,800.00,Alphavantage
2015-02-04,14.83,14.83,14.83,14.88,2000.00,Alphavantage
2015-02-05,17.03,17.03,17.03,17.03,0.00,Alphavantage
2015-02-06,14.94,15.12,14.94,15.04,580.00,Alphavantage
2015-02-09,16.98,16.98,16.98,16.98,0.00,Alphavantage
2015-02-10,16.94,16.94,16.94,16.94,0.00,Alphavantage
2015-02-11,16.98,16.98,16.98,16.98,0.00,Alphavantage
2015-02-12,17.09,17.09,17.09,17.09,0.00,Alphavantage
2015-02-13,17.19,17.19,17.19,17.19,0.00,Alphavantage
2015-02-16,17.16,17.16,17.16,17.16,0.00,Alphavantage
2015-02-17,17.15,17.15,17.15,17.15,0.00,Alphavantage
2015-02-18,15.09,15.09,15.07,15.06,1353.00,Alphavantage
2015-02-19,17.09,17.09,17.09,17.09,0.00,Alphavantage
2015-02-20,17.00,17.00,17.00,17.00,0.00,Alphavantage
2015-02-23,15.13,15.13,15.04,15.05,2019.00,Alphavantage
2015-02-24,17.12,17.12,17.12,17.12,0.00,Alphavantage
2015-02-25,17.13,17.13,17.13,17.13,0.00,Alphavantage
2015-02-26,15.16,15.16,15.16,15.23,110.00,Alphavantage
2015-02-27,15.23,15.23,15.23,15.23,200.00,Alphavantage
2015-03-02,15.29,15.29,15.29,15.23,500.00,Alphavantage
2015-03-03,15.25,15.25,15.18,15.20,27705.00,Alphavantage
2015-03-04,15.32,15.32,15.32,15.32,0.00,Alphavantage
2015-03-05,15.39,15.39,15.39,15.39,0.00,Alphavantage
2015-03-06,15.44,15.46,15.31,15.31,13200.00,Alphavantage
2015-03-09,15.33,15.33,15.33,15.33,0.00,Alphavantage
2015-03-10,15.40,15.40,15.38,15.38,350.00,Alphavantage
2015-03-11,15.51,15.51,15.51,15.51,0.00,Alphavantage
2015-03-12,15.61,15.61,15.61,15.61,0.00,Alphavantage
2015-03-13,15.66,15.66,15.62,15.62,200.00,Alphavantage
2015-03-16,15.69,15.69,15.69,15.69,0.00,Alphavantage
2015-03-17,15.71,15.71,15.65,15.65,100.00,Alphavantage
2015-03-18,15.58,15.58,15.58,15.58,0.00,Alphavantage
2015-03-19,15.75,15.75,15.75,15.75,0.00,Alphavantage
2015-03-20,15.59,15.59,15.59,15.59,0.00,Alphavantage
2015-03-23,15.57,15.57,15.57,15.57,0.00,Alphavantage
2015-03-24,15.48,15.48,15.48,15.48,0.00,Alphavantage
2015-03-25,15.28,15.28,15.28,15.28,0.00,Alphavantage
2015-03-26,15.11,15.11,15.11,15.11,0.00,Alphavantage
2015-03-27,15.13,15.13,15.13,15.13,0.00,Alphavantage
2015-03-30,15.39,15.39,15.39,15.39,1000.00,Alphavantage
2015-03-31,15.50,15.50,15.49,15.49,100.00,Alphavantage
2015-04-01,15.36,15.39,15.36,15.37,450.00,Alphavantage
2015-04-02,15.30,15.31,15.30,15.31,195.00,Alphavantage
2015-04-07,15.46,15.46,15.46,15.46,0.00,Alphavantage
2015-04-08,15.42,15.44,15.42,15.44,1990.00,Alphavantage
2015-04-09,15.59,15.59,15.59,15.59,0.00,Alphavantage
2015-04-10,15.94,15.94,15.94,15.94,0.00,Alphavantage
2015-04-13,16.52,16.52,16.52,16.52,3470.00,Alphavantage
2015-04-14,16.33,16.33,16.33,16.33,3470.00,Alphavantage
2015-04-15,16.45,16.45,16.45,16.45,3490.00,Alphavantage
2015-04-16,16.45,16.45,16.45,16.45,0.00,Alphavantage
2015-04-17,16.45,16.45,16.45,16.45,0.00,Alphavantage
2015-04-20,16.45,16.45,16.45,16.45,0.00,Alphavantage
2015-04-21,16.45,16.45,16.45,16.45,0.00,Alphavantage
2015-04-22,16.00,16.00,16.00,16.00,700.00,Alphavantage
2015-04-23,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-04-24,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-04-27,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-04-28,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-04-29,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-04-30,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-05-01,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-05-05,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-05-06,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-05-07,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-05-08,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-05-11,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-05-12,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-05-13,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-05-14,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-05-15,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-05-18,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-05-19,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-05-20,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-05-21,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-05-22,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-05-25,16.00,16.00,16.00,16.00,0.00,Alphavantage
2015-05-26,16.00,16.00,15.95,15.95,1750.00,Alphavantage
2015-05-27,15.95,15.95,15.95,15.95,0.00,Alphavantage
2015-05-28,15.95,15.95,15.95,15.95,0.00,Alphavantage
2015-05-29,15.95,15.95,15.95,15.95,0.00,Alphavantage
2015-06-01,15.95,15.95,15.95,15.95,0.00,Alphavantage
2015-06-02,15.95,15.95,15.95,15.95,0.00,Alphavantage
2015-06-03,15.80,15.80,15.80,15.80,200.00,Alphavantage
2015-06-04,15.80,15.80,15.80,15.80,0.00,Alphavantage
2015-06-05,15.80,15.80,15.80,15.80,0.00,Alphavantage
2015-06-08,15.80,15.80,15.80,15.80,0.00,Alphavantage
2015-06-09,15.80,15.80,15.80,15.80,0.00,Alphavantage
2015-06-10,15.80,15.80,15.80,15.80,0.00,Alphavantage
2015-06-11,15.80,15.80,15.80,15.80,0.00,Alphavantage
2015-06-12,15.80,15.80,15.80,15.80,0.00,Alphavantage
2015-06-15,15.80,15.80,15.80,15.80,0.00,Alphavantage
2015-06-16,15.32,15.32,15.32,15.32,3770.00,Alphavantage
2015-06-17,15.32,15.32,15.32,15.32,0.00,Alphavantage
2015-06-18,15.32,15.32,15.32,15.32,0.00,Alphavantage
2015-06-19,15.32,15.32,15.32,15.32,0.00,Alphavantage
2015-06-22,15.32,15.32,15.32,15.32,0.00,Alphavantage
2015-06-23,15.32,15.32,15.32,15.32,0.00,Alphavantage
2015-06-24,15.32,15.32,15.32,15.32,0.00,Alphavantage
2015-06-25,15.32,15.32,15.32,15.32,0.00,Alphavantage
2015-06-26,15.32,15.32,15.32,15.32,0.00,Alphavantage
2015-06-29,15.32,15.32,15.32,15.32,0.00,Alphavantage
2015-06-30,15.32,15.32,15.32,15.32,0.00,Alphavantage
2015-07-01,15.32,15.32,15.32,15.32,0.00,Alphavantage
2015-07-02,15.32,15.32,15.32,15.32,0.00,Alphavantage
2015-07-03,15.32,15.32,15.32,15.32,0.00,Alphavantage
