date,open,high,low,close,volume
2010-11-24,129.36,129.36,129.36,129.36,1,Alphavantage
2010-11-25,129.36,129.36,129.36,129.36,0,Alphavantage
2010-11-26,129.36,129.36,129.36,129.36,0,Alphavantage
2010-11-29,129.36,129.36,129.36,129.36,0,Alphavantage
2010-11-30,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-01,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-02,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-03,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-06,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-07,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-08,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-09,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-10,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-13,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-14,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-15,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-16,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-17,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-20,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-21,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-22,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-23,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-24,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-29,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-30,129.36,129.36,129.36,129.36,0,Alphavantage
2010-12-31,129.36,129.36,129.36,129.36,0,Alphavantage
2011-01-04,129.36,129.36,129.36,129.36,0,Alphavantage
2011-01-05,129.36,129.36,129.36,129.36,0,Alphavantage
2011-01-06,129.36,129.36,129.36,129.36,0,Alphavantage
2011-01-07,134.89,134.89,134.89,134.89,450,Alphavantage
2011-01-10,134.89,134.89,134.89,134.89,0,Alphavantage
2011-01-11,134.89,134.89,134.89,134.89,0,Alphavantage
2011-01-12,134.89,134.89,134.89,134.89,0,Alphavantage
2011-01-13,134.89,134.89,134.89,134.89,0,Alphavantage
2011-01-14,134.89,134.89,134.89,134.89,0,Alphavantage
2011-01-17,134.89,134.89,134.89,134.89,0,Alphavantage
2011-01-18,134.89,134.89,134.89,134.89,0,Alphavantage
2011-01-19,134.89,134.89,134.89,134.89,0,Alphavantage
2011-01-20,134.89,134.89,134.89,134.89,0,Alphavantage
2011-01-21,134.89,134.89,134.89,134.89,0,Alphavantage
2011-01-24,134.89,134.89,134.89,134.89,0,Alphavantage
2011-01-25,134.89,134.89,134.89,134.89,0,Alphavantage
2011-01-26,134.89,134.89,134.89,134.89,0,Alphavantage
2011-01-27,134.89,134.89,134.89,134.89,0,Alphavantage
2011-01-28,134.89,134.89,134.89,134.89,0,Alphavantage
2011-01-31,134.89,134.89,134.89,134.89,0,Alphavantage
