date,open,high,low,close,volume
2012-11-27,81.75,81.75,81.75,81.72,500.00,Alphavantage
2012-11-28,81.72,81.72,81.72,81.72,0.00,Alphavantage
2012-11-29,82.25,82.25,82.25,82.25,0.00,Alphavantage
2012-11-30,82.19,82.19,82.19,82.19,0.00,Alphavantage
2012-12-03,81.81,81.81,81.81,81.81,0.00,Alphavantage
2012-12-04,81.58,81.58,81.58,81.58,0.00,Alphavantage
2012-12-05,81.59,81.59,81.59,81.59,0.00,Alphavantage
2012-12-06,82.27,82.27,82.27,82.27,0.00,Alphavantage
2012-12-07,82.80,82.80,82.80,82.80,0.00,Alphavantage
2012-12-10,83.17,83.17,83.17,83.17,0.00,Alphavantage
2012-12-11,83.66,83.66,83.66,83.66,0.00,Alphavantage
2012-12-12,82.76,82.76,82.76,82.76,0.00,Alphavantage
2012-12-13,82.50,82.50,82.50,82.50,0.00,Alphavantage
2012-12-14,82.09,82.09,82.09,82.09,0.00,Alphavantage
2012-12-17,81.57,81.57,81.57,81.99,696.00,Alphavantage
2012-12-18,82.15,82.34,82.15,82.41,60.00,Alphavantage
2012-12-19,82.51,82.51,82.51,82.51,0.00,Alphavantage
2012-12-20,82.00,82.00,81.60,82.04,6.00,Alphavantage
2012-12-21,81.35,82.14,81.35,81.89,29.00,Alphavantage
2012-12-24,82.17,82.17,82.17,81.94,8.00,Alphavantage
2012-12-27,81.60,81.60,81.50,81.44,12.00,Alphavantage
2012-12-28,81.16,81.16,81.16,81.16,0.00,Alphavantage
2012-12-31,80.03,80.03,80.03,80.03,0.00,Alphavantage
2013-01-02,82.17,82.57,82.17,82.58,24002.00,Alphavantage
2013-01-03,83.53,83.53,83.53,83.53,0.00,Alphavantage
2013-01-04,84.14,84.14,84.14,84.14,0.00,Alphavantage
2013-01-07,83.75,83.75,83.75,83.75,0.00,Alphavantage
2013-01-08,83.91,83.91,83.91,83.91,4.00,Alphavantage
2013-01-09,84.55,84.55,84.55,84.39,10.00,Alphavantage
2013-01-10,83.80,84.52,83.80,83.75,46.00,Alphavantage
2013-01-11,84.34,84.34,84.34,84.08,100.00,Alphavantage
2013-01-14,84.50,84.50,84.50,84.65,100.00,Alphavantage
2013-01-15,84.40,84.40,84.21,84.44,10.00,Alphavantage
2013-01-16,85.07,85.07,85.07,85.07,0.00,Alphavantage
2013-01-17,85.63,85.63,85.63,85.63,0.00,Alphavantage
2013-01-18,86.33,86.33,86.33,86.33,0.00,Alphavantage
2013-01-21,86.50,86.80,86.38,86.94,1040.00,Alphavantage
2013-01-22,86.81,86.81,86.81,86.76,120.00,Alphavantage
2013-01-23,87.30,87.30,87.30,87.50,24.00,Alphavantage
2013-01-24,88.58,88.58,88.58,88.58,0.00,Alphavantage
2013-01-25,88.10,88.10,88.10,88.39,620.00,Alphavantage
2013-01-28,89.23,89.23,89.23,89.23,0.00,Alphavantage
2013-01-29,89.00,89.00,89.00,89.27,70.00,Alphavantage
2013-01-30,89.25,89.25,88.71,89.03,532.00,Alphavantage
2013-01-31,88.26,88.90,88.26,88.30,378.00,Alphavantage
2013-02-01,89.35,89.35,88.12,89.57,114.00,Alphavantage
2013-02-04,88.97,88.97,88.97,88.97,0.00,Alphavantage
2013-02-05,90.09,90.09,90.09,90.09,0.00,Alphavantage
2013-02-06,89.96,89.96,89.96,89.96,0.00,Alphavantage
2013-02-07,89.19,89.19,89.19,89.19,0.00,Alphavantage
2013-02-08,89.15,89.15,89.15,89.15,0.00,Alphavantage
2013-02-11,89.69,90.09,89.69,89.94,47.00,Alphavantage
2013-02-12,90.00,90.14,90.00,90.20,375.00,Alphavantage
2013-02-13,90.72,90.72,90.72,90.72,0.00,Alphavantage
2013-02-14,90.95,90.95,90.95,90.95,0.00,Alphavantage
2013-02-15,91.00,91.00,91.00,91.00,0.00,Alphavantage
2013-02-18,91.00,91.00,91.00,91.00,0.00,Alphavantage
2013-02-19,91.94,91.94,91.94,91.94,0.00,Alphavantage
2013-02-20,92.58,92.58,92.58,92.58,0.00,Alphavantage
2013-02-21,91.70,91.70,91.70,91.69,20.00,Alphavantage
2013-02-22,92.20,92.20,92.20,92.20,0.00,Alphavantage
2013-02-25,93.69,93.69,93.69,93.69,0.00,Alphavantage
2013-02-26,92.10,92.39,91.87,92.42,1520.00,Alphavantage
2013-02-27,93.04,93.04,92.33,93.45,6.00,Alphavantage
2013-02-28,93.85,93.85,93.85,93.85,0.00,Alphavantage
2013-03-01,94.59,94.59,94.59,94.59,0.00,Alphavantage
2013-03-04,94.36,94.36,94.36,94.36,0.00,Alphavantage
2013-04-02,97.92,97.92,97.92,98.14,782.00,Alphavantage
2013-04-03,97.52,97.52,97.52,97.52,0.00,Alphavantage
2013-04-04,97.47,97.47,97.42,97.12,90.00,Alphavantage
2013-04-05,96.48,96.48,95.44,95.61,6282.00,Alphavantage
2013-04-08,96.15,96.45,96.15,96.27,72.00,Alphavantage
2013-04-09,96.69,96.72,96.69,96.49,224.00,Alphavantage
2013-04-10,97.72,97.72,97.72,97.72,0.00,Alphavantage
2013-04-11,97.41,97.41,97.41,97.73,236.00,Alphavantage
2013-04-12,97.47,97.47,97.45,97.59,72.00,Alphavantage
2013-04-15,97.71,97.71,97.71,97.71,0.00,Alphavantage
2013-04-16,97.25,97.25,97.25,97.25,0.00,Alphavantage
2013-04-17,96.90,96.90,96.90,96.90,0.00,Alphavantage
2013-04-18,96.54,96.54,96.54,96.54,0.00,Alphavantage
