date,open,high,low,close,volume
2018-10-01,3056.5,3068.0,2739.5,2837.0,845393,null
2018-11-01,2842.5,2877.5,2760.0,2822.0,404398,null
2018-12-01,2886.5,2886.5,2654.0,2713.5,414080,null
2019-01-01,2713.5,2848.0,2703.5,2808.75,43022,null
2019-02-01,2826.0,2896.5,2789.0,2878.0,45687,null
2019-03-01,2917.5,2957.0,2845.0,2894.5,89658,null
2019-04-01,2920.399902,3069.0,2884.5,3051.0,66765,null
2019-05-01,3059.5,3069.5,2907.5,2942.75,193995,null
2019-06-01,2925.0,3093.5,2925.0,3095.5,184268,null
2019-07-01,3133.0,3232.570068,3113.0,3157.5,62961,null
2019-08-01,3174.5,3177.0,2984.97998,3073.75,84190,null
2019-09-01,3090.0,3130.0,3075.5,3128.25,91176,null
2019-09-12,3116.5,3127.5,3116.5,3124.5,205,null
