date,open,high,low,close,volume
2009-06-24,6659.00,6659.00,6659.00,6943.50,3041.00,Alphavantage
2009-06-25,6805.00,6805.00,6805.00,6880.00,1.00,Alphavantage
2009-06-26,6880.00,6880.00,6880.00,6880.00,0.00,Alphavantage
2009-06-29,6880.00,6880.00,6880.00,6880.00,0.00,Alphavantage
2009-06-30,7090.00,7090.00,7090.00,6865.00,1.00,Alphavantage
2009-07-01,7104.00,7224.00,7078.00,7198.50,7568.00,Alphavantage
2009-07-02,6988.00,6988.00,6785.00,6623.00,40.00,Alphavantage
2009-07-03,6623.00,6623.00,6623.00,6623.00,0.00,Alphavantage
2009-07-06,6427.00,6456.00,6427.00,6465.00,2592.00,Alphavantage
2009-07-07,6468.00,6468.00,6468.00,6362.00,2509.00,Alphavantage
2009-07-08,6333.00,6351.00,6333.00,6278.00,975.00,Alphavantage
2009-07-09,6450.00,6450.00,6416.00,6418.00,545.00,Alphavantage
2009-07-10,6372.00,6373.00,6287.00,6258.50,7527.00,Alphavantage
2009-07-13,6254.00,6595.00,6246.00,6693.50,10044.00,Alphavantage
2009-07-14,6776.00,6776.00,6776.00,6799.50,2509.00,Alphavantage
2009-07-15,6799.50,6799.50,6799.50,6799.50,0.00,Alphavantage
2009-07-16,7255.00,7255.00,7255.00,7325.00,8.00,Alphavantage
2009-07-17,7325.00,7325.00,7325.00,7325.00,0.00,Alphavantage
2009-07-20,7592.00,7643.00,7592.00,7565.00,5068.00,Alphavantage
2009-07-21,7586.00,7586.00,7586.00,7783.50,68.00,Alphavantage
2009-07-22,7783.50,7783.50,7783.50,7783.50,0.00,Alphavantage
2009-07-23,8218.00,8218.00,8218.00,8221.50,50.00,Alphavantage
2009-07-24,8305.00,8386.00,8169.00,8195.00,5263.00,Alphavantage
2009-07-27,8454.00,8454.00,8295.00,8241.50,2564.00,Alphavantage
2009-07-28,8241.50,8241.50,8241.50,8241.50,0.00,Alphavantage
2009-07-29,8163.00,8163.00,8163.00,8241.00,25.00,Alphavantage
2009-07-30,8255.00,8535.11,8205.00,8491.00,4776.00,Alphavantage
2009-07-31,8417.00,8534.00,8354.00,8385.50,2979.00,Alphavantage
2009-08-03,8385.50,8385.50,8385.50,8385.50,0.00,Alphavantage
2009-08-04,8617.00,8617.00,8617.00,8628.00,2509.00,Alphavantage
2009-08-05,8628.00,8628.00,8628.00,8628.00,0.00,Alphavantage
2009-08-06,8628.00,8628.00,8628.00,8628.00,0.00,Alphavantage
2009-08-07,8515.00,8515.00,8515.00,8763.00,16.00,Alphavantage
2009-08-10,8599.00,8599.00,8599.00,8698.00,29.00,Alphavantage
2009-08-11,8500.00,8500.00,8500.00,8257.00,25.00,Alphavantage
2009-08-12,8257.00,8257.00,8257.00,8257.00,0.00,Alphavantage
2009-08-13,8748.00,8801.00,8630.00,8664.00,396.00,Alphavantage
2009-08-14,8572.00,8572.00,8572.00,8350.00,2509.00,Alphavantage
2009-08-17,7995.00,7995.00,7995.00,8054.50,25.00,Alphavantage
2009-08-18,93.58,93.58,93.58,93.58,10.00,Alphavantage
2009-08-19,93.58,93.58,93.58,93.58,0.00,Alphavantage
2009-08-20,96.72,96.72,96.72,96.72,123.00,Alphavantage
2009-08-21,102.29,102.40,102.29,102.40,20.00,Alphavantage
2009-08-24,103.49,104.35,103.39,104.28,235.00,Alphavantage
2009-08-25,104.31,106.00,104.31,106.00,36.00,Alphavantage
2009-08-26,105.20,105.20,105.20,105.20,150.00,Alphavantage
2009-08-27,103.63,104.71,102.86,102.86,270.00,Alphavantage
2009-08-28,104.69,105.63,103.91,103.91,382.00,Alphavantage
2009-09-01,103.72,103.72,99.50,99.50,7378.00,Alphavantage
2009-09-02,97.00,97.00,96.82,96.82,59.00,Alphavantage
2009-09-03,97.04,97.04,97.04,97.04,68.00,Alphavantage
2009-09-04,98.03,98.03,98.03,98.03,25.00,Alphavantage
2009-09-07,101.67,102.22,101.67,102.22,364.00,Alphavantage
2009-09-08,103.00,103.20,103.00,103.20,40200.00,Alphavantage
2009-09-09,106.01,106.01,106.01,106.01,25.00,Alphavantage
2009-09-10,106.25,106.73,106.25,106.73,25.00,Alphavantage
2009-09-11,107.94,108.70,107.94,108.44,85.00,Alphavantage
2009-09-14,108.44,108.44,108.44,108.44,0.00,Alphavantage
2009-09-15,108.31,108.31,108.31,108.31,30.00,Alphavantage
2009-09-16,110.00,111.38,110.00,111.38,87.00,Alphavantage
2009-09-17,112.70,112.70,111.70,111.70,365.00,Alphavantage
2009-09-18,111.43,112.13,111.43,112.13,120.00,Alphavantage
2009-09-21,108.64,110.26,108.64,110.26,80.00,Alphavantage
2009-09-22,112.67,112.93,111.00,111.00,130.00,Alphavantage
2009-09-23,112.15,112.15,110.68,110.68,2042.00,Alphavantage
2009-09-24,109.56,109.56,107.50,107.50,100.00,Alphavantage
2009-09-25,107.11,107.60,105.82,107.60,2400.00,Alphavantage
2009-09-28,108.61,109.31,105.84,109.31,3174.00,Alphavantage
2009-09-29,111.70,112.78,111.15,111.15,5138.00,Alphavantage
2009-09-30,111.97,112.32,108.76,108.76,2610.00,Alphavantage
2009-10-01,111.15,111.15,105.45,105.45,39080.00,Alphavantage
2009-10-02,104.29,104.29,100.89,100.97,10090.00,Alphavantage
2009-10-05,101.86,102.54,101.18,102.54,430.00,Alphavantage
2009-10-06,104.56,108.73,104.56,108.73,47842.00,Alphavantage
2009-10-07,108.14,109.35,108.00,109.07,5766.00,Alphavantage
2009-10-08,111.96,111.96,109.96,109.96,15402.00,Alphavantage
2009-10-09,112.15,112.15,110.00,110.00,77.00,Alphavantage
2009-10-12,112.16,114.40,112.16,114.30,12519.00,Alphavantage
2009-10-13,112.93,113.73,110.69,111.03,6154.00,Alphavantage
2009-10-14,113.88,116.59,113.88,116.07,38801.00,Alphavantage
2009-10-15,116.82,116.95,115.00,115.21,1035.00,Alphavantage
2009-10-16,117.22,117.32,112.00,112.00,5544.00,Alphavantage
2009-10-19,114.35,116.16,114.35,116.16,530.00,Alphavantage
2009-10-20,116.89,116.89,114.48,114.48,260.00,Alphavantage
2009-10-21,116.02,116.02,112.00,115.56,1207.00,Alphavantage
2009-10-22,111.41,112.80,111.20,112.65,2495.00,Alphavantage
2009-10-23,115.30,115.81,111.70,111.85,15957.00,Alphavantage
2009-10-26,113.81,113.81,107.50,107.84,21121.00,Alphavantage
2009-10-27,107.89,109.22,106.50,107.76,3070.00,Alphavantage
2009-10-28,106.20,106.50,102.38,102.40,4575.00,Alphavantage
2009-10-29,101.06,105.86,101.06,105.86,2502.00,Alphavantage
2009-10-30,106.03,106.03,99.18,99.18,5558.00,Alphavantage
2009-11-02,98.98,100.00,98.54,99.76,1344.00,Alphavantage
2009-11-03,97.72,98.01,95.50,96.69,6720.00,Alphavantage
