date,open,high,low,close,volume
2009-06-24,10096.00,10096.00,10096.00,9494.50,1000.00,Alphavantage
2009-06-25,9790.00,9877.00,9790.00,9681.50,3690.00,Alphavantage
2009-06-26,9681.50,9681.50,9681.50,9681.50,0.00,Alphavantage
2009-06-29,9359.00,9359.00,9355.00,9282.00,6250.00,Alphavantage
2009-06-30,9622.00,9681.00,9622.00,9619.50,2119.00,Alphavantage
2009-07-01,9426.00,9426.00,9321.00,9252.50,34914.00,Alphavantage
2009-07-02,9633.00,9635.00,9633.00,9958.00,400.00,Alphavantage
2009-07-03,9990.00,10000.00,9990.00,10015.00,300.00,Alphavantage
2009-07-06,10416.00,10420.00,10359.00,10270.00,2900.00,Alphavantage
2009-07-07,10192.00,10565.00,10192.00,10588.00,6018.00,Alphavantage
2009-07-08,10633.00,10633.00,10436.00,10719.00,9917.00,Alphavantage
2009-07-09,10362.00,10506.00,10299.00,10394.00,6046.00,Alphavantage
2009-07-10,10330.00,10630.00,10330.00,10641.00,15231.00,Alphavantage
2009-07-13,10755.00,10808.00,10066.00,9986.50,18142.00,Alphavantage
2009-07-14,9774.00,9845.00,9723.00,9643.00,8147.00,Alphavantage
2009-07-15,9335.00,9414.00,9069.00,9061.50,2170.00,Alphavantage
2009-07-16,8880.00,9081.00,8880.00,8972.00,201.00,Alphavantage
2009-07-17,8943.00,9030.00,8897.00,8950.50,3176.00,Alphavantage
2009-07-20,8760.00,8858.00,8670.00,8718.00,392.00,Alphavantage
2009-07-21,8634.00,8729.00,8440.00,8537.50,541.00,Alphavantage
2009-07-22,8580.00,8658.00,8437.00,8448.00,262.00,Alphavantage
2009-07-23,8138.00,8286.00,8138.00,8004.50,2534.00,Alphavantage
2009-07-24,7987.00,8116.00,7965.00,8090.00,3512.00,Alphavantage
2009-07-27,7992.00,8075.00,7928.00,7996.50,3077.00,Alphavantage
2009-07-28,8078.00,8078.00,7859.00,8230.00,258.00,Alphavantage
2009-07-29,7947.00,7947.00,7947.00,7877.00,26.00,Alphavantage
2009-07-30,7813.00,7851.00,7628.00,7583.00,3883.00,Alphavantage
2009-07-31,7562.00,7703.00,7562.00,7671.00,713.00,Alphavantage
2009-08-03,7451.00,7451.00,7373.00,7386.00,2126.00,Alphavantage
2009-08-04,7389.00,7474.00,7389.00,7377.00,2589.00,Alphavantage
2009-08-05,7258.00,7532.00,7258.00,7531.00,1080.00,Alphavantage
2009-08-06,7390.00,7390.00,7390.00,7538.50,33.00,Alphavantage
2009-08-07,7658.00,7692.00,7232.00,7260.00,356.00,Alphavantage
2009-08-10,7260.00,7260.00,7260.00,7260.00,0.00,Alphavantage
2009-08-11,7400.00,7793.00,7394.00,7777.50,472.00,Alphavantage
2009-08-12,7759.00,7759.00,7583.00,7610.00,114.00,Alphavantage
2009-08-13,7579.00,7580.00,7480.00,7482.00,526.00,Alphavantage
2009-08-14,7500.00,7748.00,7444.00,7721.00,1803.00,Alphavantage
2009-08-17,8048.00,8078.00,7901.00,8060.50,1232.00,Alphavantage
2009-08-18,91.91,91.91,91.91,91.91,10.00,Alphavantage
2009-08-19,93.26,93.26,93.26,93.26,100.00,Alphavantage
2009-08-20,93.00,93.00,93.00,93.00,546.00,Alphavantage
2009-08-21,89.43,89.43,89.43,89.43,1016.00,Alphavantage
2009-08-24,82.91,82.91,82.91,82.91,1335.00,Alphavantage
2009-08-25,83.71,83.71,82.26,82.26,240.00,Alphavantage
2009-08-26,81.81,81.81,81.81,81.81,535.00,Alphavantage
2009-08-27,82.68,84.50,82.65,84.50,149.00,Alphavantage
2009-08-28,82.48,82.48,81.06,81.06,265.00,Alphavantage
2009-09-01,82.59,88.45,82.59,88.45,30.00,Alphavantage
2009-09-02,88.50,90.49,88.50,89.40,342.00,Alphavantage
2009-09-03,88.25,89.59,88.21,89.59,40.00,Alphavantage
2009-09-04,87.67,87.67,85.79,86.95,52.00,Alphavantage
2009-09-07,85.30,85.30,83.77,83.77,249.00,Alphavantage
2009-09-08,87.08,87.08,82.63,82.63,392.00,Alphavantage
2009-09-09,84.05,84.05,82.64,82.64,209.00,Alphavantage
2009-09-10,79.45,79.45,79.45,79.45,1173.00,Alphavantage
2009-09-11,79.03,79.60,79.03,79.60,20.00,Alphavantage
2009-09-14,80.46,80.46,79.06,79.26,260.00,Alphavantage
2009-09-15,79.15,79.50,78.94,79.50,280.00,Alphavantage
2009-09-16,77.95,78.50,77.25,77.25,387.00,Alphavantage
2009-09-17,75.73,76.00,75.73,76.00,140.00,Alphavantage
2009-09-18,76.40,76.40,75.84,75.84,60.00,Alphavantage
2009-09-21,77.38,79.15,77.38,79.10,1085.00,Alphavantage
2009-09-22,76.61,76.61,76.02,76.02,1065.00,Alphavantage
2009-09-23,76.42,77.24,76.42,77.24,50.00,Alphavantage
2009-09-24,78.07,79.80,77.66,79.21,2082.00,Alphavantage
2009-09-25,79.17,81.00,79.17,80.85,1160.00,Alphavantage
2009-09-28,79.00,80.45,76.26,76.26,678.00,Alphavantage
2009-09-29,75.90,76.59,75.90,76.10,160.00,Alphavantage
2009-09-30,75.63,77.20,75.63,77.20,71.00,Alphavantage
2009-10-01,76.75,80.56,76.62,79.00,353.00,Alphavantage
2009-10-02,81.80,83.63,81.80,82.00,901.00,Alphavantage
2009-10-05,83.32,83.32,81.60,81.60,1123.00,Alphavantage
2009-10-06,80.66,80.93,77.36,77.36,510.00,Alphavantage
2009-10-07,77.83,77.83,77.59,77.59,35.00,Alphavantage
2009-10-08,74.53,75.90,74.53,75.90,40.00,Alphavantage
2009-10-09,75.77,75.77,75.77,75.77,35188.00,Alphavantage
2009-10-12,74.79,74.79,73.37,73.71,360.00,Alphavantage
2009-10-13,74.18,74.57,73.61,74.57,835.00,Alphavantage
2009-10-14,73.75,73.75,72.09,72.09,623.00,Alphavantage
2009-10-15,71.58,72.22,71.58,72.22,75.00,Alphavantage
2009-10-16,71.63,77.00,71.63,76.60,300.00,Alphavantage
2009-10-19,73.32,73.33,71.75,71.75,395.00,Alphavantage
2009-10-20,71.38,72.78,71.38,72.50,810.00,Alphavantage
2009-10-21,72.05,74.27,72.05,73.85,2513.00,Alphavantage
2009-10-22,74.50,75.30,73.69,73.69,412.00,Alphavantage
2009-10-23,73.29,74.42,72.21,74.42,1062.00,Alphavantage
2009-10-26,73.03,76.49,73.03,75.60,250.00,Alphavantage
2009-10-27,76.60,78.21,76.46,76.90,846.00,Alphavantage
2009-10-28,77.32,81.68,77.32,81.55,642.00,Alphavantage
2009-10-29,82.50,82.50,77.50,77.50,1692.00,Alphavantage
2009-10-30,78.45,83.15,78.45,81.89,941.00,Alphavantage
2009-11-02,84.50,84.50,81.92,84.00,2590.00,Alphavantage
2009-11-03,84.00,86.40,84.00,86.40,1155.00,Alphavantage
2009-11-04,83.53,83.53,81.52,81.70,1149.00,Alphavantage
2009-11-05,83.92,83.92,80.67,80.67,131.00,Alphavantage
2009-11-06,81.20,81.20,80.80,80.80,1330.00,Alphavantage
2009-11-09,79.00,79.00,77.00,77.50,1197.00,Alphavantage
2009-11-10,76.61,77.02,76.30,76.91,435.00,Alphavantage
2009-11-11,75.49,76.00,74.75,75.72,421.00,Alphavantage
2009-11-12,75.67,75.85,74.20,75.85,438.00,Alphavantage
2009-11-13,75.90,75.99,75.16,75.16,647.00,Alphavantage
2009-11-16,73.25,73.25,71.98,72.30,202.00,Alphavantage
2009-11-17,72.05,72.05,72.05,72.05,6379.00,Alphavantage
2009-11-18,71.57,72.16,71.57,71.58,485.00,Alphavantage
2009-11-19,72.39,74.43,72.39,74.37,293.00,Alphavantage
2009-11-20,73.76,75.79,73.76,75.57,616.00,Alphavantage
2009-11-23,73.62,73.62,71.62,72.06,345.00,Alphavantage
2009-11-24,72.94,72.94,71.80,72.56,376.00,Alphavantage
2009-11-25,71.12,72.48,71.12,72.48,135.00,Alphavantage
2009-11-26,72.64,76.00,72.64,75.50,1020.00,Alphavantage
2009-11-27,78.38,78.38,74.91,74.91,290.00,Alphavantage
2009-11-30,73.77,74.64,73.77,74.64,665.00,Alphavantage
2009-12-01,73.39,73.67,71.94,71.94,1216.00,Alphavantage
2009-12-02,71.36,72.06,71.36,72.06,20.00,Alphavantage
2009-12-03,70.50,70.50,70.50,70.50,50.00,Alphavantage
2009-12-04,72.68,72.68,72.46,72.46,54.00,Alphavantage
2009-12-07,71.51,71.51,71.51,71.51,8370.00,Alphavantage
2009-12-08,71.96,74.33,71.96,73.91,2240.00,Alphavantage
2009-12-09,73.99,75.83,73.99,75.20,1062.00,Alphavantage
2009-12-10,74.69,74.69,72.75,73.67,1395.00,Alphavantage
2009-12-11,72.01,72.01,72.01,72.01,18105.00,Alphavantage
2009-12-14,70.60,70.70,70.60,70.70,218.00,Alphavantage
2009-12-15,70.41,70.41,70.41,70.41,2487.00,Alphavantage
2009-12-16,70.57,70.57,68.90,68.90,199.00,Alphavantage
2009-12-17,69.49,69.49,69.36,69.36,150.00,Alphavantage
2009-12-18,69.31,70.10,69.31,70.10,356.00,Alphavantage
2009-12-21,69.25,69.25,67.80,68.12,1915.00,Alphavantage
2009-12-22,67.53,67.53,67.00,67.38,1181.00,Alphavantage
2009-12-23,66.72,66.99,66.72,66.99,80.00,Alphavantage
2009-12-24,66.99,66.99,66.99,66.99,0.00,Alphavantage
2009-12-29,65.84,66.08,65.00,65.50,390.00,Alphavantage
2009-12-30,66.11,66.85,66.11,66.85,50.00,Alphavantage
2009-12-31,66.85,66.85,66.85,66.85,0.00,Alphavantage
2010-01-04,66.00,66.13,66.00,66.13,20.00,Alphavantage
2010-01-05,65.18,65.57,65.18,65.57,15.00,Alphavantage
2010-01-06,65.55,65.55,65.44,65.52,655.00,Alphavantage
2010-01-07,66.16,66.90,65.65,65.65,608.00,Alphavantage
2010-01-08,65.03,66.50,65.03,65.10,475.00,Alphavantage
2010-01-11,64.77,64.77,64.11,64.11,206.00,Alphavantage
2010-01-12,65.17,67.09,65.17,67.09,1043.00,Alphavantage
2010-01-13,67.26,67.26,67.26,67.26,27578.00,Alphavantage
2010-01-14,65.85,66.41,65.85,66.41,90.00,Alphavantage
2010-01-15,66.07,70.00,65.50,70.00,1156.00,Alphavantage
2010-01-18,67.95,67.95,67.95,67.95,4209.00,Alphavantage
2010-01-19,68.21,68.21,66.53,66.53,265.00,Alphavantage
2010-01-20,67.00,69.22,67.00,68.50,247.00,Alphavantage
2010-01-21,68.18,72.50,68.18,72.50,524.00,Alphavantage
2010-01-22,72.70,74.75,71.95,74.75,1767.00,Alphavantage
2010-01-25,74.52,74.60,73.50,74.60,2266.00,Alphavantage
2010-01-26,75.65,75.85,71.50,71.50,1753.00,Alphavantage
2010-01-27,75.14,75.56,73.95,74.41,1090.00,Alphavantage
2010-01-28,76.94,76.94,76.94,76.94,0.00,Alphavantage
2010-01-29,75.30,76.00,74.60,74.60,595.00,Alphavantage
2010-02-01,73.88,73.88,73.88,73.88,25.00,Alphavantage
2010-02-02,72.11,72.11,72.11,72.11,0.00,Alphavantage
2010-02-03,71.99,73.30,71.99,73.25,1345.00,Alphavantage
2010-02-04,73.00,74.23,73.00,74.18,134.00,Alphavantage
2010-02-05,79.00,79.00,79.00,79.00,100.00,Alphavantage
2010-02-08,78.49,78.60,78.49,78.60,24.00,Alphavantage
2010-02-09,77.90,77.90,77.76,77.76,17.00,Alphavantage
2010-02-10,78.00,78.00,75.97,76.66,60.00,Alphavantage
2010-02-11,76.90,76.90,76.12,76.18,108.00,Alphavantage
2010-02-12,77.80,78.20,76.01,78.20,104.00,Alphavantage
2010-02-15,77.16,77.16,77.16,77.16,0.00,Alphavantage
2010-02-16,76.20,76.20,76.20,76.20,2509.00,Alphavantage
2010-02-17,73.21,73.21,73.21,73.21,0.00,Alphavantage
2010-02-18,73.60,73.92,72.64,72.88,235.00,Alphavantage
2010-02-19,73.25,73.25,73.25,73.25,27.00,Alphavantage
2010-02-22,71.73,71.73,71.73,71.73,41.00,Alphavantage
2010-02-23,71.34,73.87,71.34,73.87,250.00,Alphavantage
2010-02-24,74.70,74.70,74.70,74.70,14.00,Alphavantage
2010-02-25,73.28,75.96,73.28,75.96,2540.00,Alphavantage
2010-02-26,74.59,74.59,74.59,74.59,0.00,Alphavantage
2010-03-01,72.28,72.28,71.70,71.70,126.00,Alphavantage
2010-03-02,71.38,71.38,70.02,70.02,624.00,Alphavantage
2010-03-03,68.97,68.97,68.97,68.97,0.00,Alphavantage
2010-03-04,69.81,69.81,69.13,69.13,684.00,Alphavantage
2010-03-05,68.65,68.65,67.80,67.80,145.00,Alphavantage
2010-03-08,67.11,67.59,67.11,67.46,126.00,Alphavantage
2010-03-09,67.09,67.09,67.09,67.09,0.00,Alphavantage
2010-03-10,66.25,66.25,66.25,66.25,40.00,Alphavantage
2010-03-11,66.17,66.17,66.17,66.17,0.00,Alphavantage
2010-03-12,66.00,66.00,66.00,66.00,100.00,Alphavantage
2010-03-15,66.61,76.00,66.61,66.61,0.00,Alphavantage
2010-03-16,65.94,65.94,65.94,65.94,30.00,Alphavantage
2010-03-17,64.57,64.57,64.10,64.10,439.00,Alphavantage
2010-03-18,64.30,64.48,64.30,64.48,100.00,Alphavantage
2010-03-19,64.10,65.26,64.10,65.23,340.00,Alphavantage
2010-03-22,65.58,66.26,65.14,65.14,242.00,Alphavantage
2010-03-23,64.30,64.30,64.30,64.30,20.00,Alphavantage
2010-03-24,64.70,64.91,63.92,64.51,70.00,Alphavantage
2010-03-25,63.00,63.00,61.76,61.81,403.00,Alphavantage
2010-03-26,62.27,62.34,61.69,61.80,2920.00,Alphavantage
2010-03-29,61.04,61.79,61.04,61.66,1063.00,Alphavantage
2010-03-30,61.00,61.73,60.90,61.73,425.00,Alphavantage
2010-03-31,61.31,61.31,61.30,61.30,5500.00,Alphavantage
2010-04-01,60.50,60.50,57.00,57.00,2114.00,Alphavantage
2010-04-06,60.88,60.88,59.63,59.75,188.00,Alphavantage
2010-04-07,59.40,59.88,59.23,59.88,511.00,Alphavantage
2010-04-08,60.45,61.38,60.45,61.22,1712.00,Alphavantage
2010-04-09,59.36,59.36,59.36,59.36,300.00,Alphavantage
2010-04-12,59.28,59.99,59.08,59.18,1611.00,Alphavantage
2010-04-13,59.79,59.90,59.51,59.90,4597.00,Alphavantage
2010-04-14,59.57,59.57,58.00,58.92,1225.00,Alphavantage
2010-04-15,58.54,59.05,58.54,58.94,638.00,Alphavantage
2010-04-16,59.03,60.51,58.73,60.50,2632.00,Alphavantage
2010-04-19,60.70,62.64,60.42,60.79,2881.00,Alphavantage
2010-04-20,60.51,60.51,58.78,59.09,2813.00,Alphavantage
2010-04-21,58.65,60.53,58.50,59.15,1848.00,Alphavantage
2010-04-22,58.53,61.00,58.53,60.50,5465.00,Alphavantage
2010-04-23,60.50,60.50,58.78,58.86,7031.00,Alphavantage
2010-04-26,57.62,57.85,57.44,57.44,2815.00,Alphavantage
2010-04-27,57.55,59.87,57.55,59.60,5313.00,Alphavantage
2010-04-28,60.90,63.10,60.51,62.00,12668.00,Alphavantage
2010-04-29,61.96,62.00,61.00,61.30,5349.00,Alphavantage
2010-04-30,60.18,62.00,60.18,61.23,1993.00,Alphavantage
2010-05-04,60.18,63.29,59.90,63.29,6981.00,Alphavantage
2010-05-05,63.64,65.00,63.45,64.00,4661.00,Alphavantage
2010-05-06,65.19,66.11,63.63,66.11,7108.00,Alphavantage
2010-05-07,66.71,68.20,66.07,68.20,3338.00,Alphavantage
2010-05-10,66.35,67.79,63.04,63.04,2207.00,Alphavantage
2010-05-11,63.58,64.12,63.50,63.50,735.00,Alphavantage
2010-05-12,62.42,62.42,57.90,59.01,8295.00,Alphavantage
2010-05-13,58.00,58.65,57.69,57.85,3923.00,Alphavantage
2010-05-14,58.50,62.00,58.25,62.00,14376.00,Alphavantage
2010-05-17,61.76,61.76,59.72,60.90,3383.00,Alphavantage
2010-05-18,61.00,61.00,59.12,59.50,4081.00,Alphavantage
2010-05-19,60.99,62.99,60.11,62.17,5720.00,Alphavantage
2010-05-20,61.85,66.40,61.85,65.80,5042.00,Alphavantage
2010-05-21,66.60,68.50,65.34,68.50,2527.00,Alphavantage
